respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur6,b_dur9,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
1,28,Female,Christian,Single,Yes,None,4,NA,,20260909002,-2.56186,-1.45791,-1.63229,-2.4975,-3.41728,-0.058725,0.0886249,0.113469,0.0658726,0.154398,1.47292,0.813571,0.749353,0.829819,2.61952,2.06095,0.594544,1.41348,1.35889,2.49237,-0.876024,-1.08248,-0.14797,0.0399834,-0.332835,-0.817896,-1.52379,-3.51714,-0.217083
2,52,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-2.2598,-1.11847,-1.48226,-2.31604,-3.0689,-0.272539,-0.116242,0.0494438,0.0656313,-0.125424,1.15231,0.514244,0.571762,0.79633,2.08811,1.86624,0.324298,1.23943,1.1018,2.31966,-0.882272,-1.06401,-0.222913,-0.0110928,-0.352236,-0.879305,-1.54927,-3.56657,-0.225956
3,39,Male,Christian,Married,Yes,None,2,3,Communitarianism,20260909002,-2.37321,-1.2449,-1.48957,-2.38375,-3.00072,-0.0532838,-0.00200348,-0.0596025,-0.0432474,-0.100323,1.08887,0.467874,0.631968,0.706196,2.17646,2.13668,0.582626,1.37975,1.55725,2.42219,-0.825938,-1.01116,-0.228181,-0.0114596,-0.294346,-0.80158,-1.52267,-3.39818,-0.248473
4,28,Male,Christian,Single,No,Had COVID,3,NA,,20260909002,-2.4864,-1.33126,-1.52142,-2.67118,-3.20543,-0.280677,-0.111794,-0.0883296,0.0627908,-0.259667,1.50226,0.779101,0.717831,1.17904,2.5948,2.18128,0.628613,1.45736,1.60784,2.50044,-0.894879,-1.06259,-0.152857,-0.019594,-0.360015,-0.859528,-1.54985,-3.54247,-0.257358
5,41,Male,No religion,Single,Yes,None,2,NA,,20260909002,-2.52986,-1.31618,-1.68985,-2.63936,-3.16569,-0.180213,-0.0422431,0.0722833,0.0937258,-0.00482717,1.32492,0.7508,0.727587,0.951677,2.21326,2.12076,0.533138,1.46462,1.48084,2.4445,-0.848667,-1.05476,-0.190973,-0.00838212,-0.355146,-0.787862,-1.55982,-3.52113,-0.195883
6,69,Female,No religion,Married,Yes,None,3,NA,,20260909002,-2.39254,-1.33326,-1.65365,-2.57182,-3.22369,0.0664319,0.121249,0.175029,-0.023675,0.0126002,0.92509,0.319458,0.567455,0.96285,2.20075,2.0357,0.558579,1.49312,1.63326,2.43465,-0.858112,-1.04632,-0.183249,-0.00214862,-0.321647,-0.800093,-1.47164,-3.40955,-0.175663
7,69,Female,No religion,Married,No,Had COVID,3,NA,,20260909002,-2.26519,-1.14131,-1.60849,-2.52499,-3.07292,-0.229982,-0.160839,0.130667,0.105629,-0.278236,0.760404,0.21294,0.548656,0.591178,2.01162,1.94987,0.455417,1.44045,1.42687,2.39953,-0.936156,-1.1074,-0.20176,0.0168991,-0.345258,-0.855978,-1.52814,-3.49439,-0.223757
8,19,Male,No religion,Single,No,None,4,NA,,20260909002,-2.44747,-1.27559,-1.60231,-2.54722,-3.13686,0.0404192,0.109938,0.0639574,0.220398,0.14965,1.19269,0.578721,0.686576,0.731219,2.37526,2.00308,0.530866,1.41394,1.40142,2.38543,-0.871527,-1.06535,-0.183468,-0.00278505,-0.329929,-0.756953,-1.51836,-3.56271,-0.26929
9,24,Male,Christian,Single,No,Bereaved,4,NA,,20260909002,-2.4244,-1.11676,-1.50113,-2.44856,-2.99091,-0.221905,-0.126775,0.0773538,0.114616,-0.276166,1.34711,0.524173,0.562441,0.846793,2.21273,2.11375,0.50758,1.28049,1.50825,2.43684,-0.825921,-1.00898,-0.201983,-0.0362472,-0.315036,-0.797617,-1.50055,-3.43246,-0.228546
10,54,Female,No religion,Divorced,No,Had COVID,3,NA,,20260909002,-2.48665,-1.40743,-1.49928,-2.72265,-3.2327,-0.210071,-0.0911316,-0.00772267,0.19684,-0.146982,1.11517,0.644969,0.40842,0.668376,2.21227,2.20761,0.811362,1.27472,1.47008,2.59321,-0.923843,-1.06779,-0.165404,0.0250852,-0.292302,-0.777933,-1.51816,-3.51513,-0.214295
