respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur6,b_dur9,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
11,51,Female,Muslim,Married,No,None,1,NA,,20260909002,-2.41209,-1.38733,-1.64415,-2.52103,-3.05008,-0.1238,-0.0573784,0.165159,0.133417,-0.243031,1.34783,0.663209,0.603173,0.76262,2.1532,2.12926,0.69088,1.31844,1.27163,2.47908,-0.89595,-1.0875,-0.147444,0.0810183,-0.29966,-0.776136,-1.53389,-3.52397,-0.217836
12,73,Male,Christian,Single,No,None,4,4,Conspiracy Ideation,20260909002,-2.2965,-1.10181,-1.54058,-2.41866,-2.94572,-0.367642,-0.263918,0.0372111,-0.102723,-0.241687,1.05988,0.387559,0.458414,0.733733,2.18488,2.03177,0.456272,1.22392,1.39311,2.2672,-0.840998,-1.01262,-0.152599,-0.00344003,-0.250963,-0.743371,-1.58637,-3.44894,-0.219546
13,62,Male,Christian,Divorced,No,Bereaved,1,NA,,20260909002,-2.36561,-1.3243,-1.5617,-2.68937,-3.30805,-0.264807,-0.052047,0.0394385,0.0690257,0.00586291,1.253,0.659553,0.623952,1.01135,2.50409,2.16466,0.689909,1.55125,1.71081,2.67631,-0.920896,-1.04653,-0.17187,0.0106702,-0.308377,-0.832839,-1.50602,-3.52256,-0.245626
14,47,Male,No religion,Separated,No,Had COVID,2,NA,,20260909002,-2.47661,-1.35847,-1.71135,-2.70999,-3.28114,-0.252122,-0.0991156,0.00816204,-0.0508909,-0.119318,1.44875,0.695274,0.747653,1.13841,2.40439,2.3631,0.843165,1.67294,1.76726,2.75532,-0.877693,-1.11963,-0.15791,0.017633,-0.302632,-0.783843,-1.54727,-3.50615,-0.18497
15,34,Male,Hindu,Single,No,Had COVID,3,NA,,20260909002,-2.63184,-1.4982,-1.62353,-2.5744,-3.10609,0.127062,0.112427,0.178476,0.155244,0.0397273,1.36687,0.674785,0.617092,0.897988,2.12466,2.17772,0.708692,1.42466,1.55161,2.39347,-0.875153,-1.06693,-0.217434,-0.0333019,-0.314135,-0.829912,-1.54573,-3.5386,-0.21383
16,48,Female,Christian,Single,Yes,Had COVID,1,NA,,20260909002,-2.44556,-1.39724,-1.6413,-2.58876,-3.30318,-0.212348,-0.113733,0.106682,0.0111608,-0.207606,1.17174,0.704895,0.634333,0.815327,2.42613,2.11716,0.712715,1.35093,1.4976,2.59762,-0.909201,-1.03377,-0.170201,0.00883114,-0.349174,-0.787521,-1.50728,-3.50864,-0.235568
17,50,Female,Christian,Married,No,Bereaved,4,NA,,20260909002,-2.26211,-1.26602,-1.59859,-2.72693,-3.16987,-0.0637133,-0.0356113,0.0585677,0.0634678,-0.194395,1.16454,0.606198,0.612137,1.06178,2.49344,1.88756,0.597796,1.46068,1.86153,2.64892,-0.901102,-1.06053,-0.149307,0.0468047,-0.267937,-0.768137,-1.50262,-3.46253,-0.20867
18,52,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-2.26017,-1.29867,-1.58069,-2.64182,-3.13601,-0.306046,0.0618706,0.061686,0.0810731,0.135188,1.17017,0.560311,0.669858,1.13616,2.12572,2.18822,0.712959,1.53795,1.83543,2.47259,-0.935293,-1.0742,-0.218838,-0.0129532,-0.286904,-0.83333,-1.52696,-3.52781,-0.258973
19,33,Male,Christian,Married,No,Had COVID,3,NA,,20260909002,-2.46118,-1.37147,-1.64484,-2.76414,-3.21546,-0.213195,-0.0979304,0.149333,0.00861262,-0.213959,1.17081,0.560507,0.497044,1.01026,2.20921,2.17087,0.625962,1.32288,1.68005,2.65275,-0.881308,-1.03723,-0.226378,0.0431072,-0.337414,-0.796582,-1.52336,-3.4354,-0.187724
20,89,Female,Christian,Married,No,None,1,NA,,20260909002,-2.52659,-1.40291,-1.72727,-2.78968,-3.33384,-0.0345006,-0.0186665,0.148878,0.211603,0.0134489,1.1932,0.589524,0.619498,0.839368,2.36355,2.12033,0.580996,1.49101,1.50614,2.41898,-0.884122,-1.10659,-0.128859,0.0313783,-0.279161,-0.739059,-1.52019,-3.5721,-0.193583
21,38,Male,No religion,Married,No,Had COVID,3,NA,,20260909002,-2.31367,-1.217,-1.62127,-2.54277,-3.06546,-0.174116,-0.0512477,0.0440085,0.0026098,-0.0234378,1.2089,0.584036,0.707743,0.907352,2.21807,1.95755,0.45949,1.32853,1.36382,2.27804,-0.884442,-1.01765,-0.136883,0.0633776,-0.279043,-0.76,-1.48925,-3.41261,-0.216044
22,46,Female,Christian,Single,Yes,Long COVID,4,NA,,20260909002,-2.49985,-1.39662,-1.63151,-2.58703,-3.31255,-0.335409,-0.163787,0.00619909,-0.165267,-0.200307,1.45322,0.798868,0.803285,1.16443,2.56914,2.37305,0.828566,1.47173,1.73949,2.83257,-0.8878,-1.08242,-0.217486,-0.00672829,-0.387534,-0.876453,-1.49973,-3.52048,-0.178375
23,38,Female,No religion,Widowed,Yes,None,1,NA,,20260909002,-2.08119,-1.07223,-1.50788,-2.42277,-3.15478,-0.268193,-0.0660578,-0.00967028,0.0147348,-0.154238,1.01733,0.516687,0.717101,0.859491,2.4521,2.1058,0.613814,1.47052,1.57673,2.80706,-0.904503,-1.01298,-0.206232,0.0617249,-0.288202,-0.74562,-1.50188,-3.4705,-0.218081
24,34,Female,No religion,Married,Yes,None,1,NA,,20260909002,-2.28964,-1.16016,-1.56406,-2.60583,-3.20603,-0.313842,-0.167103,0.0356263,0.0290427,-0.00331739,1.22806,0.657052,0.769785,1.07715,2.42744,2.15751,0.595238,1.39858,1.58149,2.66462,-0.892603,-1.08966,-0.159383,0.00338198,-0.31557,-0.8113,-1.5793,-3.60277,-0.275918
25,75,Male,Christian,Single,No,Had COVID,4,NA,,20260909002,-2.22274,-1.1847,-1.62302,-2.48269,-3.05398,-0.253915,-0.0569042,0.0577671,-0.024052,-0.0941347,0.934407,0.400574,0.625495,0.599256,2.02473,2.24157,0.618644,1.48391,1.68695,2.54671,-0.826353,-1.03982,-0.149152,-0.0150199,-0.304261,-0.800088,-1.49984,-3.46559,-0.212547
26,48,Male,Christian,Divorced,No,Bereaved,2,NA,,20260909002,-2.66704,-1.40561,-1.6112899999999999,-2.84326,-3.31776,0.0715759,0.0721887,0.153854,0.229156,0.158775,1.49452,0.758931,0.696462,1.1274,2.48754,2.26377,0.749516,1.42197,1.77539,2.6375,-0.940063,-1.057,-0.235552,-0.0291534,-0.308196,-0.827704,-1.49372,-3.50121,-0.246281
27,59,Female,No religion,Married,No,Bereaved,2,2,Libertarianism,20260909002,-2.53274,-1.37006,-1.65703,-2.56838,-3.38316,-0.0769174,-8.15767e-4,0.0639164,-0.104457,0.0540626,1.396,0.718753,0.754212,1.11064,2.46891,2.45962,0.95408,1.52004,1.8859,2.90795,-0.881701,-1.02469,-0.145717,0.0379518,-0.279207,-0.775768,-1.5333,-3.46748,-0.261302
28,31,Male,No religion,Single,Yes,Had COVID,2,NA,,20260909002,-2.61375,-1.4556,-1.59164,-2.6176,-3.36993,-0.136927,-0.0566373,0.00415383,-0.0657644,-0.14656,1.33763,0.580584,0.526189,0.964582,2.4112,2.37442,0.788227,1.48082,1.83578,2.65567,-0.86615,-1.00011,-0.208315,0.0154117,-0.3408,-0.796335,-1.5549,-3.43274,-0.197659
29,68,Male,No religion,Married,No,Had COVID,4,NA,,20260909002,-2.41798,-1.24624,-1.51331,-2.54302,-2.99452,-0.0872954,-0.0796392,0.0452114,0.0493971,-0.221236,1.29404,0.542427,0.445839,0.865587,2.31061,2.28111,0.726885,1.42466,1.68118,2.61531,-0.843555,-1.01542,-0.187012,-0.0110192,-0.345478,-0.813986,-1.50308,-3.4936,-0.238141
30,42,Female,No religion,Married,Yes,None,2,NA,,20260909002,-2.44555,-1.30895,-1.59706,-2.69855,-3.16747,-0.120901,-0.068952,0.0308644,0.238006,-0.0934748,1.19426,0.556432,0.567452,0.752066,2.03983,2.03442,0.562371,1.44822,1.56526,2.47099,-0.857698,-1.06172,-0.129326,0.0169225,-0.320482,-0.798702,-1.51548,-3.49927,-0.195532
31,46,Female,Not answered,Married,No,Had COVID,1,NA,,20260909002,-2.17383,-1.05856,-1.45638,-2.34155,-2.94012,-0.169684,-0.0298104,0.0666952,-0.1758,-0.16766,0.779547,0.176894,0.381292,0.667219,1.81663,1.79852,0.302665,1.20214,1.26993,2.2393,-0.896419,-1.03882,-0.156658,0.0314476,-0.26476,-0.720097,-1.53,-3.51614,-0.189451
32,23,Female,No religion,Single,No,Had COVID,2,NA,,20260909002,-2.42941,-1.29256,-1.60029,-2.50956,-3.18133,-0.0656235,0.125331,0.135507,0.0892608,0.060972,1.34024,0.527631,0.612596,0.814538,2.2429,2.11758,0.621174,1.38296,1.5723,2.64999,-0.87416,-1.07798,-0.179232,0.00600263,-0.30172,-0.757155,-1.53039,-3.5273,-0.228511
33,42,Male,No religion,Single,Yes,Had COVID,4,NA,,20260909002,-2.35918,-1.2273,-1.59091,-2.586,-3.12975,-0.0962318,-0.110501,0.128507,0.0581944,-0.255153,1.3509,0.646426,0.573922,0.95835,2.38846,2.2516,0.714814,1.47516,1.80914,2.66011,-0.896935,-1.06827,-0.157656,-8.85764e-4,-0.317461,-0.755675,-1.47982,-3.47811,-0.233081
34,48,Female,Hindu,Married,Yes,Bereaved,3,NA,,20260909002,-2.42832,-1.25439,-1.60226,-2.5953,-3.11543,-0.127843,-0.0932258,0.0798473,-0.0130352,-0.135966,1.4427,0.728048,0.766055,1.15055,2.31228,2.2029,0.823688,1.51651,1.6655,2.66707,-0.911275,-1.02671,-0.228536,-0.0252495,-0.28805,-0.814398,-1.49689,-3.51511,-0.206023
35,36,Male,Christian,Single,No,Bereaved,4,1,Scientific Rationalism,20260909002,-2.60195,-1.35058,-1.61308,-2.52736,-3.09049,0.0322315,0.0236781,0.103256,0.0710722,-0.0507951,1.20291,0.557529,0.643918,0.990783,2.09749,2.36266,0.67634,1.42097,1.53293,2.3838,-0.909981,-1.03535,-0.124913,0.0340249,-0.367067,-0.878872,-1.56203,-3.54109,-0.263134
36,31,Female,Jewish,Single,Yes,Had COVID,1,4,Conspiracy Ideation,20260909002,-2.35888,-1.25681,-1.60677,-2.73584,-3.21368,-0.121899,-0.0391732,0.0735577,0.0871,-0.169949,1.21486,0.625842,0.641997,1.12633,2.36884,2.0012,0.566514,1.43022,1.79985,2.66511,-0.906248,-1.0768,-0.150758,0.0591251,-0.26624,-0.767606,-1.50735,-3.47906,-0.209459
37,40,Female,No religion,Married,Yes,Had COVID,4,NA,,20260909002,-2.5288,-1.48676,-1.61195,-2.5572,-3.44289,-0.186907,-0.0277696,-3.568e-4,-0.0322441,-0.0194138,1.33985,0.722146,0.707682,1.02734,2.44511,2.13807,0.787591,1.37075,1.44294,2.88191,-0.851167,-0.999638,-0.207955,0.0292246,-0.349377,-0.797801,-1.49398,-3.41614,-0.204077
38,58,Female,Christian,Divorced,No,Had COVID,4,3,Communitarianism,20260909002,-2.31556,-1.33967,-1.44751,-2.39989,-3.13781,-0.341169,-0.182845,-0.0337226,-0.110614,-0.256469,0.981707,0.490974,0.434702,0.690993,2.08077,2.1237,0.69608,1.35793,1.55277,2.54279,-0.853282,-1.09037,-0.154001,-0.00201005,-0.352189,-0.843279,-1.55569,-3.51426,-0.213839
39,29,Male,Christian,Divorced,Yes,Had COVID,4,NA,,20260909002,-2.31137,-1.157,-1.42655,-2.43402,-2.8253,-0.353254,-0.193833,-0.0418999,-0.108786,-0.279891,1.39938,0.595366,0.533951,1.08561,2.00757,2.17286,0.665315,1.37151,1.65542,2.37493,-0.918211,-1.03672,-0.226597,-0.0281705,-0.32321,-0.789831,-1.48329,-3.46884,-0.248812
40,55,Female,Not answered,Married,No,None,1,NA,,20260909002,-2.57901,-1.41198,-1.58648,-2.68853,-3.32344,-0.16437,0.026776,0.0572476,0.0865786,-0.0628175,1.31065,0.48276,0.572031,0.828088,2.23491,2.17474,0.494267,1.34562,1.62235,2.55018,-0.898437,-1.08034,-0.223737,7.71105e-5,-0.375634,-0.904574,-1.50091,-3.4909,-0.230894
41,73,Female,Not answered,Single,No,None,3,NA,,20260909002,-2.53761,-1.2717,-1.56649,-2.4674,-3.03389,-0.15845,-0.0531366,0.0727339,0.012829,-0.222058,1.23465,0.51014,0.454818,0.770626,2.31732,2.22434,0.637013,1.43644,1.4736,2.49917,-0.826722,-1.05756,-0.234844,-0.00309642,-0.393256,-0.829224,-1.52174,-3.43141,-0.223878
42,73,Female,No religion,Widowed,No,Bereaved,2,NA,,20260909002,-2.2715,-1.17407,-1.51687,-2.29291,-3.00637,-0.227244,-0.0834726,0.0878491,-0.170027,-0.150337,1.00251,0.344655,0.410808,0.623941,2.00953,2.07247,0.588972,1.31556,1.50016,2.65348,-0.883752,-0.996681,-0.168038,0.0230027,-0.312312,-0.761409,-1.52259,-3.46276,-0.24194
43,29,Female,Christian,Single,No,None,1,NA,,20260909002,-2.24832,-1.21862,-1.53724,-2.53619,-2.85058,-0.303525,-0.0795469,-0.0305453,0.0653188,-0.243363,1.31397,0.585605,0.673732,0.746502,1.95898,2.11397,0.653349,1.37813,1.46575,2.33895,-0.820862,-1.06639,-0.180616,0.0220769,-0.339951,-0.787161,-1.54626,-3.49249,-0.206274
44,74,Female,Christian,Married,No,Had COVID,4,NA,,20260909002,-2.5288,-1.48676,-1.61195,-2.5572,-3.44289,-0.186907,-0.0277696,-3.568e-4,-0.0322441,-0.0194138,1.33985,0.722146,0.707682,1.02734,2.44511,2.13807,0.787591,1.37075,1.44294,2.88191,-0.851167,-0.999638,-0.207955,0.0292246,-0.349377,-0.797801,-1.49398,-3.41614,-0.204077
45,29,Female,Christian,Married,No,None,4,NA,,20260909002,-2.23299,-1.07235,-1.47422,-2.37355,-2.97756,-0.201406,-0.164155,0.0786946,0.102714,-0.0850688,0.966851,0.374114,0.482651,0.717373,2.04511,1.89119,0.375439,1.2749,1.27788,2.21117,-0.867758,-1.03714,-0.18855,-0.0208064,-0.300651,-0.769713,-1.52264,-3.51254,-0.243429
46,18,Male,Christian,Single,No,None,4,1,Scientific Rationalism,20260909002,-2.49087,-1.46186,-1.66325,-2.69373,-3.41992,-0.116452,0.0121347,0.0792384,0.0764296,-0.151411,1.27769,0.585866,0.603496,0.928946,2.57744,2.24739,0.670775,1.488,1.63271,2.55636,-0.863151,-1.06709,-0.114351,0.061559,-0.338182,-0.821091,-1.55734,-3.4998,-0.174462
47,60,Female,Muslim,Single,No,Had COVID,2,NA,,20260909002,-2.18182,-1.14049,-1.5528,-2.5136,-3.01191,-0.383212,-0.249253,-0.0316273,-0.0322904,-0.261921,1.0253,0.408264,0.588267,0.945773,2.16302,2.07796,0.709293,1.46636,1.5728,2.60975,-0.844966,-0.989033,-0.155188,0.0401301,-0.357676,-0.83332,-1.49743,-3.53017,-0.233402
48,41,Female,Not answered,Single,Yes,None,1,NA,,20260909002,-2.36558,-1.40282,-1.57267,-2.56748,-3.27263,-0.32809,-0.0742578,-0.0464572,0.030007,-0.0100595,1.37205,0.81584,0.650416,1.02755,2.48099,1.9759,0.627143,1.43241,1.53763,2.61289,-0.847433,-1.05758,-0.178082,-0.0030485,-0.363955,-0.804793,-1.55608,-3.50515,-0.188805
49,29,Female,Muslim,Single,Yes,Bereaved,3,NA,,20260909002,-2.294,-1.29702,-1.54271,-2.21424,-3.30994,-0.133314,-0.046113,0.037732,-0.124604,0.00393568,1.20835,0.58011,0.635074,0.736426,2.4277,2.21929,0.837568,1.51776,1.54295,2.78252,-0.886453,-1.06436,-0.163726,-0.0201029,-0.305175,-0.853406,-1.57399,-3.54966,-0.231507
50,50,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-2.37725,-1.24272,-1.50692,-2.36243,-3.18003,-0.00607482,0.0487433,0.124725,-0.00194199,-0.0715909,1.16795,0.512118,0.505061,0.806754,2.36733,1.8569,0.406952,1.30992,1.32965,2.46342,-0.879181,-1.02311,-0.186201,-0.0489034,-0.378486,-0.880107,-1.53571,-3.49688,-0.226788
51,36,Male,No religion,Single,Yes,Long COVID,4,NA,,20260909002,-2.26879,-1.12637,-1.41034,-2.33749,-2.91751,-0.254709,-0.0818815,-0.0340613,-0.0625887,-0.03739,1.02962,0.318311,0.507044,0.747686,1.80732,1.92801,0.411448,1.3768,1.40582,2.19304,-0.881075,-1.04031,-0.178955,0.0302534,-0.362222,-0.815764,-1.46381,-3.48742,-0.233715
52,35,Male,No religion,Married,No,None,4,NA,,20260909002,-2.46372,-1.38564,-1.58446,-2.61892,-2.98729,-0.100415,0.0834565,0.0846469,0.158554,-0.0218972,1.12394,0.593404,0.510096,0.837145,2.09629,2.13784,0.70254,1.35765,1.46299,2.38801,-0.886284,-1.07846,-0.177584,0.0520575,-0.346642,-0.750824,-1.55025,-3.53095,-0.217386
53,61,Female,Christian,Married,No,None,4,NA,,20260909002,-2.42007,-1.31689,-1.58671,-2.61692,-3.27957,-0.194311,-0.0629568,0.117069,-9.83071e-4,-0.135214,1.37016,0.743305,0.630149,1.08668,2.66151,2.20353,0.681802,1.34598,1.59191,2.60913,-0.939094,-1.07599,-0.152724,-0.0180048,-0.3026,-0.818115,-1.54552,-3.53989,-0.212197
54,41,Male,No religion,Married,Yes,Had COVID,3,NA,,20260909002,-2.30937,-1.2177,-1.61891,-2.32231,-3.06991,-0.13363,-0.0435759,-0.0127905,-0.0332277,0.0145536,1.03816,0.417755,0.60688,0.630932,2.15205,2.09372,0.575864,1.47801,1.41774,2.32629,-0.928423,-1.07568,-0.165822,0.0297566,-0.275626,-0.805184,-1.54661,-3.51039,-0.228684
55,67,Male,No religion,Married,No,Had COVID,3,NA,,20260909002,-2.35307,-1.16467,-1.53316,-2.57522,-2.87695,-0.307626,-0.205594,-0.00211089,-0.099187,-0.278063,1.09465,0.402193,0.486466,0.89017,1.96897,2.04753,0.527723,1.32122,1.61375,2.24091,-0.841689,-1.03039,-0.187296,0.0771462,-0.337684,-0.747035,-1.52342,-3.4552,-0.196776
56,35,Male,Not answered,Single,No,None,1,NA,,20260909002,-2.40908,-1.27792,-1.60264,-2.42223,-3.04671,-0.124319,-0.00703051,0.0981755,0.135826,-0.0816536,1.18085,0.6097,0.687682,0.872861,2.26669,2.26472,0.685698,1.49843,1.59545,2.61173,-0.840938,-1.02102,-0.182751,-0.0360298,-0.353295,-0.857065,-1.5102,-3.4681,-0.241525
57,61,Female,No religion,Married,No,None,2,NA,,20260909002,-2.39345,-1.31513,-1.50283,-2.36615,-3.09731,-0.0706112,0.0440386,0.21646,0.143234,0.0170044,1.11769,0.600958,0.47709,0.57685,2.232,2.15516,0.624111,1.30033,1.34445,2.42785,-0.885525,-1.08054,-0.122984,0.025554,-0.328603,-0.810315,-1.54174,-3.49124,-0.215311
58,20,Female,No religion,Single,No,None,4,NA,,20260909002,-2.18416,-1.01985,-1.43828,-2.36316,-2.97047,-0.0576035,-0.117968,0.0780089,-0.0641523,-0.0430748,1.03165,0.393916,0.466452,0.870384,2.0727,1.86948,0.39865,1.28877,1.41584,2.22303,-0.868357,-0.998376,-0.228782,-0.00950656,-0.284335,-0.827442,-1.45908,-3.41152,-0.254706
59,46,Male,No religion,Single,Yes,Had COVID,4,NA,,20260909002,-2.27797,-1.18555,-1.51079,-2.51222,-3.07118,-0.330621,-0.222676,-0.144144,-0.202063,-0.248951,1.29412,0.573695,0.677733,1.07053,2.24375,2.03418,0.624991,1.43646,1.52856,2.54993,-0.900739,-1.01322,-0.185874,0.0192009,-0.29188,-0.793436,-1.47835,-3.53279,-0.24265
60,27,Female,Christian,Single,No,Had COVID,2,NA,,20260909002,-2.59008,-1.38072,-1.68429,-2.6562,-3.22712,-0.18696,-0.0488649,0.0718767,0.0160829,-0.108031,1.55042,0.653936,0.746088,1.06602,2.2184,2.25638,0.640011,1.49345,1.61966,2.63275,-0.886132,-1.08918,-0.173633,-4.14862e-4,-0.312744,-0.797522,-1.52973,-3.50729,-0.197198
61,52,Female,Christian,Married,No,None,2,NA,,20260909002,-2.30089,-1.32235,-1.63873,-2.65433,-3.14611,-0.143541,0.0183245,0.183197,0.182304,-0.0206605,1.14569,0.578068,0.623994,0.949915,2.11445,1.87997,0.610311,1.38148,1.47749,2.53183,-0.844461,-1.04151,-0.178473,-0.0191713,-0.317282,-0.82719,-1.48714,-3.46903,-0.224197
62,58,Female,No religion,Married,No,Bereaved,2,NA,,20260909002,-2.03852,-1.05536,-1.5299,-2.40721,-3.20694,-0.190981,-0.0241524,0.102743,-0.0198722,0.124207,1.01385,0.391275,0.569708,0.819179,2.35988,1.65369,0.189298,1.20774,1.25136,2.32311,-0.887967,-1.114,-0.172103,0.00148173,-0.327399,-0.883888,-1.54017,-3.51707,-0.247036
63,53,Male,Christian,Married,No,None,3,NA,,20260909002,-2.15515,-1.08766,-1.42187,-2.22988,-2.94349,-0.226382,-0.145718,-0.0395918,-0.0767793,-0.15812,0.993213,0.464445,0.570686,0.570061,2.03803,1.85096,0.518621,1.26751,1.17935,2.45169,-0.872225,-1.029,-0.163852,-7.07963e-5,-0.314667,-0.7542,-1.50705,-3.50448,-0.251204
64,61,Male,Christian,Married,No,None,4,1,Scientific Rationalism,20260909002,-2.24787,-1.13851,-1.63778,-2.43837,-3.02876,-0.250334,-0.0875591,0.0233762,-0.097311,-0.154801,1.14173,0.467649,0.635004,0.943959,2.04633,2.05026,0.565483,1.52771,1.51706,2.46637,-0.917727,-1.09421,-0.179893,-0.00917563,-0.351572,-0.855229,-1.54677,-3.59865,-0.258039
65,26,Female,Christian,Single,No,Long COVID,3,NA,,20260909002,-2.38848,-1.32263,-1.64257,-2.51049,-3.20764,-0.07377,0.0297309,0.123058,0.0929319,-0.155987,1.04872,0.399731,0.630555,0.663644,2.2316,2.0261,0.555504,1.30772,1.2962,2.48707,-0.821932,-1.03883,-0.156136,0.0563457,-0.30372,-0.793649,-1.52364,-3.49483,-0.213718
