Block,Set,Alt,PHSM,VACCINE,DURATION,FINANACES,EDUCATION,DEATH,INFECTION,PHSM_C,VACCINE_C,DURATION_C,FINANACES_C,EDUCATION_C,DEATH_C,INFECTION_C
1,set11,alt1,Reduced social contact,Available,9 months,2 in 5 businesses close,10 falling behind in 25 children,150 deaths per day,90%,1,1,9,2,10,150,90
1,set11,alt2,Reduced social contact,Not available,6 months,No businesses close,5 falling behind in 25 children ,50 deaths per day,25%,1,0,6,0,5,50,25
1,set18,alt1,Reduced social contact,Available,3 months,2 in 5 businesses close,10 falling behind in 25 children,150 deaths per day,25%,1,1,3,2,10,150,25
1,set18,alt2,Reduced social contact,Not available,6 months,No businesses close,5 falling behind in 25 children ,50 deaths per day,90%,1,0,6,0,5,50,90
1,set19,alt1,Lockdown,Available,3 months,One in 5 businesses close,10 falling behind in 25 children,100 deaths per day,50%,2,1,3,1,10,100,50
1,set19,alt2,Basic measures,Not available,9 months,No businesses close,5 falling behind in 25 children ,100 deaths per day,25%,0,0,9,0,5,100,25
1,set33,alt1,Basic measures,Not available,6 months,One in 5 businesses close,10 falling behind in 25 children,50 deaths per day,50%,0,0,6,1,10,50,50
1,set33,alt2,Lockdown,Available,3 months,One in 5 businesses close,5 falling behind in 25 children ,150 deaths per day,90%,2,1,3,1,5,150,90
1,set35,alt1,Lockdown,Not available,3 months,2 in 5 businesses close,5 falling behind in 25 children ,150 deaths per day,90%,2,0,3,2,5,150,90
1,set35,alt2,Reduced social contact,Available,6 months,One in 5 businesses close,10 falling behind in 25 children,100 deaths per day,50%,1,1,6,1,10,100,50
1,set37,alt1,Basic measures,Not available,3 months,No businesses close,5 falling behind in 25 children ,50 deaths per day,25%,0,0,3,0,5,50,25
1,set37,alt2,Reduced social contact,Available,9 months,2 in 5 businesses close,10 falling behind in 25 children,100 deaths per day,50%,1,1,9,2,10,100,50
1,set41,alt1,Basic measures,Available,3 months,One in 5 businesses close,5 falling behind in 25 children ,100 deaths per day,25%,0,1,3,1,5,100,25
1,set41,alt2,Reduced social contact,Not available,6 months,No businesses close,10 falling behind in 25 children,50 deaths per day,50%,1,0,6,0,10,50,50
1,set42,alt1,Basic measures,Not available,9 months,No businesses close,10 falling behind in 25 children,100 deaths per day,50%,0,0,9,0,10,100,50
1,set42,alt2,Reduced social contact,Available,6 months,One in 5 businesses close,5 falling behind in 25 children ,50 deaths per day,25%,1,1,6,1,5,50,25
1,set48,alt1,Lockdown,Available,6 months,2 in 5 businesses close,10 falling behind in 25 children,150 deaths per day,90%,2,1,6,2,10,150,90
1,set48,alt2,Reduced social contact,Not available,3 months,One in 5 businesses close,5 falling behind in 25 children ,100 deaths per day,25%,1,0,3,1,5,100,25
1,set5,alt1,Reduced social contact,Not available,6 months,No businesses close,5 falling behind in 25 children ,150 deaths per day,90%,1,0,6,0,5,150,90
1,set5,alt2,Lockdown,Available,9 months,2 in 5 businesses close,10 falling behind in 25 children,100 deaths per day,50%,2,1,9,2,10,100,50
1,set6,alt1,Reduced social contact,Available,3 months,No businesses close,10 falling behind in 25 children,100 deaths per day,50%,1,1,3,0,10,100,50
1,set6,alt2,Basic measures,Not available,9 months,One in 5 businesses close,10 falling behind in 25 children,50 deaths per day,25%,0,0,9,1,10,50,25
1,set9,alt1,Reduced social contact,Not available,3 months,2 in 5 businesses close,5 falling behind in 25 children ,150 deaths per day,90%,1,0,3,2,5,150,90
1,set9,alt2,Reduced social contact,Available,9 months,No businesses close,10 falling behind in 25 children,50 deaths per day,25%,1,1,9,0,10,50,25
2,set1,alt1,Lockdown,Not available,6 months,2 in 5 businesses close,10 falling behind in 25 children,150 deaths per day,50%,2,0,6,2,10,150,50
2,set1,alt2,Reduced social contact,Available,9 months,One in 5 businesses close,5 falling behind in 25 children ,50 deaths per day,90%,1,1,9,1,5,50,90
2,set10,alt1,Reduced social contact,Not available,9 months,2 in 5 businesses close,5 falling behind in 25 children ,100 deaths per day,90%,1,0,9,2,5,100,90
2,set10,alt2,Reduced social contact,Available,3 months,No businesses close,10 falling behind in 25 children,150 deaths per day,25%,1,1,3,0,10,150,25
2,set13,alt1,Basic measures,Available,9 months,No businesses close,10 falling behind in 25 children,50 deaths per day,50%,0,1,9,0,10,50,50
