scenario,phm,econ,infection,mortality,education,vaccine,mean_u,ci_lo,ci_hi
1. Timely lockdown,Basic,0,90,150,10,Available,-4.198105164152615,-4.201320280994649,-4.195445026729175
1. Timely lockdown,Basic,0,90,150,10,Not available,-5.3782110555909775,-5.384992897834662,-5.372531822326088
1. Timely lockdown,Lockdown,40,25,50,5,Available,-1.6437970269345783,-1.6495461954804411,-1.6390339981110689
1. Timely lockdown,Lockdown,40,25,50,5,Not available,-1.4365156061098683,-1.4430800509514214,-1.4305386847061312
2. Lockdown failed,Basic,0,90,150,10,Available,-4.19836895565405,-4.2017715933536,-4.1951246878427755
2. Lockdown failed,Basic,0,90,150,10,Not available,-5.378223867843348,-5.384185081518475,-5.3727160243084375
2. Lockdown failed,Lockdown,40,90,150,10,Available,-5.841966189429227,-5.84761012982311,-5.835077266099251
2. Lockdown failed,Lockdown,40,90,150,10,Not available,-5.634810442526666,-5.641183946257962,-5.628565455627014
3. Overkill lockdown,Basic,0,25,50,5,Available,0,0,0
3. Overkill lockdown,Basic,0,25,50,5,Not available,-1.180096761507735,-1.185374498055725,-1.175670881393375
3. Overkill lockdown,Lockdown,40,25,50,5,Available,-1.6437250324329076,-1.6492143197655489,-1.6388280902784562
3. Overkill lockdown,Lockdown,40,25,50,5,Not available,-1.4361233061288285,-1.4431400893384563,-1.4300490675522062
