b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur6,b_dur9,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.64975,-1.26606,-1.56327,-2.53354,-3.27118,-0.127823,-0.161726,0.0584235,0.0623442,-0.117057,1.36402,0.446562,0.516915,0.929231,2.04933,2.38665,0.640619,1.35779,1.41778,2.6612,-0.905151,-1.0942,-0.174816,0.0306786,-0.334958,-0.837954,-1.53544,-3.51777,-0.245892
-2.31319,-1.32225,-1.53056,-2.41293,-3.18428,-0.295443,0.00246443,0.018096,-0.141255,0.162445,1.21121,0.495202,0.626152,0.860668,1.99732,2.13377,0.700523,1.37533,1.63918,2.54102,-0.830342,-1.04367,-0.179869,-0.00478209,-0.30668,-0.754945,-1.50268,-3.43,-0.193327
-2.31826,-1.30196,-1.67457,-2.52763,-3.11091,-0.0420005,0.0435048,0.19819,0.140178,-0.200441,1.09263,0.517578,0.688711,1.08995,2.31327,2.15031,0.777054,1.48075,1.48584,2.75885,-0.896843,-1.04623,-0.158926,0.00678878,-0.303198,-0.780687,-1.50722,-3.48084,-0.228782
-2.42805,-1.33126,-1.66396,-2.48496,-3.31945,-0.125931,-0.0596502,0.0897185,0.0207587,-0.140456,1.43578,0.757678,0.785394,1.07972,2.47506,2.16678,0.7803,1.57477,1.7076,2.79493,-0.886116,-1.04708,-0.167676,-0.0836375,-0.296728,-0.812467,-1.48958,-3.48471,-0.261384
-2.2064,-1.17927,-1.52662,-2.3399,-2.93343,-0.188234,-0.0758135,0.0299381,0.0879515,-0.114234,1.16027,0.548129,0.544085,0.720942,2.16256,2.06721,0.712382,1.44486,1.38462,2.56352,-0.890325,-1.05015,-0.206888,-0.0224569,-0.367796,-0.871618,-1.52177,-3.52208,-0.248689
-2.25865,-1.15975,-1.521,-2.40267,-3.05864,-0.191257,-0.0457147,0.070366,-0.160331,-0.138539,1.12911,0.479997,0.661606,1.10361,2.22576,1.97917,0.528664,1.38507,1.56157,2.64991,-0.79171,-1.05736,-0.21196,-0.0661778,-0.354044,-0.800122,-1.4905,-3.51325,-0.248969
-2.51523,-1.4434,-1.71759,-2.69095,-3.20832,-0.00669492,0.100503,0.0933441,0.0914361,-0.0304537,1.3406,0.681908,0.646981,0.897383,2.30194,2.176,0.554293,1.4764,1.52612,2.43993,-0.864964,-1.06521,-0.168923,0.0212026,-0.3177,-0.795895,-1.53371,-3.48,-0.22049
-2.38094,-1.42803,-1.55489,-2.52634,-3.19409,-0.0971703,-0.0107341,0.073815,0.0715008,-0.0741239,1.00211,0.562323,0.508309,0.848624,2.07403,2.21268,0.829671,1.44147,1.59686,2.65732,-0.894992,-1.04572,-0.192951,-0.0304174,-0.333016,-0.78098,-1.46809,-3.42627,-0.197294
-2.57762,-1.42792,-1.62857,-2.7795,-3.13355,-0.11124,-0.0589468,0.0943081,-0.0491012,-0.123233,1.33709,0.667043,0.610251,1.22216,2.14094,2.31396,0.712913,1.30447,1.72098,2.48928,-0.859665,-1.02599,-0.164626,0.0506931,-0.292522,-0.813405,-1.56691,-3.51863,-0.173426
-2.24487,-1.22258,-1.54977,-2.55937,-3.19333,-0.144392,-0.106128,0.0659633,0.0546344,-0.134261,1.0813,0.525832,0.552139,1.07822,2.18436,2.04703,0.602458,1.35949,1.59897,2.59275,-0.818701,-1.02818,-0.102785,0.0420143,-0.320902,-0.786388,-1.51834,-3.43798,-0.200594
-2.35307,-1.16467,-1.53316,-2.57522,-2.87695,-0.307626,-0.205594,-0.00211089,-0.099187,-0.278063,1.09465,0.402193,0.486466,0.89017,1.96897,2.04753,0.527723,1.32122,1.61375,2.24091,-0.841689,-1.03039,-0.187296,0.0771462,-0.337684,-0.747035,-1.52342,-3.4552,-0.196776
-2.30222,-1.29979,-1.60473,-2.51654,-3.14177,-0.255407,-0.0899628,0.0319833,0.017504,-0.139865,1.14375,0.69441,0.738104,0.863616,2.24724,2.05228,0.655787,1.56828,1.61333,2.58308,-0.861064,-1.03572,-0.186108,0.00133737,-0.328026,-0.833553,-1.51038,-3.51361,-0.241866
-2.3064,-1.26757,-1.49815,-2.42554,-3.32137,-0.153972,-0.0699486,0.0216471,0.0219842,0.0043187,1.16756,0.581085,0.572028,0.883779,2.44396,2.07225,0.640295,1.4701,1.59284,2.6309,-0.879076,-1.03679,-0.205062,-0.0339866,-0.277067,-0.78874,-1.47011,-3.42104,-0.232566
-2.29326,-1.32637,-1.66587,-2.73971,-3.16958,-0.110264,0.0408515,0.135772,0.278556,-0.052251,1.09457,0.607334,0.610603,0.888851,2.19753,2.05839,0.603405,1.41252,1.64035,2.52433,-0.91662,-1.05395,-0.153626,0.00602013,-0.286407,-0.770542,-1.54375,-3.53296,-0.231578
-2.08036,-1.01337,-1.40541,-2.30854,-2.98683,-0.21568,-0.0420415,-0.00073151,0.0554552,-0.058206,1.07728,0.394293,0.546399,0.773369,2.14208,1.91334,0.396479,1.39767,1.38074,2.37873,-0.932842,-1.06265,-0.138418,0.00650132,-0.326479,-0.821301,-1.48488,-3.54658,-0.23456
-2.30937,-1.2177,-1.61891,-2.32231,-3.06991,-0.13363,-0.0435759,-0.0127905,-0.0332277,0.0145536,1.03816,0.417755,0.60688,0.630932,2.15205,2.09372,0.575864,1.47801,1.41774,2.32629,-0.928423,-1.07568,-0.165822,0.0297566,-0.275626,-0.805184,-1.54661,-3.51039,-0.228684
-2.42979,-1.19222,-1.57369,-2.46045,-2.95817,-0.130878,0.0643207,0.0801765,0.135574,-0.0241107,1.31862,0.567676,0.606925,0.854746,2.00207,2.06313,0.405911,1.38785,1.44753,2.2589,-0.895952,-1.00449,-0.163915,0.0299391,-0.351338,-0.799523,-1.54565,-3.54175,-0.234883
-2.43514,-1.42041,-1.72188,-2.74826,-3.4547,-0.0999272,0.103674,0.081384,0.165381,0.0512288,1.15226,0.549076,0.663994,1.12448,2.44296,2.07882,0.633155,1.50088,1.56142,2.79729,-0.900463,-1.10228,-0.165087,0.0156007,-0.364198,-0.806344,-1.58301,-3.53255,-0.227258
-2.21022,-1.15894,-1.5352,-2.45842,-3.10874,-0.407799,-0.203913,-0.00582995,-0.0202134,-0.345716,1.08022,0.40861,0.556564,0.79664,2.21535,2.24846,0.717109,1.51335,1.67955,2.70727,-0.877615,-1.01271,-0.209736,0.00247359,-0.330515,-0.81723,-1.478,-3.47842,-0.20905
-2.50289,-1.39026,-1.57495,-2.69265,-3.35903,-0.236025,-0.0364398,0.00955995,-0.0534215,0.0711905,1.29784,0.54294,0.503466,0.934812,2.33846,2.28807,0.7178,1.4153,1.72834,2.69729,-0.84345,-1.01776,-0.198394,0.0582756,-0.295794,-0.788527,-1.49278,-3.4977,-0.189486
-2.25051,-1.31287,-1.54711,-2.61027,-3.26114,-0.2949,-0.0642186,-0.0153953,0.00461342,-0.111324,0.917456,0.513547,0.582403,0.993299,2.29313,1.8975,0.457055,1.24348,1.42197,2.37167,-0.850933,-1.07372,-0.160569,-0.0248446,-0.315147,-0.801682,-1.56359,-3.45285,-0.232761
-2.23251,-1.2101,-1.47664,-2.44671,-3.1179,-0.194832,-0.0626607,-0.00643917,0.0457291,-0.111973,1.09902,0.42896,0.559799,0.888537,2.139,1.91683,0.494583,1.28387,1.31153,2.50612,-0.852591,-1.05675,-0.20074,-0.025531,-0.305758,-0.769111,-1.50946,-3.37572,-0.203287
-2.5788,-1.48269,-1.61296,-2.68641,-3.12236,-0.257276,-0.0351446,0.0997859,0.0904739,-0.0734709,1.4737,0.819321,0.664749,1.08277,2.30868,2.34689,0.895123,1.46197,1.55382,2.5184,-0.929546,-1.03987,-0.205416,0.038843,-0.346726,-0.766398,-1.49962,-3.4715,-0.207387
-2.4397,-1.3527,-1.52364,-2.41057,-3.17972,-0.0994223,0.116398,0.17352,-0.0850859,0.0251439,1.27062,0.634249,0.54373,0.947626,2.20848,2.05529,0.51165,1.19917,1.35759,2.33021,-0.840031,-1.0491,-0.134854,0.0268113,-0.372908,-0.844891,-1.51928,-3.53853,-0.213533
-2.22833,-1.1373,-1.47061,-2.36372,-3.07209,-0.0342816,0.069322,0.0701571,0.0466509,-0.00876587,1.02457,0.4149,0.532804,0.85499,2.19988,1.9075,0.47376,1.30252,1.3457,2.31118,-0.882924,-1.00986,-0.132022,0.0254084,-0.282091,-0.751163,-1.48688,-3.48254,-0.248815
-2.53013,-1.39997,-1.64628,-2.5667,-3.26993,-0.265616,-0.05504,0.0344948,-0.0144358,-0.214701,1.31263,0.519268,0.602504,0.74075,2.12362,2.1665,0.557323,1.45148,1.40261,2.56487,-0.855959,-1.05603,-0.127178,0.048488,-0.343128,-0.811679,-1.5704,-3.52913,-0.167263
-2.38222,-1.28539,-1.38684,-2.32248,-3.19718,-0.148301,-0.0915835,-0.0405088,-0.00734804,-0.133912,1.18345,0.53329,0.413453,0.681638,2.19086,2.282,0.734371,1.43581,1.45341,2.65331,-0.933857,-1.04344,-0.228263,-0.0455252,-0.338881,-0.822589,-1.49819,-3.52608,-0.262899
-2.24938,-1.11152,-1.34109,-2.48301,-2.99076,-0.281661,-0.0553867,-0.0572254,-0.028623,-0.0431122,1.08327,0.28006,0.346199,0.877829,2.12236,2.04117,0.519993,1.24373,1.46919,2.33782,-0.879945,-0.992327,-0.187442,0.077007,-0.309604,-0.77787,-1.49534,-3.47936,-0.218049
-2.25551,-1.08017,-1.40595,-2.41449,-2.99365,-0.265851,-0.116072,0.0388743,0.0632993,-0.184753,1.11869,0.315089,0.35167,0.776621,2.10904,2.15672,0.590999,1.28199,1.40618,2.58142,-0.912045,-1.01834,-0.185206,0.0276402,-0.312264,-0.813768,-1.51893,-3.47048,-0.228393
-2.51371,-1.43054,-1.68927,-2.70741,-3.47573,-0.0687334,0.0288633,0.0604582,0.0869906,0.00897131,1.33771,0.683954,0.624434,1.03224,2.55875,2.18182,0.677831,1.47406,1.64312,2.71882,-0.893357,-1.05542,-0.152846,0.0248694,-0.313685,-0.860497,-1.57596,-3.57504,-0.227363
-2.59913,-1.46627,-1.68507,-2.6922,-3.55849,-0.00341583,0.0957985,0.173262,0.134021,0.10062,1.43584,0.731494,0.675003,1.02378,2.57353,2.14425,0.633355,1.41106,1.51213,2.83541,-0.921857,-1.05981,-0.171522,0.0172439,-0.360215,-0.809573,-1.55579,-3.55023,-0.251548
-2.33876,-1.3239,-1.50957,-2.30195,-3.09955,-0.236782,-0.145751,-0.0195201,-0.175843,-0.235329,1.19782,0.684353,0.57457,0.797111,2.24286,2.13442,0.831967,1.52335,1.4923,2.59329,-0.905464,-1.0111,-0.207685,0.0222823,-0.291649,-0.799666,-1.50578,-3.42517,-0.209231
-2.23955,-1.25057,-1.46102,-2.41062,-3.13854,-0.143218,-0.0273348,-0.00924344,0.046911,-0.187317,1.08046,0.50642,0.564902,0.681315,2.09052,1.95308,0.545781,1.32474,1.34457,2.55175,-0.858746,-0.992024,-0.143187,0.0145475,-0.355767,-0.835702,-1.5158,-3.4476,-0.146156
-2.44102,-1.36304,-1.63899,-2.83539,-3.3334,-0.320691,-0.118194,0.0883764,0.0771671,-0.0086417,1.41022,0.603261,0.641617,1.09335,2.43324,2.2128,0.827998,1.45318,1.84327,2.84578,-0.876029,-1.06172,-0.207057,0.0152372,-0.354147,-0.901605,-1.53677,-3.60245,-0.200059
-2.20049,-1.06154,-1.44828,-2.31335,-2.89195,-0.241092,-0.200019,-0.126547,-0.114013,-0.279582,1.27273,0.477264,0.624827,0.858022,2.14934,2.04118,0.639427,1.42603,1.50968,2.51063,-0.851185,-1.04547,-0.201437,0.0200314,-0.319545,-0.765664,-1.55732,-3.49925,-0.199088
-2.02398,-0.953807,-1.33201,-2.31455,-2.89837,-0.535842,-0.319636,-0.178538,-0.258564,-0.427226,0.931206,0.332115,0.473883,0.882206,2.15812,2.0673,0.494473,1.265,1.46378,2.53459,-0.845824,-1.02948,-0.149566,0.0325779,-0.314025,-0.77471,-1.52967,-3.52947,-0.208804
-2.21913,-1.18919,-1.45618,-2.26536,-3.15268,-0.190181,0.115341,0.130612,0.0808707,0.124856,1.14192,0.435189,0.569448,0.700297,2.16347,2.08078,0.516199,1.38158,1.41403,2.38124,-0.861295,-1.01654,-0.176609,-0.0783207,-0.297458,-0.847007,-1.48023,-3.43761,-0.274695
-2.48772,-1.26517,-1.43726,-2.47447,-3.02792,-0.311793,-0.148408,-0.157048,-0.120581,-0.309555,1.63199,0.715038,0.67559,1.08986,2.25075,2.39761,0.811724,1.39323,1.6854,2.64488,-0.896155,-1.00933,-0.179738,-0.00570598,-0.35157,-0.80627,-1.51202,-3.50889,-0.231987
-2.35134,-1.19317,-1.6417,-2.46144,-3.16032,-0.193935,-0.11675,0.0734976,0.139487,0.0428151,1.03515,0.324977,0.545612,0.584849,2.00713,2.1913,0.750385,1.50925,1.55598,2.73497,-0.879971,-0.997901,-0.221216,-0.0538255,-0.373724,-0.869971,-1.57862,-3.5775,-0.227567
-2.65138,-1.56632,-1.7252,-2.73259,-3.38352,-0.135581,0.0321069,0.084699,-0.0166711,0.0736633,1.45221,0.850747,0.776917,1.24042,2.48441,2.38858,0.804636,1.40996,1.77849,2.57299,-0.890253,-1.02611,-0.181034,0.0132173,-0.29817,-0.784132,-1.54576,-3.45134,-0.195619
-2.17678,-1.09279,-1.55097,-2.4408,-2.80017,-0.160432,-0.0997589,0.0271286,-0.0281382,-0.0743205,1.13055,0.437456,0.574631,0.831794,1.8665,1.83026,0.395078,1.36422,1.41156,2.09808,-0.852151,-1.04138,-0.184201,-0.0185304,-0.295139,-0.712534,-1.54803,-3.53382,-0.21325
-2.41951,-1.39763,-1.65268,-2.66885,-3.24459,-0.361009,-0.176485,-0.012039,-0.0756794,-0.190448,1.24751,0.692799,0.723611,0.98223,2.3681,2.26392,0.767471,1.50931,1.68539,2.50602,-0.901144,-1.03702,-0.189216,-0.0240075,-0.36332,-0.86539,-1.52178,-3.53378,-0.242404
-2.39563,-1.19665,-1.51698,-2.51106,-3.05699,-0.347564,-0.257481,0.0419312,-0.0685845,-0.224649,1.22184,0.494987,0.580698,0.932404,2.09907,2.15427,0.556524,1.35032,1.63951,2.36548,-0.868372,-1.02831,-0.190041,-0.0484573,-0.347135,-0.789518,-1.49438,-3.48163,-0.214884
-2.20257,-1.2815,-1.51944,-2.55676,-3.25499,-0.16944,-0.00545216,0.00541286,0.0878321,0.0139717,1.19609,0.683826,0.548699,1.07465,2.49092,1.79547,0.5231,1.34803,1.51042,2.47103,-0.839354,-1.02875,-0.139531,0.0195761,-0.297599,-0.827088,-1.55248,-3.49562,-0.201805
-2.26353,-1.30223,-1.49067,-2.5673,-3.31058,-0.193293,-0.0135192,0.0794938,0.05465,0.141719,1.10717,0.645605,0.520982,0.925597,2.2791,2.13236,0.835436,1.50382,1.70773,2.66491,-0.858996,-1.03149,-0.171286,0.0103077,-0.258977,-0.80306,-1.51919,-3.5386,-0.262818
-2.40447,-1.37898,-1.61255,-2.75004,-3.1477,-0.159078,-0.0498685,0.0462121,-0.0417384,-0.155034,1.07513,0.47343,0.411429,0.833232,2.23536,2.18669,0.737796,1.45298,1.69506,2.56791,-0.880947,-1.10207,-0.169634,0.0281174,-0.32955,-0.775948,-1.52939,-3.52282,-0.182506
-2.24832,-1.21862,-1.53724,-2.53619,-2.85058,-0.303525,-0.0795469,-0.0305453,0.0653188,-0.243363,1.31397,0.585605,0.673732,0.746502,1.95898,2.11397,0.653349,1.37813,1.46575,2.33895,-0.820862,-1.06639,-0.180616,0.0220769,-0.339951,-0.787161,-1.54626,-3.49249,-0.206274
-2.30319,-1.11093,-1.5328,-2.60888,-3.00534,-0.156334,-0.10333,0.0643631,0.0154174,-0.164178,0.95399,0.304039,0.490535,0.972989,2.0022,2.27654,0.640502,1.47731,1.91507,2.54741,-0.865153,-1.07663,-0.175545,-0.00420141,-0.30276,-0.724026,-1.52808,-3.47402,-0.204178
-2.38507,-1.30916,-1.60897,-2.55384,-3.13361,-0.0693396,-0.00621609,0.209521,0.00208205,-0.131505,1.15544,0.497308,0.62364,0.814824,2.26292,2.00084,0.639424,1.37348,1.64533,2.63991,-0.882038,-1.05404,-0.185203,-0.0188821,-0.345469,-0.875265,-1.5155,-3.46936,-0.23591
-2.65431,-1.52875,-1.60418,-2.74409,-3.32778,-0.0582161,0.0274665,0.0737354,0.200314,-0.0700692,1.40037,0.79369,0.619521,1.04279,2.46385,2.35506,0.80227,1.45619,1.54704,2.67261,-0.945479,-1.08523,-0.224136,0.0237291,-0.321719,-0.862393,-1.5514,-3.59667,-0.261369
-2.23737,-1.28911,-1.67319,-2.63715,-2.95364,-0.115455,0.124426,0.100375,0.181219,-0.0184007,0.966047,0.430803,0.634911,0.763405,1.94672,1.94116,0.487205,1.46286,1.47596,2.25317,-0.814824,-1.06561,-0.141108,0.0589621,-0.338405,-0.753749,-1.55068,-3.48935,-0.21304
-2.04936,-0.992796,-1.43874,-2.29412,-2.89804,-0.29368,-0.184733,0.0853167,0.094759,-0.176453,0.839464,0.241054,0.439215,0.650844,1.91971,1.85274,0.404928,1.2332,1.23812,2.41134,-0.871894,-1.00245,-0.212676,-0.0231443,-0.327304,-0.775001,-1.48032,-3.4442,-0.238177
-2.08039,-1.10891,-1.45624,-2.49119,-2.96169,-0.17532,0.114275,0.107133,0.131349,0.0601822,0.711729,0.20887,0.340615,0.555977,1.81162,1.99956,0.559963,1.3358,1.51644,2.37335,-0.893813,-1.02852,-0.183915,-0.00502699,-0.254509,-0.733428,-1.5133,-3.52981,-0.242737
-2.23452,-1.10973,-1.37071,-2.32754,-2.89558,-0.112898,0.0114551,-0.0328573,-0.169648,0.0138529,0.928214,0.34205,0.384119,0.645043,1.94465,1.84594,0.327705,1.22497,1.29444,2.25536,-0.897547,-1.05917,-0.223787,-0.046719,-0.33707,-0.79337,-1.51686,-3.53837,-0.203879
-2.27686,-1.28644,-1.59236,-2.33765,-3.12865,-0.0788921,0.0610852,0.176134,0.0769966,-0.120482,1.04682,0.470298,0.54493,0.759387,2.18016,1.84785,0.437421,1.33411,1.22322,2.34847,-0.817933,-1.01128,-0.114066,0.0331432,-0.317169,-0.822016,-1.48403,-3.46216,-0.21867
-2.2482,-1.11231,-1.58559,-2.72422,-3.01986,-0.364148,-0.160192,0.00237791,0.0267384,-0.282732,1.44144,0.626491,0.660117,1.20008,2.42307,2.14293,0.504648,1.47128,1.7675,2.52902,-0.875021,-1.03039,-0.206612,0.00319704,-0.315517,-0.825701,-1.57562,-3.55607,-0.225805
-2.19537,-1.19916,-1.55265,-2.63024,-2.98827,-0.0685966,-0.048921,0.0685859,0.10928,-0.129458,1.07972,0.578625,0.510595,1.00585,2.29217,1.77735,0.457958,1.24651,1.45143,2.50709,-0.872861,-1.03605,-0.152843,0.0600626,-0.329961,-0.831457,-1.56677,-3.50906,-0.243114
-2.51816,-1.43994,-1.5963,-2.54718,-3.30003,-0.204697,-0.131985,0.0204367,-0.0331873,-0.199069,1.2928,0.746029,0.633137,1.04834,2.35664,2.18877,0.829965,1.40124,1.56565,2.85605,-0.898542,-1.05594,-0.206308,-0.0421227,-0.361581,-0.804983,-1.51362,-3.49577,-0.186214
-2.36067,-1.30478,-1.5816,-2.50957,-3.08184,-0.135885,-0.0127009,0.0594289,-0.00243313,-0.0573916,1.28311,0.726906,0.653344,0.977848,2.26512,2.19495,0.838497,1.50204,1.60193,2.66445,-0.868724,-1.02593,-0.160116,0.004615,-0.299034,-0.730814,-1.54869,-3.49763,-0.225043
