b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur6,b_dur9,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.45942,-1.30486,-1.61571,-2.4889,-3.09722,-0.0552179,0.00265535,0.139142,0.0809912,-0.0100143,1.22138,0.580739,0.624051,0.857216,2.13929,2.27192,0.73906,1.46266,1.45275,2.58945,-0.826239,-1.01656,-0.222382,0.00069639,-0.275884,-0.709441,-1.48155,-3.43044,-0.188296
-2.29745,-1.22127,-1.57715,-2.51621,-2.90418,-0.0823801,-0.0598305,0.0527867,-0.151357,-0.0739713,0.905127,0.363755,0.558021,0.782664,1.84449,1.9441,0.433404,1.31396,1.57693,2.17476,-0.871245,-1.10003,-0.150495,-0.0227646,-0.353648,-0.804323,-1.59068,-3.53403,-0.221823
-2.06202,-1.03611,-1.35605,-2.25462,-2.94615,-0.329469,-0.138767,-0.101409,-0.118504,-0.0692423,1.03109,0.477323,0.445869,0.609414,2.09336,1.93737,0.455286,1.18619,1.38668,2.24383,-0.865597,-1.02771,-0.181517,0.0295629,-0.362678,-0.834494,-1.49303,-3.45788,-0.21008
-2.62363,-1.47972,-1.62939,-2.70955,-3.41115,-0.124782,-0.0142321,0.031994,0.0385767,0.0539487,1.47775,0.891375,0.725991,1.1546,2.6792,2.3401,0.79387,1.57101,1.73944,2.77048,-0.91578,-1.08255,-0.195725,-0.016811,-0.324014,-0.846614,-1.5272,-3.51027,-0.249112
-2.26092,-1.20025,-1.48264,-2.33601,-3.03028,-0.163511,-0.0438086,0.13359,0.241902,-0.160127,1.18673,0.519406,0.439631,0.694383,2.2101,1.94708,0.499235,1.35667,1.41248,2.33109,-0.855771,-1.0509,-0.151598,-0.0347108,-0.333799,-0.89784,-1.50808,-3.491,-0.2293
-2.22738,-1.15917,-1.48287,-2.39475,-3.15582,-0.163183,0.0423289,0.098639,-0.00124198,-0.176425,1.14419,0.533711,0.562408,0.912847,2.46389,1.77147,0.333465,1.27668,1.29343,2.54481,-0.879627,-1.06415,-0.201032,-0.0228982,-0.337027,-0.824622,-1.48802,-3.47469,-0.18276
-2.35996,-1.39111,-1.44533,-2.27611,-3.35589,-0.151422,-0.0133674,0.0336801,-0.008299,0.0419174,1.20566,0.684425,0.552453,0.750166,2.33656,2.1438,0.756928,1.37391,1.33752,2.71152,-0.882238,-1.05858,-0.187487,-0.0315412,-0.337149,-0.858449,-1.5275,-3.54723,-0.22308
-2.37167,-1.29133,-1.57633,-2.54673,-3.25033,-0.164041,-0.0815259,0.0822276,-0.153973,-0.195548,1.0641,0.570027,0.492512,0.787271,2.29967,2.01764,0.633469,1.29798,1.4479,2.63419,-0.808482,-1.07777,-0.152381,0.0767218,-0.302378,-0.771632,-1.55375,-3.51571,-0.198642
-2.50269,-1.39646,-1.76038,-2.70612,-3.33292,-0.102378,0.0259634,0.0814534,0.0182043,-0.0056068,1.31801,0.669436,0.745621,1.0159,2.34585,2.23949,0.756299,1.49796,1.72995,2.59992,-0.877756,-1.01637,-0.170052,0.0589061,-0.30217,-0.744429,-1.55138,-3.4799,-0.221832
-2.26161,-1.32963,-1.55256,-2.45061,-3.30714,-0.274251,-0.188416,0.0311868,-0.191631,-0.114203,1.12803,0.628379,0.495735,0.665998,2.29735,1.88815,0.601302,1.30163,1.38797,2.48205,-0.911545,-1.08546,-0.184808,0.0252227,-0.307859,-0.794307,-1.52581,-3.51746,-0.214307
-2.15403,-1.20475,-1.56128,-2.35193,-3.12841,-0.183452,-0.0187115,0.0495463,-0.0404412,0.0183206,1.09751,0.570521,0.622468,0.820257,2.23219,1.80182,0.422587,1.38597,1.34213,2.50691,-0.875105,-1.05303,-0.205545,-0.0624731,-0.353681,-0.800336,-1.57653,-3.6065,-0.225333
-2.34235,-1.24515,-1.39457,-2.37971,-3.10004,-0.128735,0.0399061,0.0838406,0.00983996,0.00971435,1.12696,0.488223,0.500841,0.836142,2.20445,2.14794,0.585727,1.2832,1.59908,2.44874,-0.864661,-0.984885,-0.159554,0.0188318,-0.364671,-0.828571,-1.48,-3.44324,-0.232135
-2.41275,-1.29288,-1.59255,-2.6286,-3.4396,-0.170553,-0.0274115,0.117076,0.200378,-0.14927,1.26472,0.654925,0.590285,0.90139,2.59806,2.26544,0.670138,1.48902,1.53418,2.75849,-0.897009,-1.07074,-0.211112,-0.0210061,-0.274752,-0.834635,-1.49081,-3.47096,-0.252874
-2.40171,-1.30854,-1.61925,-2.61914,-2.98138,0.075043,0.0985846,0.189308,0.216912,-0.00141792,1.08944,0.556044,0.623488,0.892668,2.06421,2.00956,0.531672,1.41845,1.62757,2.24613,-0.879213,-1.0181,-0.199849,0.0204808,-0.340583,-0.765269,-1.45892,-3.43563,-0.235743
-2.37059,-1.23074,-1.57924,-2.5644,-3.05001,-0.272861,-0.198994,-0.0259739,-0.0837516,-0.286059,1.21126,0.517504,0.616101,0.955423,2.06254,2.20235,0.665646,1.45179,1.70336,2.62691,-0.893654,-1.03968,-0.185558,0.0211344,-0.356112,-0.821278,-1.50878,-3.43097,-0.244299
-2.59954,-1.48591,-1.74714,-2.97584,-3.21221,-0.0705003,-0.0210944,0.172741,0.340653,-0.201915,1.38887,0.725513,0.679588,1.0464,2.43945,2.28693,0.785481,1.45113,1.65001,2.62382,-1.00327,-1.14911,-0.147024,0.0579997,-0.334356,-0.7818,-1.53989,-3.5833,-0.172931
-2.3023,-1.29667,-1.5385,-2.40703,-3.1742,-0.26029,-0.0588932,0.115166,0.113521,-0.00817036,1.09896,0.449297,0.554038,0.881495,2.16662,2.00053,0.594698,1.28178,1.31294,2.44425,-0.876098,-1.08338,-0.152554,-0.0322103,-0.363476,-0.825514,-1.54968,-3.56087,-0.200816
-2.5976,-1.44969,-1.66117,-2.66898,-3.11858,-0.0975068,0.0947955,0.0554824,-0.0181097,0.0690185,1.18384,0.464659,0.660794,0.854802,1.91036,2.16092,0.644486,1.41843,1.60528,2.31947,-0.875579,-1.03252,-0.195167,0.0433822,-0.3359,-0.79587,-1.55556,-3.49559,-0.204516
-2.50897,-1.45076,-1.55549,-2.52391,-3.25428,-0.0488357,0.0517958,0.135169,0.0385402,-0.116415,1.42248,0.789534,0.643838,1.08101,2.49903,2.18232,0.748325,1.36626,1.39767,2.62614,-0.902665,-1.04924,-0.178201,0.0291288,-0.27178,-0.755295,-1.46959,-3.41167,-0.24516
-2.39752,-1.41528,-1.66765,-2.69644,-3.23628,-0.0982946,-0.0164017,0.148919,0.065027,0.0443048,1.22874,0.733523,0.776751,1.18199,2.35476,2.00481,0.719213,1.45454,1.54308,2.485,-0.896426,-1.05219,-0.19767,0.00473596,-0.288623,-0.726488,-1.4634,-3.40057,-0.216958
-2.43007,-1.26285,-1.49937,-2.60039,-3.05298,-0.0677914,0.0594282,0.0734584,0.152183,0.228697,1.23238,0.467233,0.496639,0.928066,2.24665,2.11128,0.626604,1.33684,1.65872,2.31853,-0.906848,-1.05531,-0.176878,0.0569296,-0.361614,-0.843766,-1.57671,-3.57815,-0.255155
