scenario,phm,econ,infection,mortality,education,vaccine,mean_u,ci_lo,ci_hi
1. Timely lockdown,Basic,0,90,150,10,Available,-5.402965835505,-5.4064806884125,-5.3984153219
1. Timely lockdown,Basic,0,90,150,10,Not available,-6.589441395054832,-6.595869134788313,-6.58237717104825
1. Timely lockdown,Lockdown,40,25,50,5,Available,-2.4594693040900175,-2.4651992009403805,-2.4533452613049316
1. Timely lockdown,Lockdown,40,25,50,5,Not available,-2.3012429757728867,-2.308017405719324,-2.295101367531534
2. Lockdown failed,Basic,0,90,150,10,Available,-5.40331347702,-5.407194056300001,-5.399375428437501
2. Lockdown failed,Basic,0,90,150,10,Not available,-6.589884017784105,-6.597351296241512,-6.5840425127266995
2. Lockdown failed,Lockdown,40,90,150,10,Available,-6.985372333812732,-6.9921618796200775,-6.97844494320222
2. Lockdown failed,Lockdown,40,90,150,10,Not available,-6.826541867559647,-6.833432380698962,-6.820025359062831
3. Overkill lockdown,Basic,0,25,50,5,Available,-0.8775623857525,-0.8790960815375001,-0.8761441425125
3. Overkill lockdown,Basic,0,25,50,5,Not available,-2.0645267194766723,-2.069646531278375,-2.0593590973894624
3. Overkill lockdown,Lockdown,40,25,50,5,Available,-2.459301022140648,-2.4645942956864695,-2.4532870321411235
3. Overkill lockdown,Lockdown,40,25,50,5,Not available,-2.3012251654666493,-2.3072803518987897,-2.2947614162268124
