scenario,phm,econ,infection,mortality,education,vaccine,mean_u,ci_lo,ci_hi
1. Timely lockdown,Basic,0,90,150,10,Available,-5.47814657157425,-5.48206419232875,-5.474355678959999
1. Timely lockdown,Basic,0,90,150,10,Not available,-6.833277060278563,-6.840252665245617,-6.827141638781167
1. Timely lockdown,Lockdown,40,25,50,5,Available,-2.869850231950526,-2.8749131151275096,-2.8645857848860254
1. Timely lockdown,Lockdown,40,25,50,5,Not available,-2.6674680877130417,-2.6735144420576598,-2.6618868154169477
2. Lockdown failed,Basic,0,90,150,10,Available,-5.477921866174,-5.4813760352375,-5.47330233837375
2. Lockdown failed,Basic,0,90,150,10,Not available,-6.832903263178509,-6.839625854346555,-6.825381216599225
2. Lockdown failed,Lockdown,40,90,150,10,Available,-7.284128188745679,-7.291921141399686,-7.2775209143412924
2. Lockdown failed,Lockdown,40,90,150,10,Not available,-7.082448302216275,-7.090503366522541,-7.075273376761644
3. Overkill lockdown,Basic,0,25,50,5,Available,-1.0635718689,-1.0648344972000001,-1.0622175144
3. Overkill lockdown,Basic,0,25,50,5,Not available,-2.4187810037055195,-2.42439050430423,-2.4128169225092373
3. Overkill lockdown,Lockdown,40,25,50,5,Available,-2.869400977868628,-2.87553613797328,-2.8640079296430687
3. Overkill lockdown,Lockdown,40,25,50,5,Not available,-2.667700270167259,-2.6740414266782664,-2.6607057256522824
