b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur2,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.47561,-1.55232,-1.6839,-2.57151,-3.42248,-0.180418,-0.0161981,0.0431259,0.117052,0.0846143,1.08537,0.598396,0.511857,0.668104,2.12837,2.06921,0.698449,1.26957,1.38084,2.4854,-0.0142196,-0.0193596,0.00850331,-0.334429,-0.800349,-1.67184,-3.55431,-0.139912
-2.30599,-1.24147,-1.62423,-2.54379,-3.1758,-0.238212,-0.101084,-0.011398,-0.16436,-0.271427,0.756181,0.326414,0.358865,0.46018,2.02987,1.59368,0.224309,1.22015,1.33499,2.31082,-0.0136481,-0.112333,-0.0340284,-0.405269,-0.778275,-1.61659,-3.516,-0.116643
-2.51992,-1.44851,-1.86084,-3.02955,-3.45244,-0.290765,-0.1192,0.0313649,0.00391416,-0.0877971,1.13877,0.572135,0.681197,0.96828,2.19138,1.96556,0.451111,1.29235,1.53888,2.56763,-0.0141586,-0.00568163,0.104945,-0.299235,-0.716989,-1.64115,-3.5368,-0.10319
-2.47014,-1.42288,-1.66586,-2.58659,-3.44467,-0.275809,-0.0795843,-0.00913088,-0.123557,-0.14373,0.858216,0.392911,0.455546,0.449342,2.2193,1.91902,0.450034,1.30696,1.34602,2.5185,-0.0141782,-0.0627042,0.0357237,-0.332087,-0.767132,-1.59505,-3.49698,-0.12733
-2.28733,-1.317,-1.65492,-2.56386,-3.35174,-0.450489,-0.0947579,0.00612765,-0.111695,0.00482715,1.04553,0.56929,0.598485,0.735083,2.21745,1.8237,0.400089,1.26428,1.32231,2.40839,-0.0132308,-0.0853578,0.00650347,-0.414899,-0.800347,-1.58239,-3.46521,-0.151487
-2.33533,-1.26666,-1.62945,-2.58653,-3.12692,-0.394354,-0.179984,-0.0547484,-0.174851,-0.0317255,1.13624,0.438883,0.545918,0.731555,1.95046,1.80613,0.403611,1.295,1.47452,2.3094,-0.0135695,-0.0993959,-0.0253685,-0.355128,-0.81841,-1.55863,-3.37725,-0.0848349
-2.27076,-1.17703,-1.60599,-2.48543,-3.16415,-0.311555,-0.147743,0.0740525,-0.0425205,-0.160491,0.923193,0.259788,0.372201,0.566909,2.09416,1.53923,0.0132364,1.00263,1.0701,2.0602,-0.0139645,-0.0975211,-0.00594984,-0.33817,-0.785266,-1.61996,-3.51026,-0.0790067
-2.47633,-1.47061,-1.60728,-2.61229,-3.32294,-0.176007,-0.0668363,-0.00830349,0.0152146,-0.225504,1.15369,0.607852,0.516005,0.553425,2.27251,1.99147,0.567394,1.19839,1.40371,2.39609,-0.013594,-0.026887,0.0270169,-0.320367,-0.704882,-1.52529,-3.37371,-0.0855434
-2.39086,-1.26189,-1.68321,-2.54235,-3.19258,-0.298253,-0.12231,0.131224,-0.0390879,-0.154289,0.882309,0.214306,0.370003,0.506441,2.0656,1.89072,0.35966,1.2098,1.22248,2.28778,-0.0136707,-0.0759171,-0.053187,-0.341638,-0.831714,-1.55188,-3.44352,-0.105793
-2.49853,-1.37769,-1.63256,-2.68312,-3.56463,-0.158265,0.0341362,-0.0390575,0.00463422,0.21214,1.21204,0.463949,0.508205,0.770198,2.39128,1.92537,0.430597,1.33408,1.26239,2.4803,-0.0141516,-0.103718,-0.018787,-0.34135,-0.792522,-1.54962,-3.50408,-0.148133
