b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur2,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.4851,-1.30758,-1.65391,-2.70446,-3.2718,-0.179306,-0.142431,0.0380294,-0.0328381,-0.222438,1.23986,0.496351,0.569605,0.842085,2.29322,2.13562,0.638878,1.35302,1.72152,2.68651,-0.0145265,-0.102456,-0.0977353,-0.329302,-0.799381,-1.56048,-3.44456,-0.16292
-2.53569,-1.47514,-1.60789,-2.76739,-3.29072,-0.164485,-0.0159967,0.0930797,0.106582,-0.147724,0.995577,0.544272,0.371477,0.724395,2.1599,1.90222,0.533688,1.28414,1.60282,2.32063,-0.0143246,-0.171327,-0.0376759,-0.363028,-0.84358,-1.54767,-3.4346,-0.101293
-2.40634,-1.29154,-1.59176,-2.59029,-3.30615,-0.339199,-0.23895,-0.0932161,-0.282145,-0.215912,1.25068,0.656178,0.585142,0.920766,2.3766,1.76589,0.4098,1.29771,1.35824,2.31996,-0.0144921,-0.0608077,0.00773266,-0.302228,-0.76458,-1.5238,-3.44341,-0.123235
-2.64634,-1.67476,-1.78443,-2.81491,-3.62251,0.101596,0.218776,0.204208,0.227743,0.124668,0.968831,0.593476,0.406343,0.742523,2.30529,1.89698,0.541278,1.22312,1.35293,2.5095,-0.0141899,-0.0929112,-0.027815,-0.381748,-0.74122,-1.58714,-3.43027,-0.093254
-2.25517,-1.19683,-1.72759,-2.77029,-2.9278,-0.129071,0.0461514,0.0784102,0.0303341,0.0541231,0.832023,0.249407,0.594961,0.732213,1.84434,1.58184,0.0956688,1.24793,1.43044,1.72207,-0.0138034,-0.119935,-0.00937987,-0.34851,-0.748477,-1.56891,-3.47519,-0.120804
-2.34332,-1.25109,-1.84628,-2.89286,-3.25707,-0.194993,-0.0712614,0.196873,-0.0288207,-0.0846481,0.9038,0.319849,0.601825,0.82359,2.03163,1.86989,0.386479,1.41732,1.52538,2.34691,-0.0146336,-0.0532812,0.0043758,-0.303369,-0.772371,-1.59193,-3.51745,-0.125811
-2.49038,-1.54836,-1.72433,-2.66965,-3.49623,-0.299552,-0.0520604,0.060199,0.071556,-0.0801355,1.16607,0.649831,0.634712,0.788532,2.17909,1.97986,0.658643,1.37795,1.19505,2.6292,-0.0139255,-0.132454,-0.0432834,-0.308139,-0.805458,-1.53569,-3.43157,-0.110373
-2.46849,-1.34877,-1.81281,-2.91076,-3.20276,-0.166478,-0.0745604,0.0637107,-0.0368517,0.0810837,1.08647,0.351377,0.586999,0.946836,1.75365,1.99317,0.548613,1.49198,1.78379,2.38263,-0.0140246,-0.0871895,-0.0326426,-0.360336,-0.767362,-1.58803,-3.45588,-0.11256
-2.52637,-1.30313,-1.6025,-2.8951,-3.25324,-0.101983,0.0721741,0.082333,0.066039,0.201949,1.06804,0.318162,0.464245,0.900881,2.17052,1.99006,0.320246,1.2714,1.66909,2.33327,-0.0149218,-0.103638,0.00223442,-0.348435,-0.775295,-1.55049,-3.49294,-0.117868
-2.53577,-1.38799,-1.82773,-2.81684,-3.10896,0.0750522,0.0621417,0.121376,0.102326,-0.0557065,0.862339,0.368165,0.653324,0.86342,1.8293,1.99266,0.484589,1.43565,1.43364,2.2766,-0.0142959,-0.0863908,0.0131128,-0.319061,-0.704537,-1.61631,-3.4977,-0.123174
-2.35836,-1.20609,-1.68498,-2.60908,-2.9749,-0.147188,0.0179144,0.0706783,-0.107383,0.0268972,0.892769,0.227476,0.526274,0.748958,1.82699,1.82692,0.234389,1.28751,1.43946,2.00882,-0.0142554,-0.125476,-0.0232171,-0.361571,-0.790676,-1.60327,-3.48229,-0.107309
-2.39663,-1.28501,-1.63749,-2.63526,-3.2726,-0.0705381,0.0540189,0.05718,0.132906,-0.101088,1.09396,0.40336,0.632125,0.776657,2.10248,1.75373,0.238754,1.23086,1.22653,2.24719,-0.0136027,-0.084891,0.0122678,-0.363416,-0.778039,-1.54353,-3.39973,-0.122051
-2.29884,-1.3303,-1.63947,-2.61065,-3.32621,-0.175916,-0.00329105,0.123091,0.0438882,-0.102697,0.761966,0.241039,0.434819,0.681702,2.00214,1.94938,0.552485,1.23257,1.37023,2.4906,-0.0137911,-0.0696631,0.010704,-0.344822,-0.792765,-1.63942,-3.48726,-0.111809
-2.48338,-1.47425,-1.68806,-2.83876,-3.20235,-0.293835,-0.0863802,-0.0560185,-0.0916517,-0.203362,1.11115,0.422421,0.502922,0.880575,1.87469,2.11347,0.648881,1.41405,1.76859,2.47215,-0.0141129,-0.108093,-0.00967302,-0.343815,-0.792517,-1.56539,-3.44099,-0.0712849
-2.50625,-1.33976,-1.71172,-2.55964,-3.30558,-0.21372,-0.0364481,0.00497049,0.170914,-0.0971108,1.17718,0.34525,0.570756,0.476602,2.15547,1.86216,0.282541,1.31735,1.0475,2.28382,-0.014574,-0.0594664,0.0347605,-0.316861,-0.786962,-1.59834,-3.47175,-0.109817
-2.7047,-1.57295,-1.79292,-2.87843,-3.52918,0.0663899,0.243231,0.163708,0.218292,0.1108,1.02334,0.46878,0.518483,0.714088,2.32641,1.99571,0.362993,1.2808,1.3604,2.20696,-0.0141416,-0.0826338,-0.0437146,-0.336719,-0.761207,-1.5818,-3.49538,-0.138427
-2.52499,-1.31883,-1.76956,-2.78237,-3.22025,-0.340311,-0.200959,0.0126314,-0.0868119,-0.233881,1.33487,0.543967,0.692368,0.999846,2.18169,2.05582,0.494204,1.49185,1.65955,2.34643,-0.0140909,-0.0934738,-0.00920344,-0.378938,-0.817328,-1.57797,-3.51181,-0.157046
-2.60528,-1.46811,-1.75679,-2.90482,-3.59534,-0.18407,-0.0361531,0.0772235,0.132208,0.0825453,1.27741,0.671898,0.672936,1.03002,2.44161,2.03563,0.47651,1.31457,1.57811,2.4952,-0.0142652,-0.0812759,-0.0432198,-0.336462,-0.819797,-1.58284,-3.4793,-0.110606
-2.45274,-1.32249,-1.70287,-2.68404,-3.15551,-0.314421,-0.176613,-0.0580676,-0.0531238,-0.186372,1.10036,0.514288,0.568637,0.732932,2.26026,1.98896,0.503777,1.33576,1.44408,2.42891,-0.0139902,-0.103666,-0.00636053,-0.343131,-0.797155,-1.58464,-3.46041,-0.132151
-2.48898,-1.42327,-1.77206,-2.87957,-3.42759,-0.26459,-0.165348,-0.0306891,-0.0136775,-0.184375,1.18135,0.620214,0.646872,1.06158,2.30175,1.92331,0.564446,1.43272,1.64046,2.56235,-0.0138571,-0.0960613,-0.0436142,-0.399477,-0.826606,-1.62598,-3.5155,-0.103883
-2.44997,-1.40283,-1.70154,-2.60303,-3.43863,-0.1614,-0.129386,-0.0166259,-0.199996,-0.153795,1.06905,0.417522,0.468923,0.727619,2.2423,1.80296,0.508343,1.35068,1.42937,2.3588,-0.0134862,-0.103456,0.0139939,-0.314598,-0.714215,-1.4871,-3.30817,-0.0978465
-2.44209,-1.39531,-1.69463,-2.84999,-3.5133,-0.188373,-0.138021,0.0304661,0.0935174,-0.0202741,1.18614,0.619058,0.564685,0.918474,2.40858,2.02826,0.675266,1.39474,1.69819,2.61081,-0.0129702,-0.0507007,0.0230935,-0.310127,-0.715521,-1.55345,-3.43637,-0.120429
-2.42541,-1.32518,-1.6248,-2.62846,-3.57711,-0.0528841,0.0435659,0.158997,0.100903,0.0453225,0.854336,0.289423,0.393063,0.549295,2.3467,1.88782,0.473922,1.22537,1.4659,2.68678,-0.0138882,-0.105586,0.00553341,-0.31524,-0.786404,-1.59566,-3.4791,-0.109545
-2.47056,-1.46895,-1.78654,-2.68904,-3.56455,-0.12677,0.0796807,0.126731,-0.00200755,0.167107,1.09085,0.497989,0.51964,0.735895,2.29375,1.89984,0.496955,1.36312,1.32611,2.58227,-0.0147058,-0.0622527,0.0296913,-0.321912,-0.772864,-1.54798,-3.48387,-0.0961725
-2.49199,-1.31265,-1.70985,-2.76353,-3.43965,-0.225302,-0.151609,-0.0280723,0.0458723,-0.0528575,1.06663,0.408821,0.58151,0.847904,2.3104,2.11605,0.458863,1.44481,1.52323,2.48246,-0.0140937,-0.120597,0.00471987,-0.339995,-0.747755,-1.58619,-3.49979,-0.076339
-2.44229,-1.34194,-1.57213,-2.65604,-3.36425,-0.109808,-0.037026,0.0141943,-0.00708008,0.0438152,0.993847,0.459723,0.574027,0.825172,2.1547,1.78379,0.395111,1.20613,1.42332,2.45619,-0.0136451,-0.164002,-0.0504448,-0.366658,-0.793619,-1.50954,-3.41116,-0.135994
-2.63037,-1.4421,-1.6589,-2.77895,-3.49794,-0.0485272,0.0134429,0.0692612,0.183826,0.0484055,1.46321,0.768353,0.676904,1.12416,2.60333,2.06858,0.478682,1.31199,1.41407,2.45186,-0.0139917,-0.119807,-0.00409148,-0.352178,-0.773876,-1.5282,-3.41188,-0.137552
-2.70209,-1.65174,-1.86552,-2.91329,-3.30053,0.131906,0.242394,0.299427,0.393554,0.0707298,1.30092,0.705184,0.744476,1.08584,2.21415,2.06749,0.660911,1.43655,1.45761,2.51512,-0.0141514,-0.102425,-0.0033481,-0.331673,-0.85344,-1.56458,-3.44716,-0.184863
-2.66272,-1.46532,-1.76993,-2.90421,-3.31413,-0.023387,0.0463372,0.120026,0.208633,-0.120122,1.0929,0.386599,0.561722,0.749744,2.14783,1.96569,0.336972,1.33978,1.56134,2.34299,-0.0146882,-0.0720822,-0.0373652,-0.357084,-0.80684,-1.61205,-3.53859,-0.0719974
-2.50648,-1.38309,-1.71822,-2.75895,-3.54136,-0.15653,-0.0586177,0.0393746,0.0617804,-0.0175115,1.24553,0.575046,0.59323,0.734274,2.37343,2.14996,0.491058,1.3583,1.30615,2.67093,-0.0143923,-0.082725,0.0909893,-0.332471,-0.75273,-1.5819,-3.47611,-0.10904
-2.57203,-1.37897,-1.6748,-2.71248,-3.47267,-0.185326,-0.0272614,0.0379386,-0.0403198,-0.0614519,0.935585,0.275637,0.358064,0.735285,2.1044,2.04275,0.442591,1.27161,1.49068,2.70031,-0.0143105,-0.0855824,-0.0604083,-0.416332,-0.821071,-1.58734,-3.49218,-0.0882577
-2.42187,-1.49041,-1.7703,-2.61946,-3.51208,-0.21454,-0.0549874,0.100971,-0.0932483,-0.0809038,1.02306,0.529827,0.602685,0.866983,2.2252,1.82541,0.540031,1.40488,1.36042,2.52025,-0.0142098,-0.115626,-0.0269182,-0.306081,-0.810362,-1.58702,-3.4571,-0.135918
-2.46053,-1.47133,-1.80125,-2.98673,-3.23112,-0.146518,0.0906499,0.146638,0.0488065,0.0620545,0.960517,0.423261,0.580456,0.90978,2.08876,1.84833,0.518729,1.32066,1.56977,2.3972,-0.0149056,-0.130195,0.0378846,-0.366419,-0.803888,-1.62339,-3.54954,-0.110253
-2.44667,-1.37503,-1.73185,-2.78627,-3.48243,-0.297336,-0.0804227,0.0459153,-0.0323261,0.105677,1.00779,0.279268,0.585174,0.899867,2.14286,2.09586,0.593927,1.33961,1.58231,2.5605,-0.0143323,-0.0356474,0.0135528,-0.300122,-0.797233,-1.66981,-3.53374,-0.123861
-2.80575,-1.54954,-1.75173,-2.72625,-3.55195,0.0438297,0.199829,0.205922,0.379042,0.256628,1.25864,0.41598,0.568372,0.800718,2.21873,2.00087,0.325546,1.22653,1.20571,2.35624,-0.0138907,-0.123624,-0.0659579,-0.406031,-0.827626,-1.56794,-3.41911,-0.0956298
-2.4351,-1.5024,-1.79608,-2.70246,-3.2607,-0.0375919,0.128785,0.100299,-0.0104625,-0.0175319,0.917305,0.569646,0.61279,0.820863,2.22364,1.7241,0.440396,1.32492,1.36316,2.22929,-0.0143166,-0.0510454,-0.011001,-0.330918,-0.728073,-1.61413,-3.4611,-0.112392
-2.6607,-1.57404,-1.71273,-2.63589,-3.44187,0.0817815,0.268321,0.063323,0.103627,0.177005,1.01472,0.408924,0.603645,0.715892,2.12808,1.9325,0.534655,1.38304,1.38215,2.34358,-0.0137088,-0.0816315,-0.0210228,-0.347335,-0.788128,-1.57558,-3.48764,-0.135461
-2.2736,-1.29004,-1.55848,-2.66307,-3.15706,-0.136966,0.11311,0.0480489,0.0186977,0.134165,0.928013,0.300108,0.407376,0.757256,1.71375,1.67393,0.240335,1.1717,1.1425,1.99595,-0.0136927,-0.0858446,0.0266951,-0.370885,-0.795703,-1.55493,-3.51059,-0.081277
-2.13128,-1.16816,-1.5039,-2.54741,-3.14408,-0.302279,-0.11064,0.0288101,0.104304,-0.0961033,0.933424,0.370575,0.482045,0.794437,1.93593,1.69162,0.32294,1.23626,1.31084,2.19502,-0.0134895,-0.125925,-0.0267807,-0.317905,-0.751469,-1.50877,-3.37198,-0.129831
-2.46092,-1.47087,-1.80624,-2.86681,-3.19733,-0.266843,0.0112118,-0.0167342,-0.0162054,-0.173033,0.945564,0.430673,0.691208,0.925781,2.08457,1.97326,0.483169,1.38635,1.55764,2.30447,-0.0141128,-0.0958663,0.0260588,-0.416219,-0.806923,-1.60432,-3.44894,-0.111967
-2.33922,-1.31512,-1.61487,-2.74366,-3.37796,-0.246617,-0.00497248,0.0188306,-0.0422148,0.0951962,0.914103,0.293835,0.566962,0.900514,2.11377,2.03213,0.419501,1.34712,1.57254,2.38599,-0.0142081,-0.0703226,-0.0336175,-0.312535,-0.786784,-1.5359,-3.42362,-0.12274
-2.41362,-1.31872,-1.63707,-2.54629,-3.16528,-0.0750535,-0.0238135,0.156521,-0.0554694,-0.145784,1.06467,0.548765,0.649423,0.93062,2.19374,1.68079,0.297629,1.13282,1.23996,2.20157,-0.0142848,-0.0828965,-0.0176952,-0.355439,-0.826488,-1.52907,-3.42008,-0.12008
-2.63536,-1.65621,-1.87105,-3.02143,-3.48285,-0.15844,0.13106,0.169211,0.154502,0.109953,1.2024,0.658551,0.654379,1.01618,2.35686,2.23068,0.710741,1.41189,1.79482,2.52078,-0.0135474,-0.140051,-0.0141978,-0.36955,-0.797502,-1.57594,-3.40968,-0.0846053
-2.49134,-1.31195,-1.63599,-2.6668,-3.11493,-0.13406,-0.0950007,0.0651922,0.0314374,-0.212579,0.944448,0.243845,0.43484,0.782125,1.96569,2.12611,0.479578,1.28572,1.50066,2.41393,-0.0141752,-0.082577,-0.0269163,-0.31953,-0.777745,-1.54839,-3.42978,-0.110197
-2.29607,-1.23939,-1.61534,-2.79896,-3.28926,-0.376556,-0.228416,-0.0200925,0.122523,-0.233983,1.15015,0.490072,0.631218,1.06302,2.30169,2.06595,0.438175,1.35098,1.60131,2.4205,-0.0141344,-0.0785626,0.00204719,-0.345983,-0.795355,-1.58016,-3.42682,-0.135029
-2.38492,-1.34003,-1.71899,-2.79497,-3.5508,-0.295144,-0.206402,0.0429518,-0.00876911,-0.068982,1.22084,0.620984,0.580306,0.95233,2.49117,2.10064,0.607017,1.40457,1.61677,2.72766,-0.014189,-0.0603134,-0.0241016,-0.255142,-0.769853,-1.51397,-3.43942,-0.129948
-2.4724,-1.42295,-1.73065,-2.85764,-3.21219,-0.0807723,0.0860944,0.161013,0.213169,-0.0218594,1.10407,0.446098,0.515707,0.796364,2.23646,1.90921,0.419748,1.1701,1.53606,2.27876,-0.0149177,-0.0720237,-0.0163442,-0.365139,-0.768736,-1.63001,-3.50436,-0.140823
-2.62397,-1.50129,-1.74811,-2.93097,-3.39942,-0.113681,-0.0620277,0.0509807,0.167977,0.0244416,1.2781,0.725416,0.660611,1.15986,2.19399,2.15139,0.65874,1.38699,1.61541,2.44822,-0.0134344,-0.063002,0.00572861,-0.33816,-0.740614,-1.5556,-3.40046,-0.107778
-2.28374,-1.11075,-1.57382,-2.67617,-2.95709,-0.227247,-0.158135,0.0164211,0.00877706,-0.282229,1.00356,0.253625,0.507106,0.740059,1.89589,1.6213,0.180172,1.2131,1.31151,2.02895,-0.0143842,-0.0994388,-0.0563813,-0.356921,-0.794568,-1.54995,-3.50486,-0.145128
-2.45224,-1.3805,-1.72145,-2.72548,-3.15277,-0.211406,0.0726731,0.0751092,0.0702266,-0.100537,1.20233,0.473916,0.612284,0.709664,1.97008,1.95138,0.344189,1.36939,1.42312,2.18001,-0.0138067,-0.0666513,0.0521682,-0.351055,-0.771447,-1.589,-3.46608,-0.11704
-2.44334,-1.36114,-1.73028,-2.80971,-3.16394,-0.134716,-0.0374703,0.063057,0.0848878,-0.0935014,1.07917,0.492477,0.560595,0.826938,2.10061,1.98151,0.555001,1.38689,1.56726,2.28227,-0.0144185,-0.0515914,0.0146784,-0.319408,-0.747214,-1.56474,-3.42647,-0.104534
-2.42566,-1.37544,-1.63245,-2.59625,-3.29732,-0.00606509,0.150064,0.0919551,0.141009,0.0505755,1.10389,0.479726,0.51705,0.840297,2.23907,1.79026,0.399781,1.20308,1.28435,2.36547,-0.0133623,-0.106754,-0.0296276,-0.315264,-0.750595,-1.57476,-3.39246,-0.111234
-2.52764,-1.37067,-1.66131,-2.70645,-3.36904,-0.137378,-0.0267246,0.126128,0.0523942,-0.173564,1.13988,0.50295,0.564129,0.759883,2.48237,2.01593,0.437292,1.35101,1.58747,2.46027,-0.0142113,-0.138307,-0.0646354,-0.320609,-0.793097,-1.48117,-3.38595,-0.132049
-2.24056,-1.24772,-1.61912,-2.40584,-3.07241,-0.095405,0.000970424,0.105077,-0.0281748,-0.103568,1.05668,0.436667,0.484632,0.663597,1.89785,1.74929,0.412919,1.28734,1.2592,2.21852,-0.0136135,-0.0928948,0.00624052,-0.388757,-0.76525,-1.56664,-3.48991,-0.137384
-2.40002,-1.35313,-1.57854,-2.73876,-3.2732,-0.301212,-0.133515,-0.0697489,-0.0478381,-0.175639,1.07142,0.425708,0.479811,0.833447,2.10376,1.79173,0.408674,1.27092,1.55218,2.31822,-0.0141248,-0.075063,-0.0304047,-0.347396,-0.780386,-1.55244,-3.43868,-0.128189
-2.43199,-1.30599,-1.60925,-2.58086,-3.3194,-0.347676,-0.136528,0.015276,-0.0753701,-0.186102,1.29872,0.591075,0.532245,0.737034,2.27714,2.19825,0.605911,1.32084,1.4719,2.64762,-0.0144103,-0.0482316,0.00872022,-0.327917,-0.802564,-1.60192,-3.51745,-0.13723
-2.60109,-1.53068,-1.68621,-2.84127,-3.55978,-0.161857,0.0855498,0.01167,-0.0208043,0.201942,1.17483,0.560954,0.556675,1.03544,2.39035,2.05151,0.521713,1.29448,1.53301,2.46477,-0.0150026,-0.103281,0.0156597,-0.395905,-0.810914,-1.64232,-3.48398,-0.0769699
-2.47599,-1.53084,-1.77566,-2.77309,-3.40889,-0.209116,-0.0380451,0.0416273,-0.0274392,-0.0394703,1.22007,0.766278,0.700102,0.793759,2.30094,1.81351,0.526468,1.34495,1.44271,2.33122,-0.0147769,-0.0978912,-0.0166637,-0.403621,-0.82287,-1.58388,-3.4596,-0.0887683
-2.43553,-1.39454,-1.71506,-2.74783,-3.33684,-0.193204,-0.0255229,0.0858752,0.126079,-0.0788241,1.00274,0.441758,0.549599,0.656951,2.22339,1.9185,0.452027,1.33228,1.4043,2.34362,-0.0139769,-0.0736389,0.0825213,-0.292531,-0.740604,-1.52603,-3.40822,-0.132316
-2.33254,-1.19498,-1.56451,-2.45964,-2.97883,-0.254922,-0.0636134,-0.100067,-0.185758,-0.0734188,0.799324,0.169333,0.406037,0.524558,1.83714,2.03605,0.450445,1.33785,1.5954,2.23488,-0.0135742,-0.117413,-0.0759849,-0.304239,-0.740894,-1.57154,-3.42167,-0.13049
-2.48419,-1.54525,-1.72778,-2.76381,-3.30819,-0.131806,0.200595,0.150561,0.208998,0.237109,0.836937,0.394576,0.524409,0.773999,1.92076,1.83563,0.416594,1.27857,1.36919,2.17726,-0.0141207,-0.15109,-0.0319775,-0.340847,-0.826515,-1.5582,-3.42501,-0.121924
-2.50359,-1.45435,-1.7056,-2.90301,-3.4722,-0.0522211,0.00900284,0.12532,0.20155,0.0288554,1.05694,0.565756,0.505426,0.943833,2.29194,1.7156,0.349556,1.21244,1.31595,2.31009,-0.0140715,-0.0736702,0.017638,-0.380482,-0.772669,-1.55549,-3.49309,-0.14232
-2.37666,-1.44473,-1.75492,-2.53648,-3.41971,-0.151452,0.0502876,0.0509957,-0.108971,0.09087,1.09781,0.597369,0.707883,0.762274,2.43041,1.83035,0.468897,1.42346,1.51238,2.43386,-0.0137564,-0.074058,-0.0116847,-0.357412,-0.820976,-1.57441,-3.4364,-0.130161
-2.31073,-1.45692,-1.72103,-2.56157,-3.46231,-0.108733,0.0792596,0.121718,-0.0379021,0.236911,0.859407,0.505895,0.503918,0.589982,2.1677,1.86666,0.552096,1.25761,1.31003,2.52969,-0.0139238,-0.046127,-0.0263077,-0.334449,-0.824881,-1.61503,-3.51624,-0.140647
-2.37826,-1.25093,-1.65286,-2.56878,-3.08379,-0.0605757,-0.0461407,0.0435951,-0.0315724,-0.123551,0.986923,0.381194,0.638481,0.73645,1.97472,1.76557,0.421526,1.30401,1.29975,2.23476,-0.014117,-0.102887,-0.0355497,-0.37003,-0.783355,-1.56745,-3.4391,-0.102842
-2.60117,-1.51924,-1.65909,-2.76991,-3.3743,-0.18255,0.0159201,0.0095351,0.0257226,0.135725,1.16141,0.546085,0.508492,0.937172,2.13197,1.98641,0.448437,1.24547,1.44985,2.31683,-0.0141025,-0.125524,-0.0124852,-0.31415,-0.82153,-1.60786,-3.52878,-0.162881
-2.50051,-1.38954,-1.71091,-2.72969,-3.28122,-0.159183,0.0463342,0.0622713,-0.0410991,0.0413528,1.24076,0.590024,0.681336,0.916848,2.0732,2.05199,0.514592,1.37977,1.5782,2.52769,-0.0140366,-0.142489,-0.0216157,-0.320514,-0.804074,-1.57045,-3.40248,-0.160568
-2.41456,-1.29839,-1.68524,-2.59804,-3.3867,-0.126518,0.0656066,0.0736371,0.0142609,-0.156398,1.02597,0.44324,0.563902,0.633445,2.3913,1.89774,0.358957,1.29697,1.25814,2.48368,-0.0146901,-0.073511,0.00486101,-0.351131,-0.813268,-1.61939,-3.55956,-0.103431
-2.42528,-1.3008,-1.66593,-2.69791,-3.26777,-0.243324,-0.0753624,0.0154214,-0.00363922,-0.184306,1.09151,0.4394,0.551935,0.874034,2.10707,1.99579,0.510953,1.30292,1.48853,2.51692,-0.0147185,-0.0623491,-0.0551322,-0.33866,-0.793993,-1.57385,-3.49782,-0.143054
-2.65583,-1.56048,-1.80531,-2.83414,-3.40862,-0.0859084,0.124632,0.151716,0.205116,-0.0477484,1.16269,0.540192,0.542261,0.621252,2.08119,2.06536,0.528892,1.24558,1.32948,2.45762,-0.0141773,-0.0862927,-0.033521,-0.386883,-0.796833,-1.56467,-3.5021,-0.129828
-2.49244,-1.46286,-1.69986,-2.63787,-3.20375,-0.251627,-0.0611149,0.00453234,-0.132321,-0.0706387,1.05499,0.489671,0.521287,0.729593,1.9397,1.83863,0.42196,1.28331,1.38792,2.03987,-0.0140495,-0.0942903,-0.00380562,-0.345812,-0.803281,-1.57632,-3.44468,-0.128047
-2.43515,-1.3557,-1.68416,-2.75148,-3.15725,-0.318879,-0.0599634,0.0804505,-0.0524864,-0.109432,0.967324,0.256345,0.440633,0.76397,1.82504,1.77467,0.320753,1.16503,1.33122,2.22464,-0.0145019,-0.0410042,0.0325381,-0.354029,-0.780854,-1.61906,-3.5149,-0.112517
