b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur6,b_dur9,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.57885,-1.46664,-1.57444,-2.69788,-3.43136,0.0209013,0.131224,0.0855154,0.187566,0.167212,1.20542,0.597007,0.514439,0.764713,2.44497,2.13608,0.598402,1.28988,1.38774,2.58023,-0.852899,-1.02728,-0.20037,0.0215841,-0.358852,-0.801809,-1.48071,-3.41285,-0.183075
-2.15873,-1.17539,-1.44466,-2.32745,-3.02124,-0.165125,0.0385878,0.132315,0.0487478,-0.00525293,0.988373,0.420464,0.412306,0.79137,2.0319,2.12046,0.727061,1.37958,1.43029,2.5554,-0.904647,-1.04572,-0.185158,-0.0162431,-0.333403,-0.800841,-1.52804,-3.49381,-0.2227
-2.14839,-1.14952,-1.50666,-2.25018,-2.96684,-0.232336,-0.124999,0.0207113,-0.00640368,-0.15647,0.994402,0.370823,0.565069,0.5934,1.97834,1.95893,0.50344,1.40396,1.34405,2.3115,-0.893656,-1.05279,-0.149855,-0.0260941,-0.35257,-0.780432,-1.52904,-3.45333,-0.236711
-2.66223,-1.45599,-1.67687,-2.67986,-3.2209,0.0338094,0.0912276,0.119132,0.00401026,0.0305647,1.26431,0.597685,0.662113,0.82187,2.22995,2.31246,0.747053,1.46828,1.72938,2.65153,-0.882057,-1.0824,-0.183501,0.0357036,-0.338678,-0.806447,-1.54064,-3.56852,-0.235807
-2.37839,-1.36049,-1.60536,-2.58119,-2.95473,-0.231615,-0.0723653,-0.0808025,-0.0802726,-0.14992,1.12063,0.684399,0.631268,0.955243,2.05649,2.17921,0.794343,1.43987,1.68066,2.3347,-0.889799,-1.08209,-0.144201,0.00578644,-0.375863,-0.80692,-1.55741,-3.49723,-0.201668
-2.11765,-1.18043,-1.54247,-2.3343,-3.06489,-0.0894459,0.0331382,0.0865187,0.134269,0.0545938,0.984094,0.441327,0.53985,0.580423,2.2285,1.83726,0.500215,1.38619,1.27888,2.36955,-0.915818,-1.07867,-0.147805,-0.000827464,-0.325251,-0.749381,-1.46088,-3.459,-0.240398
-2.30104,-1.29797,-1.61638,-2.56203,-3.11202,-0.148341,-0.0209706,0.0903563,0.125882,0.00793576,1.16075,0.580794,0.696603,1.03945,2.20444,1.88795,0.532185,1.3507,1.49503,2.31145,-0.895427,-1.01744,-0.160577,0.0572331,-0.33742,-0.771063,-1.52233,-3.42102,-0.192678
-2.2146,-1.19533,-1.65469,-2.39202,-3.09466,-0.136853,0.000953302,0.118548,-0.119427,0.112266,0.932847,0.447053,0.694436,0.870398,2.18379,1.91938,0.570507,1.4279,1.52063,2.51109,-0.868721,-1.0563,-0.192451,0.00643646,-0.314816,-0.771287,-1.51269,-3.50878,-0.200365
-2.36361,-1.29095,-1.46454,-2.35146,-3.10574,-0.229887,-0.130202,-0.0626096,-0.173478,-0.0205644,1.25412,0.540713,0.508787,0.82819,1.96505,2.08429,0.634039,1.30971,1.36169,2.36544,-0.918011,-1.00873,-0.163664,0.0427342,-0.332895,-0.846955,-1.51202,-3.47697,-0.212686
-2.36824,-1.26359,-1.50185,-2.55386,-3.012,-0.0798768,0.0474416,0.136581,0.128742,-0.0316224,1.09494,0.530777,0.492047,0.872227,2.07155,2.03068,0.533695,1.27143,1.42199,2.38991,-0.809605,-1.02682,-0.212525,-0.00775111,-0.346307,-0.812078,-1.4929,-3.429,-0.187015
-2.5972,-1.57027,-1.78159,-2.79998,-3.35904,-0.175327,-0.00975721,0.0327143,0.0398685,-0.0133134,1.31121,0.734623,0.797667,0.971643,2.4697,2.18203,0.74172,1.51786,1.67758,2.75217,-0.805211,-1.05935,-0.221203,0.0355677,-0.340466,-0.812532,-1.58909,-3.51909,-0.202135
-2.33876,-1.3239,-1.50957,-2.30195,-3.09955,-0.236782,-0.145751,-0.0195201,-0.175843,-0.235329,1.19782,0.684353,0.57457,0.797111,2.24286,2.13442,0.831967,1.52335,1.4923,2.59329,-0.905464,-1.0111,-0.207685,0.0222823,-0.291649,-0.799666,-1.50578,-3.42517,-0.209231
-2.09958,-1.07326,-1.46861,-2.48217,-2.82448,-0.145763,-0.0172826,0.115147,0.129832,-0.166887,0.948534,0.42483,0.572864,0.900597,2.21875,1.66864,0.297236,1.20874,1.49058,2.13707,-0.917668,-1.01825,-0.259499,-0.0465878,-0.349477,-0.814132,-1.41881,-3.40365,-0.240939
-2.57417,-1.37938,-1.71859,-2.76506,-3.07616,-0.0716391,0.091231,0.156537,0.133081,-0.0184739,1.41237,0.534109,0.674855,1.16301,2.02237,2.13309,0.482872,1.45892,1.6867,2.2808,-0.869716,-1.04609,-0.122034,0.0744202,-0.347178,-0.836641,-1.57028,-3.53141,-0.226634
-2.13074,-0.994214,-1.44934,-2.27243,-2.73103,-0.100319,-0.0810519,0.0579757,0.0995529,-0.228388,0.792187,0.275942,0.45032,0.530816,1.87891,1.78933,0.331076,1.31182,1.28888,2.1859,-0.873499,-1.0533,-0.198404,0.0166469,-0.325386,-0.789567,-1.50041,-3.43054,-0.235513
-2.1468,-1.0716,-1.37793,-2.33236,-2.96904,-0.26473,-0.128418,-0.0162767,-0.0343811,-0.197335,1.17227,0.473377,0.439493,0.864813,2.09219,1.93934,0.402706,1.19477,1.31558,2.31282,-0.807684,-0.956597,-0.187032,0.0556792,-0.291964,-0.786656,-1.50356,-3.44607,-0.235607
-2.29542,-1.24998,-1.38356,-2.51827,-3.06565,-0.201258,-0.132069,-0.0879205,-0.0534661,-0.162647,1.03489,0.429407,0.410406,0.915945,2.03445,2.10191,0.753543,1.35521,1.5364,2.68508,-0.894571,-1.06254,-0.190081,-0.0102602,-0.320383,-0.779055,-1.48729,-3.48743,-0.221623
-2.56903,-1.40722,-1.64744,-2.71579,-3.36647,-0.0496409,0.0891925,0.114994,0.154016,0.0588055,1.23911,0.591222,0.6699,0.963027,2.27173,2.17953,0.616284,1.48623,1.57321,2.57746,-0.875643,-1.06335,-0.211537,0.00207946,-0.291885,-0.780537,-1.54772,-3.49111,-0.19824
-2.34405,-1.27962,-1.55684,-2.63274,-3.1568,-0.354677,-0.0754465,-0.0480042,0.0217516,-0.0227949,1.10473,0.441898,0.469778,0.731391,2.22681,2.03765,0.544923,1.304,1.49794,2.22388,-0.871291,-1.07835,-0.154126,0.0613795,-0.34993,-0.701541,-1.55079,-3.56256,-0.210537
-2.34174,-1.34454,-1.63735,-2.50243,-2.92332,0.0138169,0.105926,0.101615,0.136059,-0.197296,1.07519,0.609682,0.620136,0.802348,2.13814,2.04474,0.609444,1.49167,1.43971,2.37286,-0.867692,-0.985946,-0.173314,0.0442124,-0.251217,-0.752856,-1.52755,-3.45656,-0.225607
-2.23699,-1.14011,-1.43732,-2.34013,-3.04306,-0.378789,-0.261939,-0.0795062,-0.102986,-0.111609,1.13653,0.449842,0.623306,0.843838,2.11389,2.20835,0.703116,1.36192,1.59898,2.38879,-0.909021,-1.03789,-0.168441,-0.000590875,-0.302183,-0.866622,-1.50118,-3.40755,-0.275688
-2.36889,-1.35476,-1.55076,-2.48651,-3.10407,-0.462821,-0.187455,0.0206197,-0.120385,-0.277427,1.09407,0.539503,0.527654,0.69067,2.01753,2.20382,0.631809,1.43639,1.5014,2.45743,-0.907518,-1.11519,-0.176944,-0.016241,-0.364573,-0.817377,-1.56351,-3.55541,-0.222067
-2.19658,-1.1528,-1.55342,-2.47753,-3.26056,-0.195805,-0.0133134,0.130044,-0.0619365,0.0495167,1.13927,0.386736,0.636854,1.0971,2.25105,2.05608,0.463591,1.35671,1.55339,2.42829,-0.920875,-1.03444,-0.149685,-0.0223398,-0.296355,-0.859017,-1.52642,-3.47419,-0.237148
-2.36856,-1.32027,-1.61723,-2.5224,-3.38396,-0.317066,-0.105783,0.0769297,-0.0626889,-0.0140865,1.42263,0.696013,0.76781,0.943674,2.5217,2.26757,0.711357,1.42849,1.679,2.72717,-0.926311,-1.08892,-0.200599,0.000353958,-0.375835,-0.882758,-1.54213,-3.51787,-0.24464
-2.29855,-1.03104,-1.54486,-2.26938,-2.86781,-0.174891,-0.111759,0.0132085,-0.193622,-0.0363696,1.04093,0.275622,0.54481,0.565407,1.85787,2.01569,0.341412,1.28218,1.29745,2.08599,-0.861232,-1.10319,-0.160718,0.0173779,-0.320335,-0.793381,-1.57238,-3.50622,-0.217359
