b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_logdur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.63146,-1.55112,-1.81372,-2.70523,-3.35557,-0.123038,0.01558,0.0959531,0.026725,-0.0951215,1.12434,0.400561,0.674025,0.681432,2.16241,2.21041,0.663013,1.47538,1.37,2.58029,-1.21289,-0.15511,-0.00287308,-0.362542,-0.842522,-1.56764,-3.50333,-0.184923
-2.51458,-1.3883,-1.6842,-2.88323,-3.1804,-0.276983,-0.187277,-0.0723423,-0.00161412,-0.176608,1.14615,0.508533,0.629718,1.06779,1.96974,2.15275,0.548289,1.45159,1.65535,2.37052,-1.20471,-0.142914,-0.0165596,-0.382023,-0.771209,-1.59906,-3.52795,-0.159557
-2.47587,-1.50924,-1.75342,-2.88575,-3.20353,-0.178715,-0.0307689,0.13219,0.00499276,-0.0709374,1.31506,0.746049,0.64122,1.15037,2.22316,2.02803,0.547649,1.42135,1.67665,2.3352,-1.19383,-0.129092,0.00685553,-0.345239,-0.803355,-1.57084,-3.52657,-0.151822
-2.27392,-1.23028,-1.57293,-2.62313,-3.16062,-0.328483,-0.101824,-0.0906431,-0.0820764,0.029087,0.876024,0.29574,0.535303,0.693044,2.03134,1.76201,0.306132,1.25059,1.46221,2.19457,-1.22369,-0.176233,-0.043805,-0.325153,-0.776274,-1.58716,-3.54643,-0.164286
-2.44957,-1.28415,-1.52555,-2.5809,-3.07991,-0.0328337,0.0112926,0.0831132,0.179691,-0.0576995,1.24725,0.515603,0.532838,0.839267,2.06655,1.94288,0.484512,1.23993,1.26131,2.2889,-1.19541,-0.157336,-0.0319744,-0.299062,-0.770197,-1.49684,-3.41338,-0.174602
-2.54934,-1.50571,-1.71122,-2.6186,-3.17259,-0.0736345,0.126499,0.0248727,0.0294924,-0.106415,1.22809,0.526132,0.599738,0.946138,2.05097,1.97743,0.488526,1.35855,1.36763,2.42908,-1.10614,-0.136129,-0.00922893,-0.279658,-0.722584,-1.57402,-3.46039,-0.183339
-2.16075,-1.20037,-1.5193,-2.43689,-3.28852,-0.246286,0.0295624,0.0130936,0.0338796,0.104131,1.11609,0.499773,0.70774,0.945534,2.32801,1.78344,0.328011,1.2007,1.19698,2.41008,-1.2134,-0.179443,-0.0356052,-0.328514,-0.815878,-1.55843,-3.50463,-0.185063
-2.53691,-1.45408,-1.72022,-2.89653,-3.42885,-0.274445,-0.111685,-0.0369205,-0.00321419,-0.216934,1.4042,0.629822,0.66375,0.901249,2.4347,2.07772,0.548332,1.43954,1.67649,2.64664,-1.20131,-0.114712,0.0514617,-0.344201,-0.787059,-1.56068,-3.47866,-0.172539
-2.40052,-1.42606,-1.60199,-2.65224,-3.47589,-0.0883511,0.15045,0.129456,0.141413,0.134102,1.10569,0.595495,0.673636,0.947828,2.34576,1.8511,0.380449,1.24519,1.35943,2.59413,-1.15518,-0.168827,-0.0240753,-0.333296,-0.805026,-1.56377,-3.50865,-0.135928
-2.43419,-1.33434,-1.70056,-2.79052,-2.99817,-0.234228,-0.125078,0.0124868,-0.0428933,-0.147404,1.15353,0.539396,0.620741,0.907328,2.03959,1.91294,0.388085,1.32654,1.41477,2.12003,-1.22076,-0.104513,0.0349761,-0.391515,-0.757739,-1.59669,-3.54548,-0.131376
-2.21501,-1.00827,-1.42342,-2.47202,-2.92732,-0.294802,-0.294666,-0.0597891,-0.134548,-0.312912,1.04581,0.377796,0.382824,0.822287,2.06534,1.94748,0.428359,1.2023,1.45138,2.38084,-1.18955,-0.115731,0.00381314,-0.320675,-0.758527,-1.54447,-3.46902,-0.180414
-2.31694,-1.32129,-1.55967,-2.58645,-3.37606,-0.184514,0.00963428,0.0712518,0.158258,0.207154,0.818193,0.434487,0.332979,0.520126,2.22279,1.86345,0.435623,1.29754,1.33062,2.40056,-1.13646,-0.146665,-0.0318348,-0.339657,-0.767635,-1.55126,-3.47694,-0.185736
-2.40339,-1.33108,-1.59459,-2.6278,-3.17909,-0.36943,-0.188353,-0.116486,-0.163842,-0.100927,1.05208,0.32644,0.484274,0.773803,2.02942,2.07113,0.619376,1.48778,1.54854,2.52066,-1.15139,-0.0909318,0.0504961,-0.419811,-0.823042,-1.58398,-3.56068,-0.164483
-2.34954,-1.52738,-1.6875,-2.51646,-3.42137,-0.330082,-0.106945,0.0536289,-0.0121705,-0.0107623,0.999131,0.7042,0.679198,0.742911,2.40829,2.03895,0.830107,1.39323,1.42917,2.72597,-1.12216,-0.157134,-0.0257531,-0.329603,-0.734978,-1.52006,-3.40095,-0.150081
-2.72753,-1.66192,-1.82264,-3.03119,-3.50985,-0.0247322,0.0982241,0.158662,0.148051,0.0394358,1.28636,0.701435,0.688003,1.04036,2.36123,2.35287,0.977488,1.51724,1.86791,2.82156,-1.1287,-0.102777,0.0190147,-0.320131,-0.769655,-1.5802,-3.54043,-0.122112
-2.48129,-1.36388,-1.56941,-2.53123,-3.16732,-0.290154,-0.128226,0.0014553,-0.0898985,-0.281372,1.14911,0.468132,0.46755,0.600851,2.12779,2.0721,0.513015,1.24507,1.33773,2.41183,-1.1436,-0.13422,0.0717538,-0.346489,-0.762417,-1.55562,-3.45043,-0.140792
-2.67296,-1.6019,-1.76726,-2.9287,-3.61143,0.0206578,0.0832182,0.0858791,0.101372,0.100243,1.17628,0.560551,0.57153,0.976502,2.33481,2.14937,0.633683,1.39147,1.61905,2.61198,-1.1694,-0.0876906,0.034553,-0.302602,-0.793159,-1.52988,-3.47003,-0.171218
-2.3533,-1.29524,-1.67714,-2.84159,-3.11581,-0.136771,-0.0261255,0.0753469,0.0845913,-0.0904246,1.19987,0.513461,0.746716,1.20045,2.18239,2.0431,0.46441,1.37095,1.59925,2.34076,-1.18777,-0.0937474,0.0533772,-0.296059,-0.785441,-1.55851,-3.47886,-0.174286
-2.26079,-1.30411,-1.46597,-2.36053,-3.33062,-0.213347,-0.0533678,0.0678121,-0.0778971,-0.0964292,1.04137,0.484088,0.462906,0.793741,2.38421,1.9411,0.5867,1.33125,1.3072,2.61464,-1.20433,-0.177158,-0.0874414,-0.339262,-0.812303,-1.52649,-3.51691,-0.182731
-2.52929,-1.43194,-1.6952,-2.6486,-3.3577,-0.155398,-0.0215933,0.128104,-0.0154064,-0.0501144,1.09008,0.546068,0.587805,0.750544,2.19917,1.9626,0.504532,1.289,1.41684,2.54146,-1.18814,-0.168362,0.0102267,-0.356819,-0.780627,-1.56407,-3.48776,-0.179931
-2.31312,-1.43951,-1.73758,-2.64463,-3.32581,-0.174327,0.112863,0.146483,0.0256103,-0.00610257,0.909252,0.365583,0.501591,0.650482,2.2456,1.929,0.558672,1.34556,1.35706,2.47529,-1.19911,-0.135441,0.0477252,-0.292919,-0.762641,-1.56948,-3.42772,-0.138886
-2.52657,-1.49901,-1.70747,-2.83617,-3.32825,-0.219804,0.0182384,-0.0168805,0.0551433,0.0369281,1.21356,0.587896,0.669743,0.987971,2.27474,2.27023,0.766971,1.46289,1.67515,2.65803,-1.17179,-0.10722,0.040822,-0.371081,-0.824753,-1.58971,-3.55752,-0.148836
-2.20351,-1.25078,-1.49423,-2.5073,-3.05047,-0.26739,-0.0727877,-0.0613221,-0.0102676,-0.0467875,0.838277,0.322869,0.360619,0.527269,1.88742,1.73787,0.333985,1.26199,1.24006,2.1388,-1.19398,-0.141503,0.0146095,-0.353488,-0.767885,-1.52873,-3.49505,-0.181584
-2.45023,-1.37555,-1.74055,-2.70319,-3.28441,-0.268313,-0.237093,-0.0709676,-0.0770092,-0.222771,1.17926,0.599615,0.61233,0.915399,2.26389,1.92618,0.530531,1.43638,1.47511,2.42232,-1.21341,-0.11462,0.0340496,-0.392232,-0.775859,-1.62294,-3.4842,-0.139435
-2.35129,-1.38443,-1.68473,-2.7581,-3.42287,-0.312091,-0.154192,-0.0293679,0.0078204,-0.0578224,1.01252,0.44417,0.597858,0.935494,2.33475,2.06749,0.736735,1.42694,1.66523,2.70958,-1.18785,-0.139218,0.0559937,-0.347983,-0.790761,-1.56697,-3.4862,-0.195144
-2.49947,-1.37131,-1.58077,-2.40304,-3.45647,-0.274487,-0.187474,0.0478565,-0.0775702,-0.110239,1.10347,0.548659,0.324482,0.523345,2.42674,1.87284,0.379492,1.16884,1.04685,2.69735,-1.25783,-0.185405,-0.059573,-0.390008,-0.845051,-1.62308,-3.61305,-0.191433
-2.38139,-1.36346,-1.49168,-2.53819,-3.26723,-0.287473,-0.0831188,-0.049839,-0.185807,-0.198241,0.975844,0.371864,0.380114,0.656646,2.15255,2.01969,0.448842,1.26262,1.53316,2.57712,-1.24147,-0.130051,-0.0042031,-0.378731,-0.845903,-1.62666,-3.59495,-0.175646
-2.31978,-1.24435,-1.56202,-2.53032,-3.09763,-0.40703,-0.188509,-0.00418644,0.000534376,-0.149078,1.24743,0.589124,0.59941,0.823459,2.28379,2.04063,0.51177,1.25461,1.34705,2.20967,-1.15018,-0.119899,0.0198549,-0.328354,-0.822245,-1.52884,-3.46516,-0.176173
-2.38045,-1.18755,-1.6369,-2.81946,-2.85985,-0.118064,-0.0427679,0.0960685,0.31144,-0.185284,0.748522,0.20865,0.444377,0.641398,1.69281,1.98823,0.457204,1.28813,1.39196,2.12151,-1.13748,-0.0788272,0.0502643,-0.298282,-0.737105,-1.58437,-3.47145,-0.141913
-2.5525,-1.41952,-1.68278,-2.88614,-3.11416,-0.195646,-0.128992,0.0613166,0.176152,-0.28995,1.33444,0.589698,0.645044,0.991606,2.10791,2.13667,0.61177,1.39726,1.59914,2.38028,-1.11504,-0.142336,-0.000416761,-0.32424,-0.783219,-1.53436,-3.41285,-0.122732
-2.41983,-1.301,-1.63683,-2.83129,-3.28787,-0.125885,-0.0158916,0.0465288,0.159792,-0.000981032,1.06113,0.289059,0.531953,0.821292,2.2262,2.07135,0.515739,1.38412,1.73429,2.65373,-1.19541,-0.104847,-0.0326531,-0.349505,-0.807845,-1.61394,-3.56632,-0.196265
-2.49565,-1.33484,-1.73123,-2.59503,-3.21333,-0.0721251,0.0620511,0.230297,0.00562353,-0.0886134,1.14289,0.361898,0.483234,0.514778,2.12401,2.17859,0.531133,1.38451,1.3899,2.48404,-1.21077,-0.118309,0.0300142,-0.334533,-0.777625,-1.57832,-3.51038,-0.165802
-2.47386,-1.37135,-1.64133,-2.83388,-3.05966,-0.209472,-0.114309,0.0210069,0.0516463,-0.0183954,1.20427,0.486882,0.621005,0.878082,1.9409,1.98786,0.441054,1.30561,1.62205,2.3124,-1.27417,-0.136787,-0.00164015,-0.349607,-0.808759,-1.5354,-3.54469,-0.153625
-2.3592,-1.17735,-1.59248,-2.69553,-3.24297,-0.176018,-0.127309,0.0903496,0.0274389,-0.132493,0.984524,0.402714,0.473581,0.696742,2.22412,1.84539,0.255116,1.23714,1.37006,2.33123,-1.22376,-0.131949,0.0100289,-0.373022,-0.834274,-1.54992,-3.56888,-0.146039
-2.21017,-1.3525,-1.54285,-2.67861,-3.26896,-0.374982,-0.141768,-0.086767,-0.0549859,-0.224463,1.18939,0.666182,0.495531,0.798866,2.28173,1.89249,0.518779,1.31802,1.56033,2.45169,-1.20694,-0.0369243,0.0463479,-0.328685,-0.776321,-1.5711,-3.48257,-0.1329
-2.61369,-1.49762,-1.72832,-2.67486,-3.22187,-0.215701,-0.0288432,0.101217,-0.0428571,0.00730283,1.15459,0.599638,0.607346,0.643853,2.04318,2.12953,0.618644,1.42616,1.48234,2.39229,-1.17657,-0.141074,-0.0132463,-0.379799,-0.84144,-1.58644,-3.54228,-0.163604
-2.40399,-1.35784,-1.63933,-2.59173,-3.1238,0.0567464,0.17094,0.187022,0.144662,0.186754,1.08154,0.395263,0.467031,0.674132,2.036,1.73005,0.305553,1.20648,1.36231,2.18756,-1.17413,-0.123811,0.0332281,-0.30998,-0.795575,-1.5557,-3.45884,-0.152768
-2.51567,-1.2906,-1.57456,-2.61048,-3.31734,-0.0826602,-0.0947436,0.0322385,0.0135937,0.0864937,1.32581,0.670887,0.564399,0.835709,2.41247,2.13799,0.612851,1.26554,1.53682,2.40332,-1.11995,-0.115238,0.0504254,-0.294115,-0.692634,-1.48721,-3.41867,-0.185152
-2.4116,-1.37951,-1.67223,-2.6164,-3.36699,-0.215981,0.0328104,0.159183,0.0343467,0.0576592,1.10074,0.439914,0.548684,0.757009,2.27062,1.96982,0.496944,1.39727,1.34311,2.57826,-1.22707,-0.140806,-0.0195424,-0.323545,-0.777199,-1.58731,-3.56899,-0.172013
-2.20831,-1.16697,-1.56099,-2.60089,-3.09026,-0.152543,0.00465549,0.223541,0.247004,-0.113951,1.02411,0.490902,0.413821,0.881151,2.18224,1.6763,0.177412,1.12152,1.27585,2.24136,-1.18697,-0.150873,-0.0379063,-0.320246,-0.803852,-1.52459,-3.46221,-0.197123
-2.34521,-1.21736,-1.53558,-2.33232,-3.04107,-0.365694,-0.161491,-0.0497957,-0.2623,-0.20551,1.03464,0.381124,0.458872,0.70028,2.02891,2.06068,0.509543,1.33458,1.42832,2.29091,-1.18966,-0.140054,-0.0204728,-0.340381,-0.864885,-1.56261,-3.51551,-0.201585
-2.1808,-1.15395,-1.44356,-2.27499,-3.05472,-0.283254,-0.102571,-0.0105026,-0.0895608,-0.304873,0.915396,0.350228,0.416142,0.505712,2.15987,1.89985,0.437463,1.21545,1.26319,2.45547,-1.13082,-0.091052,0.0616276,-0.304054,-0.798264,-1.55944,-3.43504,-0.154389
-2.23708,-1.14421,-1.52752,-2.55951,-2.91804,-0.23868,-0.106814,-0.00821011,0.128276,-0.0376949,1.02491,0.398365,0.487921,0.86471,1.83435,1.77162,0.280102,1.22045,1.2364,2.00566,-1.16704,-0.148694,0.00629952,-0.272072,-0.764996,-1.52863,-3.4708,-0.168239
-2.24425,-1.26153,-1.51858,-2.44209,-3.08027,-0.199533,-0.0824441,0.0248609,-0.0546555,-0.122831,0.984614,0.41724,0.500366,0.738488,2.03851,2.02356,0.605918,1.31798,1.43176,2.5084,-1.19415,-0.143082,-0.0304673,-0.309456,-0.743606,-1.51535,-3.50555,-0.193423
-2.44829,-1.4403,-1.68302,-2.68581,-3.468,-0.181503,-0.0527489,0.0908302,0.0976065,0.129563,1.16342,0.687923,0.642654,0.825901,2.41999,2.04555,0.585898,1.31668,1.31413,2.40365,-1.16621,-0.13925,0.0347599,-0.3429,-0.798009,-1.5342,-3.45442,-0.143015
-2.53725,-1.42551,-1.62974,-2.66164,-3.23715,-0.0632073,-0.0269628,0.0415308,0.0699915,0.0650238,1.26434,0.685044,0.625747,1.00158,2.30817,2.13974,0.663996,1.41165,1.32849,2.42,-1.18249,-0.133218,0.0149884,-0.376869,-0.828652,-1.57473,-3.51594,-0.171472
-2.70942,-1.51684,-1.73778,-2.83022,-3.52479,-0.0982895,0.0309419,0.0840027,0.129345,0.0348613,1.17072,0.469381,0.499904,0.841529,2.33422,2.12926,0.553387,1.37012,1.51996,2.54149,-1.24337,-0.10285,0.0584388,-0.343939,-0.798365,-1.56057,-3.47797,-0.213211
-2.5303,-1.42224,-1.60638,-2.53796,-3.235,-0.100166,-0.118586,0.0535066,-0.0915533,-0.0873679,1.30572,0.750835,0.663368,1.14859,2.20693,2.01454,0.544503,1.34709,1.51318,2.33151,-1.15814,-0.15097,-0.00484561,-0.371452,-0.85572,-1.51006,-3.41613,-0.136629
