b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_logdur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.71248,-1.72502,-1.88181,-2.8596,-3.60408,0.0568396,0.30137,0.316237,0.320285,0.231267,1.3266,0.777029,0.778271,1.07588,2.5209,2.07551,0.634285,1.46419,1.51964,2.63181,-1.1789,-0.141385,0.0463234,-0.325892,-0.853949,-1.55428,-3.46423,-0.160082
-2.34235,-1.23926,-1.58178,-2.57921,-3.2517,-0.362355,-0.170893,0.0202632,-0.124517,-0.148871,1.17107,0.43928,0.506795,0.741528,2.37576,2.10517,0.542932,1.39177,1.37413,2.53419,-1.19161,-0.136786,0.0182742,-0.369417,-0.777751,-1.57283,-3.54924,-0.131263
-2.47081,-1.35119,-1.57124,-2.73792,-3.18562,-0.0982471,0.0345693,0.0982631,0.148377,0.014935,1.07148,0.288451,0.378569,0.629904,1.859,1.95752,0.364661,1.225,1.48119,2.26704,-1.17475,-0.133436,0.0313218,-0.377386,-0.79365,-1.53896,-3.4712,-0.107031
-2.38728,-1.22218,-1.52857,-2.45951,-3.15037,-0.218254,-0.0900199,-0.0171236,-0.0757021,-0.077825,1.48146,0.590022,0.629759,0.850801,2.42824,2.03872,0.376909,1.27785,1.3484,2.31961,-1.21869,-0.189933,-0.0580033,-0.34201,-0.799562,-1.48657,-3.43472,-0.167096
-2.47737,-1.38139,-1.73571,-2.62812,-3.19866,-0.184463,-0.0612615,0.109426,0.0194909,-0.0472708,1.14782,0.551664,0.66808,0.884588,2.15073,2.00663,0.493867,1.35794,1.25855,2.32276,-1.16466,-0.11603,-0.00901689,-0.387326,-0.80587,-1.58713,-3.53369,-0.155258
-2.17784,-1.31434,-1.64568,-2.63821,-3.14446,-0.277995,-0.0100969,-0.0228557,-0.0419763,-0.0157273,0.908031,0.416638,0.452785,0.699205,2.08552,1.8216,0.446941,1.3914,1.39194,2.34717,-1.22256,-0.133293,0.004861,-0.337623,-0.805915,-1.58644,-3.56189,-0.215367
-2.46545,-1.40275,-1.72705,-2.69364,-3.35912,-0.194341,-0.140977,0.0662222,-0.093223,-0.00878665,1.09734,0.632405,0.558289,0.853349,2.31146,2.16888,0.679441,1.39721,1.48449,2.4307,-1.1704,-0.120366,0.0515089,-0.305629,-0.752941,-1.57728,-3.52961,-0.219224
-2.77138,-1.64915,-1.72227,-2.86482,-3.56601,-0.00561772,0.159674,0.0813007,-0.0853977,0.1197,1.40587,0.727211,0.631977,1.06744,2.52285,2.23746,0.656298,1.36697,1.69695,2.64407,-1.25028,-0.169301,0.00380859,-0.309808,-0.823938,-1.61261,-3.5655,-0.152041
-2.53857,-1.34524,-1.7258,-2.62163,-3.2723,-0.312904,-0.245386,-0.0550416,-0.145484,-0.212435,1.33897,0.611615,0.767552,0.951759,2.29407,2.0741,0.483403,1.42272,1.44232,2.51934,-1.18178,-0.148039,-0.00954543,-0.394438,-0.82565,-1.57989,-3.53803,-0.140007
-2.41958,-1.27476,-1.50287,-2.62424,-3.29685,-0.1493,-0.043618,-0.0643811,0.0871539,-0.106875,0.89351,0.27617,0.421473,0.477832,1.97074,2.05595,0.469266,1.27892,1.45774,2.38855,-1.11331,-0.108063,0.02079,-0.317751,-0.798949,-1.52654,-3.49109,-0.125654
-2.14699,-1.12132,-1.48761,-2.29264,-2.96397,-0.252887,-0.0678359,0.0817088,-0.0224506,-0.148704,0.990669,0.405793,0.456706,0.774223,1.96763,1.78934,0.361355,1.09752,1.11854,2.18002,-1.12382,-0.129975,-0.00991587,-0.318513,-0.778447,-1.51736,-3.4417,-0.169812
-2.36839,-1.23791,-1.60634,-2.6015,-3.04338,-0.334883,-0.0798325,0.0892923,-0.0551052,-0.0752229,0.96219,0.288999,0.373182,0.669285,1.81897,1.93676,0.389139,1.22845,1.31488,2.24564,-1.27957,-0.118731,0.0498661,-0.304822,-0.74576,-1.57949,-3.50554,-0.113314
-2.33949,-1.40963,-1.49646,-2.622,-3.31014,-0.29254,-0.144576,-0.0982821,-0.0421121,-0.206722,1.24731,0.634636,0.612441,0.877166,2.26721,1.94015,0.619366,1.26037,1.39644,2.45522,-1.18554,-0.105698,-0.0275063,-0.315855,-0.827078,-1.49897,-3.45788,-0.198786
-2.44034,-1.24822,-1.65887,-2.68147,-2.98061,-0.0369793,-0.0129929,0.0823376,0.0459513,-0.110377,0.915689,0.234916,0.459828,0.654145,1.78934,1.92301,0.335235,1.35404,1.41702,2.144,-1.18561,-0.100173,0.0304402,-0.343171,-0.753529,-1.56455,-3.43779,-0.140048
-2.44167,-1.47996,-1.57715,-2.87926,-3.29162,-0.27258,0.00557947,0.0976115,0.114931,-0.181022,1.2561,0.642281,0.535585,1.16732,2.37687,2.1161,0.707271,1.26859,1.7149,2.57271,-1.16298,-0.148156,0.00313957,-0.367197,-0.833319,-1.52046,-3.45172,-0.167903
-2.15684,-1.12839,-1.5095,-2.60906,-2.91426,-0.179323,-0.0926899,0.0364058,0.00407964,-0.0690319,1.00124,0.491604,0.678513,0.893279,2.00877,1.78221,0.339006,1.26097,1.39037,2.10095,-1.16684,-0.129234,0.0262023,-0.338646,-0.767204,-1.56013,-3.45704,-0.163341
-2.55164,-1.3152,-1.7012,-2.65745,-3.13117,0.00363481,0.00410941,0.11462,0.0424009,-0.140338,1.2314,0.497617,0.591152,0.840197,2.28133,2.05445,0.400458,1.34218,1.50989,2.31728,-1.1777,-0.11099,-0.0103872,-0.361212,-0.737159,-1.54504,-3.47487,-0.168576
-2.45066,-1.23982,-1.60129,-2.57835,-3.00399,-0.260831,-0.189245,0.0769858,-0.036693,-0.264092,1.24142,0.505916,0.494045,0.881034,2.00819,2.08873,0.445249,1.24547,1.36535,2.19422,-1.21133,-0.128817,-0.0403547,-0.343868,-0.767533,-1.60999,-3.55103,-0.1626
-2.57647,-1.47534,-1.68529,-2.79628,-3.58725,-0.143005,0.0150901,-0.0570533,0.0480385,0.0250503,1.3744,0.617394,0.696049,0.922658,2.60206,2.17596,0.589038,1.39858,1.5801,2.75288,-1.22316,-0.167745,-0.00967127,-0.368368,-0.818402,-1.55372,-3.4844,-0.166069
-2.4029,-1.17209,-1.59704,-2.53295,-3.08578,-0.126007,-0.0652039,0.0389899,0.0484396,-0.108141,1.04577,0.345591,0.52596,0.759488,2.17802,1.7613,0.248821,1.24687,1.24362,2.24274,-1.12469,-0.19876,-0.0345511,-0.324755,-0.761253,-1.56672,-3.51227,-0.225085
-2.41126,-1.29005,-1.65964,-2.63629,-3.4141,-0.30313,-0.132993,-0.0463354,-0.328127,-0.0960771,1.18114,0.340055,0.508816,0.785032,2.20746,2.30267,0.731104,1.49714,1.72434,2.72523,-1.20118,-0.107619,0.032761,-0.359628,-0.761356,-1.59006,-3.55986,-0.173781
-2.4086,-1.28311,-1.63907,-2.75767,-3.01643,-0.085453,-0.0142177,0.10229,0.114893,-0.0916379,1.15432,0.585947,0.503131,0.996541,2.01103,2.00124,0.578894,1.39551,1.55581,2.42999,-1.18851,-0.16562,-0.0201154,-0.319432,-0.728072,-1.51059,-3.43386,-0.176112
-2.12976,-1.04538,-1.54143,-2.44042,-2.87716,-0.189453,-0.20268,0.0979893,-0.00271703,-0.240203,0.77495,0.184978,0.420494,0.525478,1.77474,1.75603,0.24593,1.28978,1.34773,2.20042,-1.18605,-0.102587,0.0125116,-0.345724,-0.848559,-1.51357,-3.44283,-0.189794
-2.64381,-1.56323,-1.83142,-2.96294,-3.63022,0.119842,0.102145,0.178936,0.203362,0.0471733,1.06851,0.604087,0.687143,1.03418,2.48956,2.1235,0.68511,1.52469,1.70564,2.82736,-1.14611,-0.0784178,-0.0245978,-0.311994,-0.884018,-1.51443,-3.51122,-0.190137
-2.46074,-1.36192,-1.6464,-2.83266,-3.21697,-0.102713,-0.126074,0.0584884,-0.00414078,-0.223468,1.18558,0.473302,0.536115,1.02722,2.08643,2.1026,0.671566,1.47227,1.68278,2.58016,-1.20585,-0.105733,-0.0120374,-0.354838,-0.814285,-1.57114,-3.51471,-0.171335
-2.59942,-1.52654,-1.66409,-2.67165,-3.48507,-0.0106965,0.0885542,0.0870841,0.178011,-0.000384183,1.12567,0.559786,0.648965,0.878805,2.35942,1.99535,0.487139,1.24593,1.36618,2.70158,-1.15318,-0.146375,-0.025844,-0.368911,-0.875835,-1.57568,-3.47692,-0.139279
-2.21065,-1.27655,-1.5039,-2.5633,-3.14277,-0.194526,-0.0466092,0.0545357,0.105504,-0.173217,1.04303,0.588163,0.489129,0.711162,2.30716,1.79595,0.513941,1.30481,1.36381,2.4709,-1.17143,-0.131474,0.0164562,-0.329187,-0.784277,-1.44576,-3.37138,-0.123349
-2.24893,-1.31674,-1.53641,-2.56179,-3.3749,-0.181949,-0.0584261,0.00410172,-0.0960204,-0.0156409,1.0016,0.532767,0.51602,0.75325,2.21843,1.82482,0.566938,1.35999,1.5818,2.62447,-1.14053,-0.139974,0.0276446,-0.3027,-0.794432,-1.4643,-3.44175,-0.159597
-2.28727,-1.17751,-1.46776,-2.51221,-3.04832,-0.426705,-0.218233,-0.0964373,-0.343204,-0.305863,1.16041,0.394604,0.426578,0.795676,2.14288,2.02622,0.466461,1.25403,1.66704,2.42199,-1.16565,-0.164644,0.0323775,-0.324964,-0.817142,-1.53476,-3.5158,-0.18406
-2.47408,-1.35285,-1.50255,-2.42496,-3.26982,-0.208777,-0.187926,-0.0585446,-0.097947,-0.221117,1.14346,0.464857,0.513763,0.729545,2.19353,2.25032,0.69052,1.35881,1.36718,2.70751,-1.19602,-0.144861,-0.00838732,-0.370216,-0.902521,-1.5563,-3.47222,-0.153574
-2.5131,-1.34925,-1.58219,-2.57092,-3.12059,-0.404354,-0.154592,-0.0185256,0.0356003,-0.287024,1.43214,0.595246,0.596012,0.98512,2.23169,2.26558,0.521399,1.34826,1.37899,2.29276,-1.20685,-0.121709,-0.0421415,-0.370658,-0.894862,-1.57551,-3.59071,-0.191731
-2.31165,-1.18846,-1.56047,-2.58065,-3.25758,-0.282363,-0.189069,-0.0284748,-0.0515602,-0.162644,0.951498,0.368687,0.56922,0.969502,2.20424,1.99797,0.406866,1.34712,1.55724,2.64386,-1.1708,-0.142516,-0.0552282,-0.354211,-0.812283,-1.53384,-3.51166,-0.195507
-2.57087,-1.35413,-1.6079,-2.52007,-3.23014,-0.126697,-0.103667,-0.0461083,-0.0646048,-0.0542048,1.20739,0.531463,0.552285,0.821703,2.11554,2.05841,0.417086,1.3264,1.4357,2.33493,-1.17701,-0.141363,-0.0557778,-0.321037,-0.808551,-1.52471,-3.46338,-0.152486
-2.40323,-1.38848,-1.72187,-2.57667,-2.99599,-0.281093,-0.0528254,0.0170537,-0.0257933,-0.204571,1.32602,0.747348,0.800446,0.832005,2.21039,2.08364,0.646169,1.52956,1.57802,2.22492,-1.1532,-0.174619,-0.0179192,-0.367691,-0.855227,-1.55166,-3.52841,-0.251872
-2.46653,-1.34362,-1.62521,-2.45949,-3.23813,-0.0528417,-0.00442216,0.012259,-0.130763,0.0334902,1.06159,0.436033,0.518527,0.617485,2.16944,2.04558,0.577366,1.36715,1.45014,2.54317,-1.2097,-0.140153,0.0253391,-0.325165,-0.826844,-1.55008,-3.53675,-0.209989
