b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur2,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.12167,-0.734622,-1.04701,-1.54851,-2.16225,-0.294304,-0.162202,0.0644794,-0.0364558,-0.280731,1.07568,0.522633,0.581665,0.946973,2.03731,1.8059,0.570448,1.22663,1.43496,2.41378,-0.00986744,-0.0808615,-0.00878238,-0.295908,-0.742841,-1.41201,-3.28324,-0.0597632
-2.44052,-0.982255,-1.24002,-1.69786,-2.23419,-0.209796,-0.104374,0.0755236,-0.0166251,-0.122689,1.0943,0.60266,0.494641,0.780374,2.07058,2.20367,0.738149,1.35395,1.51441,2.29812,-0.0100622,0.0216169,0.0698094,-0.334663,-0.714622,-1.45574,-3.33212,-0.0298642
-2.14196,-0.808453,-1.13846,-1.42896,-2.40661,-0.237425,-0.0406795,0.0718485,-0.0353828,0.0169684,0.958765,0.425629,0.518171,0.521913,2.11517,1.71144,0.431382,1.30043,1.3302,2.37313,-0.0108884,0.0110618,0.0322245,-0.307301,-0.736307,-1.40108,-3.37884,-0.0509997
-2.22066,-0.80232,-1.11641,-1.51786,-2.25752,-0.312033,-0.142275,0.00710541,-0.2285,-0.146376,1.19471,0.534236,0.526686,0.810513,2.11895,1.93443,0.658503,1.29302,1.46438,2.50002,-0.0100918,-0.0232161,0.0335333,-0.273221,-0.744148,-1.42816,-3.29663,-0.0286379
-2.25535,-0.780971,-1.02513,-1.50761,-2.19668,-0.143328,0.00395996,0.0436093,-0.0424065,-0.00617062,1.0885,0.428603,0.470729,0.676365,2.21666,1.82559,0.443165,1.14584,1.3502,2.34866,-0.011372,-0.0128635,-0.00274687,-0.304041,-0.790916,-1.41231,-3.38449,-0.0267557
-2.44041,-1.01451,-1.32278,-2.0117,-2.45673,0.0152117,0.121717,0.17581,0.297113,0.110921,1.0467,0.538151,0.678095,0.944242,2.18555,1.90827,0.608064,1.43023,1.72348,2.51248,-0.0108944,-0.00804807,0.024126,-0.274521,-0.793427,-1.38435,-3.29949,-0.023282
-2.32041,-0.883878,-1.24123,-1.6495,-2.38675,-0.153477,-0.0737591,0.0604394,-0.0151114,-0.139238,1.19387,0.606589,0.560847,0.841324,2.34609,2.00273,0.690692,1.40568,1.52103,2.51953,-0.00991797,-0.049058,0.00758256,-0.305802,-0.745769,-1.44515,-3.34477,-0.0397472
-2.23786,-0.700781,-1.11329,-1.62417,-2.09867,-0.33707,-0.232469,0.0707148,-0.130468,-0.277721,1.15864,0.459735,0.453827,0.781245,2.04913,1.95808,0.512233,1.23085,1.45599,2.29388,-0.0107753,-0.0310228,-0.0372834,-0.239435,-0.738163,-1.42051,-3.36323,-0.0611312
-2.25375,-0.790587,-1.21216,-1.81099,-2.34729,-0.104074,-0.0618631,0.107053,0.159314,-0.0902122,0.935916,0.461112,0.660124,0.847706,2.15668,1.82252,0.548957,1.29366,1.63833,2.42581,-0.0105517,0.0148574,0.101714,-0.296897,-0.701826,-1.39929,-3.27718,0.00159862
-2.34254,-0.884862,-1.23293,-1.74939,-2.07132,-0.210825,-0.0595401,0.0785636,0.0323328,-0.167367,1.27784,0.694098,0.609914,1.02044,2.07705,2.01487,0.642259,1.42649,1.4637,2.22258,-0.0102124,-0.00409557,-0.0397479,-0.269995,-0.729899,-1.41312,-3.31566,-0.0101839
-2.24923,-0.827051,-1.06481,-1.74765,-2.47051,-0.178428,-0.158597,-0.0946609,-0.185821,-0.0380458,1.18943,0.636462,0.597658,1.00065,2.29404,1.78107,0.533369,1.31676,1.58861,2.40351,-0.010226,0.0172315,0.0755653,-0.27007,-0.687977,-1.40225,-3.37004,-0.055077
-2.45467,-0.92982,-1.21737,-1.93445,-2.45791,-0.176678,-0.093385,-0.00169236,0.162824,-0.217454,1.32793,0.688337,0.69026,1.03239,2.60335,1.92707,0.628427,1.24814,1.50473,2.63633,-0.0110019,0.00957429,0.0473163,-0.349605,-0.804837,-1.44024,-3.38128,-0.00668492
-2.42139,-0.981833,-1.33585,-1.80476,-2.39936,-0.197482,-0.0377908,0.066406,-0.014671,0.00110275,1.2684,0.639087,0.725439,0.849217,2.20956,2.1194,0.707496,1.45717,1.51298,2.5474,-0.0108201,-0.0104618,0.0390244,-0.263544,-0.701578,-1.36458,-3.27448,-0.0585606
-2.24266,-0.859934,-1.22279,-1.78089,-2.41743,-0.443069,-0.300607,0.00877284,-0.0119219,-0.188944,1.34433,0.776133,0.712563,1.05929,2.45334,1.91236,0.576626,1.35827,1.48349,2.5561,-0.0104011,0.015878,0.0407544,-0.282849,-0.790815,-1.40125,-3.30374,-0.0320525
-2.21185,-0.883412,-1.19388,-1.76864,-2.42586,-0.0887608,0.11561,0.20497,0.280729,0.00747126,1.05395,0.45351,0.63435,0.827923,2.19152,1.89822,0.590171,1.33255,1.30077,2.5146,-0.0104165,-0.0262865,0.0221042,-0.287444,-0.742955,-1.3542,-3.30593,-0.0378507
-2.1071,-0.796476,-1.13687,-1.76049,-2.28212,-0.205639,-0.0730079,0.0434708,0.0430988,-0.0966412,1.04805,0.437868,0.563858,0.90973,2.12553,1.87832,0.676748,1.30606,1.60341,2.61957,-0.00962615,-0.077419,-0.0109878,-0.242693,-0.742405,-1.36655,-3.28963,-0.0730655
-2.17156,-0.731988,-0.95401,-1.45387,-2.23094,-0.0963274,-0.0334499,0.00510033,0.0276333,-0.164429,1.0704,0.523923,0.538139,0.688613,2.36941,1.76563,0.475081,1.17244,1.10083,2.44231,-0.0111724,0.0348087,0.0497509,-0.321993,-0.751666,-1.35802,-3.34049,-0.0442556
-2.31122,-0.778011,-1.14701,-1.65044,-2.30708,-0.124601,-0.00873006,0.0998447,0.229093,-0.00428559,1.10274,0.466939,0.569516,0.696364,2.10801,1.95676,0.56067,1.18175,1.29501,2.39569,-0.0100366,0.0248003,-0.037372,-0.28303,-0.716909,-1.50492,-3.44205,-0.104048
-2.51307,-1.01972,-1.13962,-1.69501,-2.59127,0.141219,0.170517,0.0837453,0.0410608,0.139521,1.18257,0.611592,0.530779,0.805279,2.45675,1.92647,0.601879,1.255,1.39534,2.61219,-0.0108977,-0.0230179,0.0147123,-0.249247,-0.719884,-1.35995,-3.34046,-0.0624251
-2.14353,-0.733347,-1.15427,-1.74833,-2.19039,-0.472266,-0.292151,-0.113454,-0.183351,-0.308289,1.0559,0.44949,0.549407,0.814676,2.15163,2.00029,0.629623,1.37208,1.57755,2.46743,-0.0100472,-0.0182,0.0378858,-0.253909,-0.700385,-1.43775,-3.33288,-0.0345344
-2.11877,-0.786992,-1.0001,-1.5069,-2.45077,-0.169643,-0.0523311,0.0305673,0.0764357,-0.169754,1.00778,0.530531,0.519553,0.847844,2.47109,1.8553,0.671993,1.33665,1.50534,2.66627,-0.0112199,0.025509,0.0286127,-0.248561,-0.78514,-1.39946,-3.36494,-0.0729006
-2.29928,-0.960862,-1.14377,-1.5472,-2.61033,-0.172904,-0.0393437,0.0733585,-0.0547309,0.00904507,0.942237,0.505981,0.420334,0.49487,2.34933,1.88766,0.710917,1.24275,1.31938,2.81895,-0.0107731,-0.0431046,0.0316395,-0.288367,-0.712983,-1.39331,-3.30249,-0.0374284
-2.20551,-0.741287,-1.1255,-1.7356,-2.11702,-0.432743,-0.260849,-0.0327961,0.0053505,-0.406177,1.35227,0.709691,0.578756,0.951887,2.35491,1.84972,0.472947,1.308,1.48122,2.51128,-0.0108096,-0.0200443,0.0157234,-0.293767,-0.779631,-1.39292,-3.30803,-0.0722024
-1.92738,-0.679076,-1.08056,-1.55534,-2.3234,-0.364434,-0.190782,0.0413643,-0.0335999,-0.143908,1.07607,0.700982,0.460989,0.825858,2.28527,1.62132,0.356666,1.17099,1.28022,2.37458,-0.00972626,0.0405554,-0.00250593,-0.279941,-0.702963,-1.4225,-3.39198,-0.049978
-2.04237,-0.666581,-1.11207,-1.48087,-2.31428,-0.370246,-0.193437,0.0248193,-0.172345,-0.257324,0.975079,0.421678,0.555705,0.804471,2.28149,1.77918,0.529832,1.33851,1.37178,2.54606,-0.0100091,-0.0374391,0.0222634,-0.24124,-0.705768,-1.39569,-3.29905,-0.0716513
-2.07849,-0.738904,-1.08852,-1.43032,-2.30441,-0.51099,-0.351959,-0.125552,-0.255906,-0.352303,1.09383,0.656823,0.534958,0.690967,2.53278,1.90552,0.68389,1.34423,1.36465,2.69306,-0.0110514,-0.0220334,0.0545629,-0.260321,-0.733874,-1.39777,-3.32777,-0.0310571
-2.05832,-0.729735,-1.00727,-1.53808,-2.17088,-0.317699,-0.142406,0.0323969,-0.0185415,-0.152543,0.94685,0.488253,0.502969,0.907955,2.08141,1.82944,0.590849,1.2462,1.50076,2.45572,-0.010094,-0.0288785,0.00385147,-0.28749,-0.724091,-1.39872,-3.29444,-0.0578656
-2.21527,-0.865241,-1.213,-1.62091,-2.48551,-0.212508,0.0252743,0.096325,-0.027347,-0.0390824,1.08869,0.55191,0.593562,0.784911,2.33747,1.73837,0.594035,1.33707,1.28724,2.66906,-0.0106719,-0.00513305,0.0481648,-0.303327,-0.677018,-1.41566,-3.3682,-0.0332605
-2.45631,-0.979291,-1.21454,-1.78735,-2.49562,-0.330858,-0.109682,-0.0108872,-0.00338975,-0.123714,1.29487,0.74454,0.579037,0.833916,2.50562,2.1692,0.711337,1.44039,1.63393,2.62134,-0.0112813,0.0392048,0.0306116,-0.291141,-0.798647,-1.45448,-3.43454,-0.0135908
-2.42678,-0.997291,-1.20256,-1.76965,-2.72573,-0.148826,0.0509361,0.10264,0.130744,0.152324,1.33147,0.79869,0.586339,0.931689,2.55897,2.06528,0.714225,1.32354,1.38987,2.72128,-0.0101088,0.00273611,-0.0136368,-0.256222,-0.763887,-1.44108,-3.38116,-0.0889403
-2.35326,-0.728067,-1.04455,-1.43652,-2.02635,-0.0411635,-0.00382368,0.0723683,-0.0414874,-0.230676,1.12882,0.417,0.431155,0.723619,2.04887,2.04195,0.506785,1.19023,1.33572,2.33957,-0.0106656,-0.0139088,-0.0164355,-0.282227,-0.75064,-1.43879,-3.41969,-0.0331279
-2.37259,-0.931134,-1.276,-1.85546,-2.57985,-0.0789364,-0.0682616,0.137989,-0.0514716,0.0226849,1.10749,0.496803,0.567196,0.938309,2.41935,1.85284,0.695261,1.3919,1.64287,2.65369,-0.0106922,-0.0343292,0.0468448,-0.297501,-0.722368,-1.38591,-3.32785,-0.0172891
-2.29061,-0.916847,-1.18217,-1.58847,-2.4304,-0.30459,-0.0561809,0.0324632,-0.128478,0.0156004,1.05171,0.541317,0.562378,0.745524,1.99484,1.83629,0.51232,1.27749,1.30729,2.33815,-0.0103456,0.0133579,0.0735813,-0.291891,-0.694969,-1.41195,-3.25414,-0.0148388
-2.10412,-0.668193,-1.1437,-1.54602,-2.18593,-0.103122,0.031119,0.204852,0.0141502,0.0797242,0.889586,0.24118,0.510691,0.698355,1.82266,1.76374,0.342875,1.24215,1.28964,2.36868,-0.0114373,0.023503,0.00250892,-0.232108,-0.73728,-1.41777,-3.32855,-0.0319112
-2.15136,-0.784631,-1.12623,-1.63225,-2.24062,-0.332914,-0.104756,-0.0665717,-0.0396094,-0.0327175,1.02138,0.500145,0.583582,0.961723,2.09487,1.93192,0.583348,1.38786,1.49316,2.40336,-0.0107546,-0.0134112,0.0538975,-0.275219,-0.743974,-1.3913,-3.32935,-0.048927
-2.18432,-0.945677,-1.18904,-1.70199,-2.18703,-0.281297,-0.0958239,0.101241,-0.068913,-0.145774,1.00495,0.699526,0.60238,1.05477,2.18955,2.0303,0.786429,1.37253,1.58289,2.42905,-0.011017,0.03031,0.0518522,-0.286227,-0.733818,-1.40417,-3.31705,-0.0479451
-2.28289,-0.867089,-1.14985,-1.69672,-2.33693,-0.179411,-0.00769324,0.0478384,0.109523,-0.168149,1.22614,0.666597,0.637342,0.94253,2.43717,1.77988,0.39446,1.2736,1.36778,2.49458,-0.0109567,0.0253751,0.00685901,-0.300052,-0.78613,-1.39951,-3.39247,-0.0474485
-2.27707,-0.856659,-0.985736,-1.42107,-2.45722,-0.311015,-0.14659,-0.0617165,-0.10622,-0.153667,1.11332,0.514928,0.521366,0.656174,2.34637,1.94562,0.611587,1.1991,1.19588,2.71231,-0.0113709,-0.00220612,0.0393047,-0.322815,-0.840116,-1.40609,-3.39195,-0.0485957
-2.05044,-0.619174,-1.01761,-1.42365,-1.95275,-0.178774,-0.185658,-0.0829067,-0.166424,-0.389869,1.29545,0.654031,0.591557,0.98638,2.21173,1.79776,0.550497,1.32232,1.31814,2.34477,-0.00999416,-0.00682065,-0.0364768,-0.254262,-0.720705,-1.41926,-3.34848,-0.0526166
-2.3815,-1.01305,-1.23393,-1.7475,-2.65311,-0.35105,-0.0757694,-0.070665,-0.180091,-0.0755339,1.35145,0.762509,0.635774,0.998726,2.51666,1.91554,0.706903,1.34411,1.48379,2.76353,-0.0112261,0.04061,0.104378,-0.283146,-0.77201,-1.43487,-3.43741,-0.0353471
-2.42456,-0.948998,-1.30321,-1.83998,-2.28462,-0.112304,-0.059889,0.0888301,0.0259664,-0.147837,1.42618,0.831617,0.805379,1.21067,2.45104,1.82084,0.527606,1.41462,1.3519,2.29935,-0.0103254,-0.0145201,0.0637655,-0.274379,-0.775378,-1.41973,-3.32816,-0.0605966
-1.99906,-0.784851,-1.10177,-1.63217,-2.28725,-0.0720936,0.0587829,0.0976603,0.124781,-0.0706103,0.674379,0.238248,0.467303,0.455306,1.97935,1.70325,0.444595,1.22201,1.3579,2.3721,-0.00959677,0.0388305,0.0787826,-0.290494,-0.728618,-1.38306,-3.2812,-0.0270071
-2.03548,-0.65532,-1.09387,-1.40914,-2.10179,-0.380515,-0.228958,-0.0556328,-0.222691,-0.307489,1.02553,0.450568,0.551977,0.777727,2.07135,1.71087,0.441405,1.20072,1.29838,2.27655,-0.0102578,-0.00936744,0.0671526,-0.271628,-0.707605,-1.41005,-3.28211,-0.0294244
-2.23264,-0.874893,-1.15244,-1.60345,-2.09108,-0.282318,-0.0741983,-0.00537653,-0.0504423,-0.0988438,0.986504,0.488172,0.617596,0.938387,2.05737,1.84107,0.576721,1.33537,1.35733,2.19226,-0.0112273,0.0169717,-0.00789488,-0.307595,-0.742531,-1.43006,-3.36865,-0.0505724
-2.16574,-0.804192,-1.16323,-1.72402,-2.28135,-0.316435,-0.242134,-0.0354271,-0.0779267,-0.231733,1.10101,0.547132,0.49516,0.794493,2.2832,1.84118,0.693929,1.36902,1.62296,2.45868,-0.0110134,0.0312746,-0.00102641,-0.293448,-0.759658,-1.44311,-3.38171,-0.0501068
-2.17567,-0.776564,-1.17098,-1.88165,-2.11867,-0.179197,0.0211144,0.120442,0.209828,-0.0841858,0.910953,0.318629,0.457506,0.804076,1.74132,1.77149,0.424032,1.24424,1.38888,2.27259,-0.0110123,0.0574959,0.0705407,-0.294572,-0.745087,-1.445,-3.39214,0.0328478
-2.3676,-0.958794,-1.24192,-1.83715,-2.31719,-0.101517,0.108026,0.136989,0.175381,-0.157006,1.09992,0.498955,0.59915,0.848135,2.20134,1.88009,0.500383,1.23875,1.5225,2.52864,-0.0106987,0.030568,0.0372484,-0.316428,-0.793917,-1.42526,-3.37512,-0.0507689
-2.05315,-0.589958,-0.835371,-1.44291,-2.21409,-0.235658,-0.232408,-0.119728,-0.066458,-0.122747,1.0289,0.447518,0.400607,0.841307,2.38362,1.56018,0.338926,1.1158,1.30332,2.41805,-0.0113503,0.0224921,-0.0044489,-0.336647,-0.823019,-1.44704,-3.41972,-0.0327833
-2.44708,-1.01469,-1.13288,-1.90033,-2.73172,-0.149731,-0.0207536,0.0162876,0.148198,0.173058,1.22023,0.694523,0.506924,0.901859,2.53139,2.06588,0.662518,1.25592,1.46234,2.74978,-0.0108494,0.0036481,0.0476832,-0.270765,-0.754407,-1.45352,-3.4148,-0.000357961
-2.30794,-0.834889,-1.14695,-1.71318,-2.43531,-0.143943,0.0386596,0.125204,0.0762041,-0.047672,1.02267,0.386075,0.490931,0.662639,2.31598,1.85712,0.479884,1.24519,1.27511,2.64325,-0.010857,-0.0220067,0.0389542,-0.283159,-0.710638,-1.42253,-3.33069,-0.0223937
-2.1331,-0.718315,-1.09443,-1.58127,-2.33581,-0.244407,-0.166968,0.0132318,0.0140017,-0.0403826,0.830159,0.361493,0.469164,0.677034,2.141,1.87073,0.539074,1.28907,1.4359,2.49187,-0.0106687,-0.0157837,0.00891869,-0.241332,-0.704975,-1.38254,-3.29689,-0.0560274
-2.29748,-0.945019,-1.20566,-1.76256,-2.40507,-0.185011,0.0760214,0.138736,0.0392693,0.0456603,1.0811,0.618272,0.610018,0.914418,2.16157,1.8901,0.568176,1.31594,1.56595,2.38359,-0.00997999,-0.0538749,0.0157725,-0.278133,-0.777521,-1.35993,-3.25128,-0.01736
