b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur2,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.46909,-1.02224,-1.06407,-1.62013,-2.27889,-0.195311,-0.0952558,-0.0847009,-0.0401204,-0.126729,1.0586,0.399822,0.427675,0.712505,1.97612,1.91476,0.665323,1.23339,1.22884,2.35766,-0.0110016,-0.0164196,0.0628029,-0.327866,-0.774842,-1.41276,-3.32037,-0.0298564
-2.31596,-0.850648,-1.21409,-1.63112,-2.39656,-0.261535,-0.0794164,-0.0272716,-0.01866,-0.0333701,1.04922,0.316299,0.526572,0.735244,1.92274,1.94185,0.528599,1.33452,1.29954,2.57726,-0.0103396,-0.000999254,-0.00658274,-0.260611,-0.795302,-1.45025,-3.36058,-0.0862708
-2.30596,-0.961438,-1.18298,-1.64991,-2.41803,-0.0785508,0.0351479,0.102888,0.00115904,0.0429257,1.09435,0.579373,0.512143,0.692475,2.17915,2.0888,0.835722,1.38753,1.5264,2.62416,-0.0105804,0.0287941,0.0191829,-0.348408,-0.793249,-1.40792,-3.33893,-0.0161821
-2.10461,-0.711342,-1.20091,-1.62938,-2.24756,-0.334884,-0.147192,0.0229449,-0.217992,-0.273663,1.04622,0.403134,0.522316,0.848643,2.14925,1.79499,0.492345,1.36625,1.48199,2.4906,-0.0108182,0.0732413,0.128039,-0.260247,-0.707288,-1.41712,-3.34715,-0.0406337
-2.24703,-0.85703,-1.16624,-1.46431,-2.39406,-0.192287,-0.181469,0.0194814,-0.129843,-0.227268,1.0877,0.585622,0.602168,0.6622,2.3494,1.93194,0.676623,1.32373,1.31553,2.5778,-0.0107674,-0.0299883,0.00271262,-0.267617,-0.734442,-1.43246,-3.35477,-0.0742152
-2.19662,-0.858631,-1.11023,-1.68792,-2.33379,-0.0451608,0.160626,0.110945,0.207589,0.0301659,1.02704,0.574689,0.556752,0.872058,2.2787,1.53251,0.285337,1.23601,1.42827,2.2941,-0.0106164,0.0276909,0.00360548,-0.319006,-0.782199,-1.39916,-3.34908,-0.0777561
-2.28804,-0.819881,-1.15871,-1.67915,-2.40473,-0.314166,-0.199847,-0.0440686,-0.117661,-0.095982,0.930191,0.395915,0.527978,0.531162,2.20406,1.86084,0.478261,1.34392,1.42787,2.53938,-0.0113446,0.0380381,0.0573328,-0.300118,-0.771923,-1.42459,-3.35663,-0.01386
-2.13186,-0.689373,-1.12853,-1.49278,-2.06247,-0.160707,-0.0184196,0.0725211,0.0445212,-0.0680097,0.98345,0.363241,0.440856,0.543339,1.96148,1.69235,0.310711,1.12074,1.0322,2.19103,-0.0106141,0.0227384,0.0290215,-0.255251,-0.646573,-1.41474,-3.29604,-0.0557686
-2.19205,-0.91333,-1.12329,-1.64426,-2.72186,-0.282919,-0.137196,0.0955213,-0.0639074,-0.0763206,1.06,0.56984,0.47727,0.84888,2.51297,2.02296,0.7186,1.27852,1.46602,2.86269,-0.0104451,0.0355478,0.0284139,-0.296857,-0.781422,-1.39085,-3.34809,-0.0553405
-2.42167,-0.984641,-1.2412,-1.87015,-2.37545,0.0158251,0.107891,0.17593,0.218199,0.0173765,1.0352,0.619249,0.583954,0.817149,2.33675,1.95012,0.715461,1.38306,1.47466,2.5799,-0.0105408,-0.00786474,0.0692527,-0.264486,-0.731165,-1.37704,-3.30226,-0.0347266
-2.21899,-0.741638,-1.24135,-1.48077,-2.27665,-0.309903,-0.0987342,0.00108416,-0.172577,-0.100185,1.04506,0.473518,0.716347,0.765191,2.26882,1.86902,0.524952,1.35942,1.38192,2.48924,-0.0107502,0.0400143,0.0620726,-0.325538,-0.763871,-1.44732,-3.38567,-0.0256711
-2.17819,-0.802926,-1.1769,-1.65831,-2.18,-0.185366,-0.0346529,0.0613393,0.0483508,-0.129211,1.14493,0.619778,0.674498,0.950405,2.32335,1.73747,0.47405,1.27174,1.29588,2.31353,-0.010529,0.00941559,0.0442397,-0.239726,-0.756479,-1.38794,-3.30015,-0.0498977
-2.0869,-0.619302,-1.02863,-1.61434,-2.09811,-0.33481,-0.178825,0.0507469,0.0173418,-0.09899,1.06484,0.371158,0.477598,0.85209,2.07462,1.81486,0.46746,1.1856,1.24228,2.38361,-0.0112181,0.0103372,0.0380779,-0.304288,-0.778703,-1.42225,-3.37048,-0.0231946
-2.16822,-0.787819,-1.22105,-1.80184,-2.25705,-0.354047,-0.227525,0.0470762,0.0706795,-0.362279,0.901287,0.50914,0.579049,0.747852,2.16613,1.6878,0.565134,1.49753,1.63655,2.51739,-0.010822,-0.0529686,-0.0307437,-0.304846,-0.788889,-1.37801,-3.34571,-0.0242256
-2.59624,-1.08549,-1.17305,-1.8387,-2.6755,-0.117925,0.026315,0.00278467,0.0286652,0.0412941,1.65537,0.982497,0.834913,1.24944,2.68169,2.09702,0.677324,1.2699,1.58825,2.70194,-0.0106559,-0.0532253,-0.000729797,-0.318442,-0.805026,-1.38047,-3.33149,-0.080241
-2.05631,-0.677441,-1.0591,-1.54754,-2.1515,-0.222701,-0.0468205,0.0404751,-0.114748,-0.234986,0.980819,0.362464,0.48786,0.87577,1.94482,1.82348,0.507505,1.26729,1.38231,2.40678,-0.00993588,0.0347945,0.00726865,-0.331296,-0.790565,-1.40987,-3.37922,-0.071398
-2.24169,-0.744071,-1.10774,-1.58022,-2.31321,-0.292864,-0.184931,-0.0364079,-0.0326849,-0.173893,1.17849,0.546343,0.581604,0.79386,2.29723,1.97277,0.557129,1.20517,1.3384,2.60613,-0.0104928,0.0213473,0.0768037,-0.298898,-0.752936,-1.44202,-3.3277,-0.0109052
-2.19425,-0.838592,-1.1562,-1.79714,-2.1913,-0.271032,-0.0728777,0.0233873,0.0994384,-0.226905,1.12204,0.69612,0.583472,0.941841,2.37231,1.8314,0.575995,1.28832,1.42537,2.44367,-0.0108894,0.00256612,0.0275595,-0.287121,-0.732114,-1.42682,-3.34024,-0.0095499
-2.2161,-0.693781,-1.10371,-1.67323,-2.04529,-0.0406765,0.0172969,0.107329,0.0692293,0.00350194,1.1566,0.55359,0.598009,0.923384,2.0534,1.6729,0.414808,1.23794,1.41113,2.22371,-0.0109213,0.0277412,0.0455358,-0.322057,-0.772523,-1.39537,-3.2919,-0.031019
-2.19422,-0.831107,-1.2401,-1.85693,-2.33709,-0.135921,0.0253807,0.0885666,0.0398533,-0.0824349,0.878021,0.451891,0.520775,0.93867,2.21742,1.93595,0.548194,1.33161,1.55436,2.46655,-0.0102786,-0.0169233,0.0590365,-0.263088,-0.753924,-1.43697,-3.34346,-0.0827128
-2.52997,-0.957156,-1.19401,-1.90571,-2.32113,-0.093,0.00574619,0.114831,0.049707,-0.0161752,1.32808,0.601172,0.507467,0.885975,2.09181,2.14379,0.664705,1.23833,1.48637,2.47215,-0.0105051,0.0260435,0.072974,-0.277429,-0.715725,-1.46091,-3.432,-0.00257689
-2.32687,-0.935214,-1.16763,-1.811,-2.46726,-0.299394,-0.141925,-0.0476017,-0.0410559,-0.403011,1.27034,0.786497,0.704941,1.16028,2.57468,1.94893,0.697759,1.29346,1.58272,2.71571,-0.0106898,-0.0184569,-0.00155473,-0.29237,-0.813512,-1.42873,-3.38367,-0.0705143
-2.13616,-0.852874,-1.18818,-1.67066,-2.15776,-0.143359,0.0591813,0.0435985,-0.0564293,-0.0482477,0.819948,0.418603,0.657321,0.761273,1.92134,1.95046,0.735758,1.43957,1.60958,2.34254,-0.0105185,0.0265798,0.0601399,-0.28374,-0.724485,-1.39982,-3.31214,-0.0158933
-2.05243,-0.675547,-1.07676,-1.66107,-2.18808,-0.351828,-0.284027,-0.0855699,-0.0584716,-0.349873,1.01714,0.446492,0.457378,0.761526,2.15672,1.91386,0.550909,1.28269,1.50714,2.41016,-0.00958674,-0.0275806,-0.0147623,-0.318796,-0.742247,-1.35471,-3.21905,-0.0604096
-2.264,-0.854921,-1.1285,-1.53514,-2.39264,-0.164986,-0.0973571,0.0305712,-0.113099,-0.0079567,1.13487,0.566687,0.581101,0.696828,2.31022,1.89169,0.649247,1.36013,1.49579,2.54991,-0.0106977,-0.0467347,-0.0364855,-0.311052,-0.747451,-1.421,-3.33365,-0.0119006
-1.99652,-0.573942,-1.01183,-1.54836,-2.04176,-0.132583,-0.0708626,0.00647949,0.0849948,-0.153461,0.954192,0.338687,0.51989,0.820056,1.97186,1.55287,0.221817,1.10446,1.2288,2.21112,-0.0109534,0.00436121,0.0719344,-0.282639,-0.681407,-1.38951,-3.287,-0.0628566
-2.26354,-0.945541,-1.2394,-1.72936,-2.51567,-0.184594,-0.0982315,-0.0709712,-0.152548,-0.189557,1.17161,0.742527,0.820203,1.0727,2.51361,1.75395,0.619305,1.34913,1.41778,2.58065,-0.00998834,-0.0141798,0.0167341,-0.29021,-0.737008,-1.41751,-3.39101,-0.0732391
-2.0063,-0.742352,-1.09973,-1.62281,-2.22471,-0.401878,-0.216129,-0.0891112,-0.144667,-0.244019,0.847353,0.468812,0.544499,0.660989,2.07285,1.56986,0.287022,1.11628,1.21023,2.12998,-0.0102841,0.0199702,0.0979657,-0.310364,-0.691057,-1.42111,-3.30861,-0.00678449
-2.20618,-0.850907,-1.09932,-1.7019,-2.05577,-0.247334,-0.158777,0.0028865,-0.0834324,-0.316897,1.06136,0.565588,0.497199,0.921748,2.16954,1.79857,0.624891,1.30604,1.56579,2.38078,-0.0113689,0.0314301,0.0236531,-0.309289,-0.774991,-1.43935,-3.3499,-0.0548479
-2.30383,-0.728456,-1.13572,-1.54509,-2.2871,-0.127882,-0.0836892,0.0238347,0.00428554,-0.0689383,1.1863,0.58833,0.704312,0.950131,2.3934,1.93309,0.381724,1.28351,1.24009,2.45958,-0.0109951,0.0150985,-0.0128648,-0.30306,-0.7992,-1.41315,-3.3408,-0.0460296
