b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_vacdisc,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-10.0228,-1.11977,-9.25112,-2.18498,-10.6346,-0.198878,-0.0338953,0.00794931,-0.0735649,-0.156249,1.1111,0.586095,0.563939,0.856761,1.84767,1.90032,0.610535,1.35861,1.6376,2.17166,7.86871,-0.237168,-0.172674,-0.314537,-0.682431,-1.38167,-3.13143,-0.149127
-9.39906,-0.683082,-8.99962,-1.79986,-10.0477,-0.183566,-0.151122,0.0607963,-0.135369,-0.0314862,1.02077,0.489268,0.534335,0.878743,1.57474,1.47867,0.322545,1.25704,1.18865,1.77134,7.73322,-0.182941,-0.122299,-0.271309,-0.729898,-1.40263,-3.11625,-0.224352
-9.98434,-0.851769,-9.28161,-1.9676,-10.3778,-0.422846,-0.220973,-0.0496633,-0.108197,-0.354713,1.24594,0.623106,0.631082,0.982685,1.90582,1.98809,0.353841,1.17224,1.33687,1.68983,7.99577,-0.212234,-0.120646,-0.213723,-0.615439,-1.41572,-3.1102,-0.18005
-11.122,-0.954989,-10.4651,-1.94726,-11.7844,-0.14743,-0.048215,0.0248505,0.015587,-0.0818527,1.11164,0.622404,0.516834,0.972239,1.83671,1.76434,0.565578,1.27686,1.39357,2.05031,9.21198,-0.21943,-0.159964,-0.238631,-0.656356,-1.37446,-3.10927,-0.212617
-10.6685,-0.88551,-9.96284,-1.92059,-11.1138,-0.0174312,0.0435605,0.137051,0.119096,-0.124227,1.1776,0.60081,0.502051,0.682528,1.74121,1.85134,0.480116,1.22524,1.20157,1.85771,8.69641,-0.192037,-0.141292,-0.292912,-0.645952,-1.41046,-3.11954,-0.207637
-10.8421,-0.787541,-10.1382,-1.79737,-11.5238,-0.272541,-0.176701,-0.0332098,-0.209634,-0.150604,0.988625,0.410391,0.455817,0.609943,1.5542,1.86014,0.542209,1.25195,1.50868,2.22866,9.0495,-0.217475,-0.154726,-0.279174,-0.738443,-1.3884,-3.14973,-0.197654
-11.196,-0.939993,-10.5849,-1.74939,-11.9128,-0.127583,0.0886798,0.164407,0.0800383,-0.0698934,1.14677,0.566691,0.548788,0.644196,2.10402,1.83085,0.463788,1.22718,1.13126,1.99957,9.32941,-0.199711,-0.184138,-0.242664,-0.661439,-1.39274,-3.12265,-0.205948
-9.70898,-1.01241,-8.94023,-1.87944,-10.4779,-0.369711,-0.274941,-0.0954794,-0.251036,-0.477441,1.15383,0.715843,0.542769,0.827853,2.05897,1.86509,0.537154,1.27048,1.32138,2.13649,7.73741,-0.179879,-0.0998308,-0.282179,-0.74006,-1.39338,-3.18109,-0.141753
-10.6064,-0.939986,-9.94602,-1.78137,-11.2534,-0.317612,-0.217436,0.0613691,-0.118091,-0.208942,1.30494,0.697404,0.571923,0.705994,1.96456,1.8837,0.607817,1.29385,1.31795,2.25382,8.65027,-0.213684,-0.155732,-0.243959,-0.623521,-1.40027,-3.06787,-0.236076
-10.3437,-0.869988,-9.72732,-1.88816,-11.0288,-0.269857,-0.169275,-0.00481509,-0.151473,-0.272805,1.07495,0.523685,0.632443,0.873363,1.93137,1.74142,0.419403,1.25243,1.15768,2.01938,8.45125,-0.18701,-0.0996107,-0.266709,-0.690618,-1.36662,-3.06622,-0.195798
