b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_vacdisc,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-11.2611,-0.864944,-10.6193,-1.86575,-12.0018,-0.196748,-0.0270319,0.056047,0.056602,-0.0571584,0.882424,0.358508,0.374269,0.71388,1.54651,1.62769,0.396343,1.10475,1.19,1.96218,9.50664,-0.0992334,-0.107961,-0.229763,-0.616646,-1.37048,-3.10616,-0.210217
-11.0931,-0.784574,-10.5758,-1.83443,-11.8563,-0.330799,-0.218578,0.0609886,0.0561883,-0.32062,0.809355,0.390007,0.592005,0.769592,1.75212,1.79773,0.486675,1.27563,1.31619,2.24593,9.35077,-0.18445,-0.177234,-0.289331,-0.716207,-1.42378,-3.18122,-0.199901
-9.92216,-1.12641,-9.09122,-1.95675,-10.4671,-0.156306,-0.113818,0.0906863,-0.0231484,-0.204888,1.19889,0.670976,0.621236,0.841932,1.96591,2.07981,0.642034,1.35992,1.37949,2.16223,7.72225,-0.208073,-0.178103,-0.347774,-0.725144,-1.41757,-3.13102,-0.177273
-9.56476,-0.845876,-8.87115,-1.68157,-10.1178,-0.206323,-0.215214,0.0770883,-0.334335,-0.16639,1.08512,0.479533,0.475702,0.678625,1.79561,1.88102,0.487347,1.18452,1.15557,1.93216,7.61295,-0.17445,-0.111782,-0.250446,-0.710632,-1.45546,-3.16692,-0.174737
-8.42825,-0.901232,-7.8097,-2.00414,-9.12815,-0.121762,-0.0368199,0.0518605,0.0657304,-0.160946,0.847934,0.349887,0.438105,0.687682,1.5491,1.7914,0.513507,1.28976,1.525,2.02852,6.56336,-0.192436,-0.149507,-0.248127,-0.697788,-1.37603,-3.11613,-0.165472
-11.7184,-0.841712,-11.1071,-1.7598,-12.4951,-0.284673,-0.169687,-0.0102308,-0.213681,-0.250153,1.01778,0.524738,0.500709,0.611719,1.77179,1.76565,0.495579,1.15366,1.08323,2.18305,9.94695,-0.134855,-0.111084,-0.25871,-0.705321,-1.38365,-3.20902,-0.178493
-9.51428,-0.678428,-9.00073,-1.73902,-10.1596,-0.404857,-0.241788,0.043958,-0.0251462,-0.425799,0.957889,0.426711,0.605479,0.748538,1.7226,1.62231,0.284489,1.11849,1.1368,1.80138,7.83548,-0.178106,-0.185359,-0.235679,-0.649667,-1.35164,-3.08237,-0.214665
-10.2908,-0.625534,-9.83803,-1.7489,-10.9825,-0.301346,-0.235458,-0.0534177,-0.155083,-0.377496,0.614708,0.166257,0.366398,0.558423,1.46887,1.64287,0.364729,1.30253,1.34718,1.9034,8.66885,-0.223613,-0.13666,-0.253052,-0.693827,-1.39009,-3.126,-0.225141
-9.30422,-0.728412,-8.67557,-1.65598,-9.97428,-0.220911,-0.0554051,-0.057451,-0.126639,-0.149211,0.762831,0.279096,0.312261,0.52738,1.38851,1.67098,0.423423,1.1387,1.20564,1.90825,7.63345,-0.195343,-0.135255,-0.225223,-0.646173,-1.37382,-3.08387,-0.175531
-10.4231,-0.936772,-9.70501,-1.97413,-11.1428,-0.130248,-0.054434,0.0360979,0.0241099,-0.213999,1.2334,0.636117,0.60906,0.777632,2.07041,1.97557,0.634868,1.36936,1.45264,2.26554,8.43079,-0.197829,-0.106981,-0.249998,-0.693255,-1.37508,-3.09291,-0.192248
-9.84671,-0.997278,-9.20591,-2.07093,-10.4172,-0.181853,-0.0367405,0.116236,0.099155,-0.158104,1.17885,0.609506,0.593883,0.843957,1.84509,1.93339,0.548983,1.33889,1.38865,2.01912,7.82984,-0.168551,-0.123285,-0.305865,-0.654662,-1.39522,-3.12834,-0.200424
-13.3165,-0.949396,-12.6746,-2.11243,-13.8823,-0.197409,-0.0888231,-0.02807,0.0492632,-0.193732,1.04403,0.514164,0.565339,0.986524,1.79813,1.8123,0.524035,1.20924,1.32775,1.86887,11.4282,-0.204536,-0.145024,-0.220874,-0.617747,-1.38274,-3.09113,-0.175094
-11.4075,-0.938774,-10.9044,-1.83725,-12.1542,-0.345783,-0.250918,0.111802,-0.157302,-0.233232,1.0718,0.57716,0.621433,0.633412,1.86757,1.87331,0.593785,1.27038,1.22615,2.13682,9.5667,-0.154013,-0.118842,-0.275898,-0.698782,-1.42441,-3.18039,-0.164735
-11.3284,-0.779319,-10.8881,-1.87608,-12.0769,-0.273104,-0.0691837,0.0204715,-0.0657599,-0.146499,0.857071,0.427309,0.470953,0.698349,1.57309,1.62235,0.461799,1.28594,1.33453,1.86267,9.73275,-0.160785,-0.127704,-0.252356,-0.626942,-1.31691,-3.0475,-0.158179
-8.83653,-0.653433,-8.40586,-1.96912,-9.65243,-0.393995,-0.230255,-0.0171271,-0.0710504,-0.268216,0.874351,0.365116,0.438037,0.748141,1.80343,1.68562,0.389301,1.26592,1.41988,1.98526,7.1893,-0.140172,-0.0571716,-0.223447,-0.640168,-1.38943,-3.10284,-0.199316
-10.2647,-0.929019,-9.54461,-1.8624,-10.8885,-0.320916,-0.165397,-0.0461595,-0.101736,-0.217445,1.16352,0.556474,0.433522,0.70713,1.73454,1.81553,0.596014,1.23337,1.3311,2.02998,8.35629,-0.180246,-0.10067,-0.26819,-0.685833,-1.37594,-3.08321,-0.162233
-9.89946,-0.941648,-9.38965,-1.96003,-10.7198,-0.206849,-0.0608552,0.11227,0.0753456,-0.144011,1.14746,0.679736,0.586779,0.855675,2.05899,1.85278,0.638576,1.34324,1.38153,2.15128,8.07048,-0.167352,-0.118772,-0.258354,-0.690338,-1.39598,-3.14615,-0.209903
-9.47602,-0.599751,-9.05685,-1.73847,-10.1825,-0.269562,-0.11706,0.0760194,-0.0020207,-0.0733521,0.586326,0.0491447,0.435468,0.496202,1.45785,1.67561,0.329042,1.17758,1.12846,1.77898,7.90052,-0.171978,-0.124756,-0.248232,-0.672761,-1.3907,-3.12423,-0.197297
-10.1667,-0.865468,-9.60105,-1.98814,-10.6276,-0.330302,-0.25948,0.0312165,-0.117978,-0.308851,1.19341,0.531628,0.722459,0.991679,1.73179,1.91264,0.62574,1.34108,1.36791,1.9666,8.23841,-0.191479,-0.130875,-0.246591,-0.669194,-1.3841,-3.10782,-0.174094
-10.4236,-0.810936,-9.65973,-2.03639,-10.729,-0.0829009,0.0381966,0.0907705,0.140847,-0.20455,1.35515,0.612904,0.643171,1.08215,1.98389,1.78277,0.277087,1.14851,1.34582,1.77732,8.39284,-0.208977,-0.178449,-0.234254,-0.689078,-1.41183,-3.17857,-0.22212
-10.0113,-0.909468,-9.47263,-1.86674,-10.8865,-0.19026,-0.00816075,0.119599,-0.142182,-0.0646341,1.18536,0.575735,0.624682,0.851499,2.09974,1.811,0.561621,1.1471,1.29563,2.20211,8.17518,-0.151494,-0.151737,-0.228488,-0.713067,-1.41741,-3.22878,-0.180173
-9.24644,-0.640834,-8.77125,-1.87129,-10.0138,-0.306908,-0.134368,-0.0092394,-0.0151309,-0.254396,0.835298,0.278685,0.481754,0.648646,1.59439,1.62953,0.274863,1.18393,1.18299,2.00298,7.55958,-0.171323,-0.0892829,-0.25666,-0.670393,-1.37128,-3.1367,-0.193904
-10.6339,-0.792364,-9.88402,-1.67589,-11.2818,-0.301675,-0.15837,-0.0492754,-0.0522587,-0.193431,1.07643,0.530741,0.419811,0.684884,1.63741,1.72419,0.500324,1.12018,1.19619,1.97624,8.89527,-0.155018,-0.153174,-0.271301,-0.703932,-1.40098,-3.09382,-0.187222
-9.72846,-0.784024,-9.2618,-1.91848,-10.3106,-0.109405,-0.0850301,0.118235,-0.00742372,-0.281287,1.03203,0.437539,0.513277,0.884033,1.71316,1.68215,0.426868,1.30177,1.29725,1.90706,7.94606,-0.174747,-0.112639,-0.229086,-0.62639,-1.38501,-3.06701,-0.22531
-10.3177,-0.98948,-9.72473,-2.02634,-11.1394,-0.23368,-0.0211766,0.154133,0.192673,-0.0415426,1.27672,0.689055,0.646419,0.871921,2.04995,1.84254,0.576482,1.27172,1.267,2.22921,8.41674,-0.193639,-0.129278,-0.230776,-0.659102,-1.34594,-3.09708,-0.184223
-9.69536,-0.91016,-8.87904,-1.93448,-10.3117,-0.227001,-0.122913,0.0139808,-0.0294125,-0.121881,1.09682,0.599512,0.444402,0.862251,1.80022,1.81933,0.545579,1.10036,1.1824,2.09058,7.72859,-0.185437,-0.0999434,-0.250207,-0.63687,-1.3934,-3.09505,-0.165349
-10.8742,-0.719153,-10.21,-1.85865,-11.4055,-0.218224,-0.137555,-0.020586,0.0616854,-0.463966,1.00466,0.343953,0.499835,0.596329,1.77961,1.84566,0.352602,1.22546,1.27165,1.94208,9.03026,-0.187001,-0.151826,-0.206425,-0.670995,-1.43427,-3.17937,-0.215901
-9.22943,-0.824716,-8.8598,-1.85691,-9.979,-0.525888,-0.2236,0.0153158,-0.202105,-0.378112,1.03262,0.495105,0.521459,0.667797,1.70471,1.78439,0.563209,1.25415,1.29319,1.93479,7.55035,-0.207266,-0.129534,-0.246915,-0.669158,-1.36772,-3.11523,-0.226902
-10.9376,-0.841372,-10.429,-1.90865,-11.701,-0.260598,-0.152459,-0.0336072,0.0089182,-0.338085,1.02101,0.497034,0.582801,0.89066,1.61414,1.71003,0.623131,1.26018,1.3836,2.05599,9.23511,-0.183535,-0.142265,-0.246853,-0.673163,-1.33755,-3.06233,-0.183664
-9.47166,-0.872887,-8.96033,-1.94203,-10.2116,-0.207667,-0.0626168,0.15056,0.0480886,-0.160195,1.161,0.614158,0.654691,0.968073,1.98983,1.64428,0.34435,1.22518,1.23499,1.97642,7.63543,-0.146841,-0.110782,-0.237132,-0.693812,-1.37362,-3.09931,-0.192685
-8.96694,-0.895693,-8.52503,-1.95216,-9.76013,-0.335503,-0.0560787,0.0917368,-0.0799402,-0.172371,0.880895,0.391853,0.565925,0.961894,1.63026,1.75632,0.526608,1.27019,1.30836,1.97722,7.20815,-0.188997,-0.111893,-0.252339,-0.661735,-1.33389,-3.06913,-0.184128
-10.0662,-0.598352,-9.60273,-1.80449,-10.8391,-0.22272,-0.0313691,-0.0848663,-0.0766341,-0.156888,0.708929,0.129178,0.402997,0.628924,1.49761,1.46217,0.251124,1.2297,1.27716,1.94928,8.49508,-0.176117,-0.133571,-0.241165,-0.660739,-1.39292,-3.11528,-0.178214
-8.43736,-0.711005,-7.93193,-1.71092,-9.0172,-0.16764,-0.10306,0.0751692,-0.0400499,-0.105401,1.05111,0.399203,0.52988,0.57064,1.63359,1.68955,0.366825,1.23389,1.1991,1.7257,6.65211,-0.136098,-0.0896537,-0.235941,-0.612569,-1.39646,-3.09735,-0.187856
-10.0763,-0.826591,-9.61443,-1.93014,-10.9128,-0.184325,-0.00156062,0.0692349,0.0371632,0.0127478,0.874772,0.415882,0.637555,0.908133,1.66638,1.75574,0.403777,1.23461,1.46586,1.75443,8.42169,-0.164711,-0.112929,-0.225721,-0.666547,-1.31681,-3.05257,-0.132316
-10.5906,-0.934899,-9.9516,-1.93586,-11.199,-0.0452714,-0.0296192,0.117331,0.124096,-0.0252354,1.09921,0.51469,0.555843,0.879476,1.66283,1.89977,0.688966,1.30532,1.34616,2.13065,8.65876,-0.196698,-0.102585,-0.219237,-0.629617,-1.38422,-3.09349,-0.174124
-10.3138,-1.06274,-9.66047,-2.14947,-10.8243,-0.123294,-0.175006,0.0579117,-0.051493,-0.234686,1.19845,0.750246,0.711819,1.02827,1.90102,1.81666,0.616896,1.36612,1.40609,1.91939,8.20868,-0.166252,-0.0624375,-0.236955,-0.639753,-1.39693,-3.11069,-0.169747
-10.1457,-0.800671,-9.69845,-2.02264,-10.7716,-0.238342,-0.109298,0.00789673,0.0330948,-0.32005,0.945013,0.461904,0.449683,0.781664,1.75682,1.73886,0.437693,1.25298,1.338,1.96003,8.40129,-0.173174,-0.0560893,-0.235774,-0.640516,-1.43286,-3.17579,-0.192263
-11.1334,-0.861542,-10.441,-1.91145,-11.6321,-0.103127,-0.100815,0.253558,0.0108171,-0.146406,0.970008,0.354946,0.375426,0.680432,1.6012,1.79435,0.445409,1.18739,1.14309,1.99258,9.18639,-0.187844,-0.0849641,-0.261079,-0.665419,-1.38506,-3.05738,-0.195365
-8.92467,-0.92692,-8.39056,-1.86348,-9.97954,-0.178912,-0.00853849,0.0783439,0.0926581,0.0566594,0.777743,0.300653,0.456606,0.651478,1.78194,1.68205,0.558155,1.13982,1.35979,2.29792,7.17242,-0.20078,-0.129978,-0.211745,-0.692618,-1.35714,-3.09379,-0.181128
-9.7978,-0.877264,-9.30154,-2.03748,-10.6489,-0.142342,-0.0208024,0.114135,0.0681966,-0.05721,1.04368,0.456073,0.695186,0.794259,1.8321,1.63205,0.362959,1.27508,1.28577,2.0218,7.95683,-0.184602,-0.113795,-0.233701,-0.659451,-1.38473,-3.11957,-0.19147
-10.9067,-0.777463,-10.3399,-1.84785,-11.5562,-0.12203,-0.0342356,0.0291395,0.121676,-0.0617253,1.03236,0.370825,0.555799,0.606529,1.70979,1.75694,0.441001,1.32136,1.38269,2.08176,9.0795,-0.218172,-0.150023,-0.238425,-0.665387,-1.39913,-3.10353,-0.202476
-10.252,-0.840702,-9.64173,-1.90832,-11.0665,-0.411741,-0.219009,-0.0378352,-0.0988667,-0.186701,1.13935,0.518364,0.550008,0.874131,1.85831,1.8073,0.51325,1.24517,1.31762,2.12504,8.45358,-0.168612,-0.152442,-0.209584,-0.653734,-1.39108,-3.1003,-0.201293
-10.959,-0.736297,-10.4445,-1.83477,-11.5893,-0.486253,-0.314461,-0.097976,-0.177935,-0.321996,0.870532,0.328102,0.514808,0.565819,1.55144,1.79532,0.541474,1.28854,1.3779,1.94303,9.26342,-0.130871,-0.0462555,-0.231223,-0.630349,-1.43042,-3.13778,-0.165304
-9.44749,-0.966605,-8.72868,-1.85186,-10.0127,-0.283068,-0.21597,-0.0785199,-0.204971,-0.320141,1.18648,0.618672,0.601082,0.75164,1.81927,1.88152,0.539351,1.23703,1.20854,1.92964,7.43621,-0.133106,-0.0767804,-0.300322,-0.635324,-1.44757,-3.11854,-0.15389
-9.06068,-0.832975,-8.57396,-1.99008,-9.97027,-0.283376,-0.0580918,0.0896037,0.0270676,-0.0875266,0.796418,0.277523,0.40242,0.651298,1.66117,1.7393,0.443153,1.1595,1.32365,2.19181,7.30223,-0.179752,-0.0645416,-0.231939,-0.682072,-1.40838,-3.13985,-0.180498
-9.98995,-0.948466,-9.29275,-1.91125,-10.6885,-0.118538,-0.072604,0.053546,0.042367,-0.145939,0.925193,0.443589,0.54762,0.616848,1.81847,1.90917,0.502893,1.20732,1.18596,2.11645,7.98954,-0.154796,-0.136721,-0.23136,-0.662281,-1.41044,-3.14473,-0.182795
-10.6651,-1.04173,-9.90985,-2.16407,-11.2041,-0.0525341,-0.0332476,0.0574145,0.132351,-0.124771,1.1038,0.556867,0.509054,0.83128,1.84719,1.9517,0.652456,1.22698,1.48192,2.07991,8.62921,-0.162375,-0.091776,-0.224832,-0.661838,-1.35445,-3.06102,-0.155491
-11.8512,-0.909077,-11.2088,-2.06197,-12.4963,-0.253001,-0.240617,0.0404946,-0.0895688,-0.229285,1.22015,0.594599,0.670877,1.05455,1.85355,2.00451,0.657046,1.34927,1.54572,2.21504,9.87803,-0.214572,-0.175643,-0.189416,-0.649216,-1.34968,-3.05252,-0.18906
-11.0148,-0.757899,-10.4041,-1.82303,-11.5139,-0.290178,-0.154909,-0.0211009,-0.0566091,-0.348761,0.742909,0.22731,0.24031,0.462887,1.35955,1.75659,0.418969,1.102,1.25886,1.72249,9.3053,-0.179026,-0.0881582,-0.248626,-0.654487,-1.41182,-3.10183,-0.200352
-9.50084,-1.02798,-8.83388,-1.886,-10.253,-0.0216355,0.0249177,0.177617,0.171442,-0.00564188,0.883494,0.469755,0.497146,0.728644,1.69368,1.75489,0.610341,1.16202,1.30054,2.0817,7.59006,-0.17015,-0.176363,-0.312937,-0.702444,-1.32989,-3.07554,-0.173206
-10.6828,-0.702108,-10.0094,-1.81786,-11.3009,-0.353573,-0.218086,-0.131557,-0.128374,-0.349564,1.07657,0.52487,0.461085,0.972015,1.83072,1.75854,0.370971,1.05279,1.18857,1.73676,8.96068,-0.18448,-0.128959,-0.268654,-0.661978,-1.43272,-3.14862,-0.212231
-9.42508,-0.992711,-8.85756,-1.87517,-10.4231,-0.459615,-0.23996,-0.0281019,-0.145115,-0.239953,1.19254,0.560956,0.486244,0.799304,1.92906,1.94532,0.710052,1.36789,1.39454,2.42725,7.54193,-0.16277,-0.0965704,-0.2693,-0.651635,-1.4152,-3.12255,-0.167645
-10.1275,-0.836839,-9.49256,-1.77981,-10.8199,-0.0592708,0.0285547,0.150023,0.16346,0.111495,0.967354,0.421156,0.519314,0.494408,1.61782,1.83081,0.544301,1.28273,1.13488,2.05449,8.26174,-0.149866,-0.0759072,-0.2755,-0.656895,-1.36949,-3.14137,-0.139464
-9.75171,-1.02206,-9.2671,-2.08158,-10.4374,-0.190189,-0.0786004,0.0588625,0.103377,-0.074911,1.12879,0.634921,0.740336,0.891665,1.77464,1.86238,0.619178,1.36161,1.32006,1.91042,7.83046,-0.141047,-0.0692849,-0.265859,-0.680673,-1.38634,-3.14058,-0.174145
-9.33705,-0.76053,-8.79608,-1.70682,-9.932,-0.240185,0.00853528,-0.00640741,-0.0575166,-0.173364,0.958645,0.470927,0.51767,0.725048,1.64624,1.55493,0.358175,1.21312,1.24737,1.80391,7.63156,-0.218085,-0.158237,-0.291187,-0.723052,-1.3687,-3.06731,-0.175408
-11.0681,-0.713718,-10.2367,-1.80968,-11.6941,-0.0915666,-0.245306,-0.0426426,0.0420634,-0.177924,0.934576,0.281882,0.380066,0.510348,1.63454,1.8068,0.493438,1.04117,1.30305,1.98346,9.21905,-0.148136,-0.0796607,-0.265896,-0.617492,-1.36961,-3.09241,-0.188347
-8.5466,-0.860584,-8.00608,-1.96859,-9.26537,-0.283329,-0.131721,0.0350438,-0.123551,-0.143225,1.00536,0.626531,0.593613,0.857495,1.85667,1.9092,0.565303,1.25856,1.55478,1.91649,6.78324,-0.163439,-0.102471,-0.239124,-0.636754,-1.31572,-3.04383,-0.199897
-11.3594,-1.11915,-10.5489,-2.09087,-11.9149,-0.130553,-0.0711725,-0.00250945,0.0729927,-0.195896,1.05249,0.497807,0.597712,0.90128,1.68813,2.11643,0.819576,1.30842,1.41226,2.3934,9.20372,-0.17449,-0.118629,-0.263149,-0.638595,-1.39489,-3.05879,-0.180961
-12.2924,-0.827643,-11.642,-1.94125,-12.9088,-0.107089,-0.0650907,0.0282498,0.0789226,-0.023316,0.892994,0.419755,0.608287,0.706971,1.67961,1.90335,0.594939,1.33278,1.38522,2.06842,10.3886,-0.196709,-0.145129,-0.231921,-0.632977,-1.37828,-3.13586,-0.18057
-9.54355,-0.717302,-8.78095,-1.65435,-10.0768,-0.431293,-0.294201,-0.206788,-0.316599,-0.479646,0.899241,0.342233,0.492846,0.626764,1.74071,1.89143,0.504945,1.11492,1.24824,2.17237,7.73762,-0.181143,-0.161294,-0.263066,-0.665862,-1.4352,-3.16948,-0.164715
-10.3305,-1.00819,-9.69866,-2.03241,-11.2027,-0.218825,0.0340509,0.0327808,0.107353,0.000198984,1.25892,0.684776,0.634013,0.884251,2.13173,1.88709,0.575259,1.29558,1.32808,2.23603,8.37965,-0.163867,-0.161566,-0.270371,-0.677148,-1.43456,-3.19374,-0.170953
-9.70588,-0.754887,-9.22442,-1.97191,-10.4662,-0.392561,-0.144277,-0.0306005,-0.036164,-0.150013,0.919486,0.403781,0.39677,0.750786,1.70376,1.65574,0.377892,1.18606,1.35397,1.89157,8.04764,-0.135831,-0.0926511,-0.256315,-0.611172,-1.41189,-3.18436,-0.149537
-9.8176,-0.8614,-9.2045,-1.84936,-10.4496,-0.414048,-0.232059,0.0314551,-0.235842,-0.357029,1.13604,0.590944,0.53069,0.925605,1.94251,1.78193,0.392016,1.21299,1.44872,1.80611,7.95315,-0.193416,-0.134698,-0.266963,-0.703805,-1.43346,-3.19411,-0.185996
-11.2884,-0.633612,-10.6729,-1.84335,-11.8049,-0.113757,-0.108557,0.0785302,0.145627,-0.210172,1.14284,0.382153,0.445333,0.642753,1.84515,1.77982,0.315121,1.1583,1.21813,1.81488,9.47279,-0.150318,-0.0532347,-0.261003,-0.66899,-1.4669,-3.22109,-0.219487
-10.507,-0.993633,-9.74591,-2.0172,-10.9923,-0.0828776,0.051974,0.0833414,0.226072,0.05479,1.35332,0.663159,0.539452,0.938434,1.71665,1.80467,0.477495,1.17143,1.12561,1.72593,8.47668,-0.186506,-0.152782,-0.238052,-0.641821,-1.41045,-3.16327,-0.183409
-9.02927,-0.737047,-8.41511,-1.82598,-9.85288,-0.201997,-0.205849,-0.0499623,-0.00718822,-0.251033,0.836516,0.31553,0.449033,0.582372,1.91328,1.65231,0.411369,1.20601,1.23133,2.16229,7.26041,-0.193899,-0.0720383,-0.227298,-0.658456,-1.34611,-3.04686,-0.208711
-9.42818,-0.821913,-8.84897,-1.71456,-10.1948,-0.114185,0.134714,0.141428,-0.0209356,-0.0430084,0.832072,0.340836,0.361541,0.611237,1.71502,1.52171,0.224659,1.06561,1.07844,1.88981,7.68886,-0.185589,-0.127448,-0.250374,-0.640315,-1.39593,-3.11206,-0.186019
-10.7546,-1.05354,-10.1369,-1.98926,-11.4823,0.0489519,0.0535524,0.184999,0.208933,-0.0489597,1.00772,0.586215,0.583714,0.69524,1.76666,1.82024,0.558427,1.27425,1.1289,2.10728,8.77638,-0.146011,-0.100526,-0.241161,-0.63704,-1.41496,-3.14168,-0.178671
-10.8817,-0.891055,-10.3197,-1.87195,-11.4745,-0.433368,-0.312846,-0.0168761,-0.225874,-0.324059,1.08988,0.54395,0.577557,0.789231,1.75403,1.83715,0.559607,1.31822,1.31362,2.03521,9.02985,-0.151154,-0.0620212,-0.320934,-0.691258,-1.43225,-3.16255,-0.17726
-11.5509,-0.944058,-10.9753,-1.95376,-12.2431,-0.337493,-0.212257,-0.0701389,-0.144423,-0.315853,1.13812,0.735288,0.65758,0.887566,1.92648,1.72794,0.516028,1.29913,1.39034,1.93514,9.73563,-0.175851,-0.142306,-0.23091,-0.657828,-1.36957,-3.12569,-0.186174
-8.96348,-1.04558,-8.29966,-1.89175,-9.56055,-0.077293,-0.0635141,0.196998,-0.00651457,-0.192627,1.36535,0.769064,0.623564,0.8076,2.01503,2.00012,0.694926,1.31831,1.46682,2.27357,6.90426,-0.160907,-0.180708,-0.264939,-0.713008,-1.36584,-3.10449,-0.143473
-9.94025,-0.814586,-9.30437,-1.76274,-10.5241,-0.292908,-0.116198,0.023508,-0.0181867,-0.194335,0.944001,0.401814,0.502374,0.506957,1.56028,1.85117,0.432744,1.10296,1.08636,1.79446,8.16835,-0.191156,-0.170959,-0.221874,-0.659375,-1.40462,-3.10635,-0.222081
-8.53372,-0.92831,-7.78133,-1.99918,-9.23106,-0.182803,-0.0649836,-0.0390139,-0.0514138,-0.208153,1.26179,0.698763,0.537508,1.01452,2.10003,1.84294,0.641101,1.2793,1.52221,2.19685,6.56959,-0.17804,-0.123302,-0.280261,-0.699701,-1.42331,-3.1383,-0.171352
