b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_econ_dur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.12094,-1.06374,-1.47525,-2.24754,-2.99367,-0.00575436,0.208692,0.251512,0.201772,0.108511,0.977798,0.453497,0.49735,0.785002,1.81232,1.7604,0.361588,1.21343,1.31563,2.24296,-0.139344,0.762884,1.58667,-0.241618,-0.705608,-1.4754,-3.4447,-0.0381076
-2.25696,-1.10813,-1.306,-2.27043,-2.98556,-0.194109,-0.137812,0.00862283,-0.0412424,-0.226473,1.09836,0.457027,0.460686,0.858078,2.15277,1.89348,0.560165,1.16873,1.42052,2.24945,-0.139089,0.764608,1.60621,-0.237786,-0.772213,-1.48588,-3.45777,-0.0470351
-2.2454,-1.06569,-1.37306,-2.19827,-3.12848,-0.270434,-0.136075,0.0706219,-0.0703431,-0.257185,1.22023,0.541356,0.565119,0.841644,2.36574,1.89983,0.448387,1.16754,1.32388,2.33757,-0.148332,0.782232,1.65592,-0.227932,-0.754152,-1.41984,-3.40641,-0.049305
-2.24795,-1.08869,-1.47405,-2.19327,-3.12592,-0.316057,-0.0946802,0.0571156,-0.109155,-0.178263,0.943707,0.273622,0.621503,0.615174,2.01379,1.98666,0.42286,1.37078,1.3496,2.46745,-0.139926,0.748485,1.58854,-0.220214,-0.702218,-1.45793,-3.43386,-0.00572138
-2.1971,-1.18012,-1.45835,-2.3002,-3.31853,-0.20343,0.0363605,0.132026,0.0199374,0.0224462,0.928526,0.377067,0.462746,0.781849,2.03299,1.84804,0.485576,1.26354,1.48783,2.40644,-0.15418,0.885712,1.79089,-0.253876,-0.717846,-1.47843,-3.49556,-0.027488
-2.24474,-1.14684,-1.39847,-2.27717,-3.24882,-0.194948,-0.0918868,0.0247813,0.0823905,-0.117568,1.08893,0.593537,0.452223,0.705192,2.34747,1.74606,0.451456,1.13186,1.25389,2.44685,-0.140596,0.747851,1.6014,-0.216674,-0.689349,-1.39838,-3.41863,-0.0898635
-2.33358,-1.1422,-1.31525,-2.19501,-3.24155,-0.104699,-0.0554888,0.0239119,-0.115271,-0.101821,1.01104,0.431877,0.36123,0.767112,2.15401,1.89395,0.593418,1.10738,1.30438,2.55845,-0.139594,0.771332,1.6148,-0.280924,-0.752178,-1.4374,-3.44879,-0.0547221
-2.09004,-1.23672,-1.49162,-2.21789,-3.29518,-0.147755,0.0532676,0.139879,0.0335889,0.0500131,0.965951,0.614427,0.631445,0.744575,2.25802,1.79688,0.538051,1.25826,1.34327,2.4926,-0.148332,0.82593,1.73199,-0.214511,-0.713997,-1.41249,-3.34716,-0.0357986
-2.36489,-1.34832,-1.56887,-2.43517,-3.32987,0.0141458,0.101002,0.161822,0.0665212,0.104572,1.04182,0.553158,0.616831,0.800383,2.33354,1.88979,0.653449,1.36009,1.54508,2.54556,-0.148057,0.813542,1.68092,-0.211923,-0.741328,-1.46986,-3.42623,-0.0211452
-2.33412,-1.26684,-1.52855,-2.49292,-3.35744,-0.0981621,0.0928212,0.119962,0.128335,0.0705253,0.9959,0.5528,0.576568,0.840016,2.29362,1.8577,0.484978,1.28714,1.46884,2.4248,-0.147823,0.779932,1.75751,-0.24293,-0.680277,-1.44843,-3.3745,0.00681088
