b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_econ_dur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.38569,-1.38012,-1.45462,-2.28036,-3.44128,-0.205897,-0.0129902,-0.000192808,-0.110778,-0.11525,1.32046,0.826753,0.702246,0.973823,2.56283,1.90407,0.681167,1.33739,1.4459,2.69068,-0.148098,0.782221,1.69193,-0.291549,-0.821929,-1.43842,-3.4413,-0.051176
-2.30936,-1.27431,-1.47528,-2.48084,-3.21521,-0.115494,0.0309607,0.0639261,0.166364,-0.0300856,1.03705,0.511704,0.555833,0.929138,2.02445,1.78142,0.495895,1.24154,1.46055,2.27342,-0.147905,0.813408,1.72402,-0.233933,-0.719282,-1.45576,-3.40694,0.00503732
-2.31766,-1.14522,-1.35721,-2.15341,-3.29142,-0.150522,-0.0154343,-0.0246031,0.00240022,-0.124338,1.12323,0.359571,0.552891,0.718586,2.26022,2.02761,0.522698,1.34516,1.42339,2.56474,-0.146725,0.782527,1.63476,-0.21301,-0.738624,-1.48508,-3.4374,-0.0187816
-2.07111,-1.0492,-1.55223,-2.37103,-3.09369,-0.377822,-0.133587,0.0582366,0.0255126,-0.175709,1.0643,0.49247,0.639472,0.931396,2.23708,1.98696,0.539791,1.39843,1.54808,2.5255,-0.145738,0.834555,1.72286,-0.235194,-0.767769,-1.51639,-3.47517,-0.0334044
-2.02635,-0.971521,-1.16939,-2.11594,-3.0375,-0.307187,-0.0948727,-0.0389853,0.0550105,-0.112839,0.990114,0.385748,0.392253,0.578449,2.13934,1.73919,0.363013,1.11355,1.28723,2.32199,-0.149207,0.765731,1.68087,-0.224133,-0.734069,-1.41842,-3.3894,-0.0369932
-2.34645,-1.36186,-1.38774,-2.20641,-3.42143,0.159198,0.228621,0.169199,0.306124,0.253926,0.854472,0.446638,0.446235,0.711754,2.25752,1.8629,0.572561,1.23323,1.24523,2.56748,-0.150723,0.816001,1.73192,-0.253316,-0.798431,-1.47455,-3.45637,-0.0231114
-2.27213,-1.23914,-1.36104,-2.10459,-3.20208,-0.211125,0.0208855,0.0397001,-0.104947,0.015559,1.12092,0.535442,0.375482,0.628831,2.30968,1.97267,0.596298,1.19682,1.34045,2.29827,-0.143865,0.73291,1.60402,-0.259072,-0.718686,-1.4516,-3.35429,-0.0613914
-2.21672,-1.09245,-1.43017,-2.24271,-3.16011,-0.0762321,-0.0777821,0.0238652,-0.0477553,-0.113547,0.96305,0.326576,0.525524,0.748522,2.09882,1.88242,0.477534,1.30049,1.49146,2.52998,-0.149835,0.79465,1.69761,-0.206702,-0.70936,-1.48531,-3.41445,-0.065015
-2.31595,-1.14591,-1.54365,-2.27391,-3.56032,-0.320382,-0.167773,0.0871919,0.0158888,-0.162916,1.13301,0.46968,0.51685,0.714196,2.57403,2.01965,0.517824,1.34366,1.4086,2.88971,-0.142215,0.778273,1.60617,-0.221168,-0.698127,-1.45982,-3.42963,-0.0377182
-2.15023,-1.03727,-1.36582,-2.20717,-3.04447,-0.306185,-0.167325,-0.0635216,-0.00436754,-0.249561,0.844057,0.293484,0.538647,0.737831,2.03016,1.88391,0.460063,1.20817,1.32972,2.34699,-0.147729,0.79278,1.70029,-0.288334,-0.766042,-1.48433,-3.40198,-0.0233768
-2.36525,-1.29465,-1.53442,-2.29344,-3.35286,-0.0449892,0.0742904,0.105566,0.00501202,-0.0865625,1.07248,0.505077,0.55872,0.910685,2.2038,1.79793,0.428717,1.30637,1.37644,2.45711,-0.14397,0.80663,1.69405,-0.241912,-0.732009,-1.42975,-3.41449,-0.000369386
-2.27507,-1.12302,-1.42599,-2.18332,-3.15135,-0.161375,-0.0377427,0.0835419,0.160505,-0.130841,1.26846,0.599382,0.678901,0.815218,2.32757,1.76904,0.401634,1.16264,1.11496,2.44402,-0.148651,0.817872,1.72119,-0.209549,-0.688111,-1.45556,-3.36998,-0.0308149
-2.29317,-1.17518,-1.46072,-2.25213,-3.28589,-0.0937635,0.0440002,0.17654,0.26387,-0.105628,0.979677,0.383532,0.522261,0.673761,2.28002,1.86403,0.434944,1.2883,1.22911,2.5772,-0.141356,0.78207,1.64149,-0.282643,-0.766571,-1.44234,-3.34344,-0.0215381
-2.20023,-1.07966,-1.46058,-2.23924,-3.05021,-0.283383,-0.0797749,0.106589,0.091242,-0.264377,1.04104,0.423621,0.470292,0.76548,2.09388,2.01231,0.508827,1.22199,1.30745,2.47691,-0.153002,0.821673,1.75127,-0.211841,-0.723178,-1.51306,-3.48484,-0.0165581
-2.38704,-1.24702,-1.54684,-2.38109,-3.13011,0.00211143,0.151162,0.139989,0.148219,0.0631677,1.20036,0.524431,0.645159,1.00443,1.94522,1.94578,0.513255,1.28242,1.47111,2.19081,-0.148226,0.782233,1.62969,-0.227828,-0.746678,-1.45138,-3.42797,-0.027098
-2.37174,-1.25317,-1.39445,-2.23752,-3.27684,-0.248706,-0.11292,-0.109687,-0.0169819,-0.18335,1.14107,0.553462,0.482499,0.6191,2.25483,2.04536,0.647244,1.20773,1.24488,2.64748,-0.146325,0.827959,1.70856,-0.262157,-0.709898,-1.49735,-3.41352,-0.0471869
-2.30139,-1.26998,-1.51733,-2.12118,-3.3165,-0.135596,0.0255513,0.142362,0.079227,0.0817886,1.2992,0.751643,0.735319,0.868236,2.35557,1.94954,0.671779,1.36603,1.11224,2.57501,-0.139769,0.718977,1.56942,-0.236305,-0.721434,-1.44476,-3.37262,-0.0168853
-2.36142,-1.26114,-1.51037,-2.21352,-3.28017,-0.0954035,0.0363901,0.0784447,-0.00644096,-0.0174952,1.04251,0.577936,0.614727,0.656269,2.10673,1.84899,0.491049,1.29183,1.23014,2.36758,-0.147784,0.817376,1.71732,-0.250961,-0.717269,-1.44289,-3.36513,-0.023302
-2.30905,-1.20523,-1.50255,-2.2554,-3.32654,-0.166546,-0.103631,-0.0897572,-0.205194,0.0763866,0.990885,0.493907,0.562073,0.815897,2.1997,1.9768,0.682646,1.43594,1.53659,2.49202,-0.155472,0.857953,1.78106,-0.209163,-0.688119,-1.50942,-3.44895,-0.0415488
-1.8022,-0.928159,-1.25094,-2.13789,-2.82978,-0.346658,-0.0865716,-0.0719287,-0.022147,-0.201383,0.948275,0.487877,0.584721,0.865128,2.12691,1.50098,0.340198,1.09343,1.21658,2.15596,-0.144947,0.76336,1.6521,-0.25003,-0.740442,-1.38887,-3.33845,-0.0329564
-2.21317,-1.0192,-1.42059,-2.2702,-2.96304,-0.0505704,0.00530586,0.19119,0.111143,-0.12779,0.950262,0.300219,0.410512,0.729039,1.74449,1.81322,0.38564,1.1166,1.34203,2.2051,-0.142543,0.747783,1.62066,-0.19558,-0.69943,-1.46564,-3.3731,-0.0363081
-2.35322,-1.33333,-1.38317,-2.08213,-3.31253,-0.206061,0.00897011,0.0198993,-0.152014,-0.206724,1.0927,0.598168,0.415154,0.769256,2.46024,1.97335,0.660021,1.21172,1.40398,2.69446,-0.142394,0.770889,1.5993,-0.275579,-0.758171,-1.47907,-3.43377,-0.0407111
-2.09378,-1.05895,-1.46109,-2.23063,-3.19764,-0.299343,-0.193655,0.0627845,-0.0764824,-0.120652,1.19785,0.572654,0.577343,1.05795,2.21616,1.67866,0.420704,1.21406,1.28249,2.5131,-0.144098,0.800977,1.64063,-0.190813,-0.717474,-1.51341,-3.47846,-0.0369576
-2.15216,-1.14718,-1.46905,-2.37753,-3.10582,-0.178317,-0.0595831,-0.012686,0.0241453,-0.109653,1.02894,0.518995,0.51743,0.919987,2.24862,1.72033,0.464034,1.34279,1.46194,2.20635,-0.146366,0.785405,1.69307,-0.2031,-0.717163,-1.46737,-3.36444,-0.0126335
-2.03611,-0.955095,-1.40865,-2.19057,-2.98243,-0.200939,-0.054313,-0.00101587,0.0700095,-0.0799076,0.982649,0.436611,0.635387,0.73981,2.27929,1.67618,0.286667,1.33913,1.35833,2.17914,-0.154565,0.817529,1.75642,-0.235489,-0.733402,-1.48271,-3.45197,-0.0364855
-2.44214,-1.33384,-1.576,-2.51105,-3.42881,-0.0402673,0.14193,0.103395,0.221869,0.199564,1.05974,0.462342,0.615338,0.877331,2.30874,2.03439,0.676918,1.37452,1.52411,2.539,-0.155991,0.92634,1.80198,-0.231266,-0.766407,-1.5591,-3.54632,-0.0254798
-2.0981,-1.01191,-1.3481,-1.9766,-3.15067,-0.377033,-0.0992221,0.0422853,-0.00697656,-0.12898,1.17128,0.514256,0.50479,0.565697,2.09507,1.9116,0.426449,1.30514,1.29235,2.37923,-0.15499,0.841302,1.72725,-0.2595,-0.73143,-1.50347,-3.51897,-0.0397171
-2.0969,-1.17088,-1.50495,-2.21496,-3.2757,-0.307784,0.0264031,-0.012071,0.0311473,0.0698813,0.812423,0.353171,0.596741,0.670612,2.1204,1.83596,0.564712,1.37222,1.33613,2.46122,-0.147013,0.811061,1.72468,-0.191398,-0.682204,-1.42433,-3.3353,-0.0101902
-2.2885,-1.24456,-1.49934,-2.32935,-3.19928,-0.134303,0.0780033,0.0590549,0.256948,-0.0557114,1.0596,0.624678,0.605773,0.656035,2.23155,1.69177,0.389503,1.24909,1.17899,2.26891,-0.150159,0.801512,1.76476,-0.248147,-0.757203,-1.4626,-3.42795,-0.062266
-2.4038,-1.26384,-1.50025,-2.36732,-3.31251,-0.281,-0.168383,0.134137,-0.0288874,-0.251741,1.31307,0.729259,0.669193,0.9668,2.26224,1.98766,0.599025,1.22386,1.34545,2.63304,-0.145966,0.815896,1.70941,-0.245174,-0.752549,-1.47097,-3.4762,-0.0226821
-2.10712,-1.07187,-1.3754,-1.83619,-3.05946,-0.25697,-0.106952,0.0807498,-0.0785361,-0.122974,0.99105,0.449541,0.432546,0.537385,2.01449,1.87669,0.511375,1.1684,0.917383,2.42356,-0.139631,0.733624,1.57122,-0.257036,-0.757966,-1.46056,-3.41046,-0.0148925
-2.28836,-1.23819,-1.47198,-2.47954,-3.27792,-0.334881,-0.125288,-0.0104697,-0.075694,-0.192957,1.14048,0.590057,0.655125,1.14406,2.31335,1.86384,0.528817,1.30527,1.52899,2.5379,-0.165918,0.923001,1.93302,-0.267661,-0.690424,-1.50536,-3.50592,0.0165301
-1.98293,-0.961254,-1.19763,-2.07683,-3.0743,-0.299079,-0.216649,-0.112674,-0.0626531,-0.378875,0.869041,0.428186,0.407836,0.653872,2.27402,1.65645,0.415065,1.1362,1.15694,2.358,-0.154228,0.867527,1.77221,-0.206448,-0.713036,-1.41915,-3.44293,-0.0230074
-2.31693,-1.2738,-1.49369,-2.37786,-3.15218,-0.27479,-0.105857,0.0204301,-0.113234,-0.129179,0.897281,0.433808,0.463112,0.818465,1.97189,1.80034,0.536052,1.39349,1.53137,2.4409,-0.15077,0.832188,1.73502,-0.291397,-0.771452,-1.52028,-3.44756,-0.0307629
-2.37322,-1.30412,-1.51425,-2.41647,-3.35055,-0.0987836,0.0318185,0.0719414,0.198358,-0.0464281,1.01589,0.518102,0.580612,0.729072,2.46931,1.87772,0.570091,1.28045,1.37258,2.52716,-0.160764,0.866644,1.84142,-0.22909,-0.70161,-1.4561,-3.48186,-0.0504478
-2.2861,-1.19386,-1.53188,-2.35597,-3.17819,-0.290934,-0.147097,-0.054038,-0.144915,-0.187152,1.07999,0.539794,0.617289,0.889895,2.19059,1.96312,0.637765,1.44909,1.62104,2.44362,-0.149294,0.807796,1.7308,-0.210752,-0.677662,-1.48693,-3.45788,-0.0333674
-2.44208,-1.41802,-1.55812,-2.42882,-3.40037,-0.221901,0.00101093,0.0527286,0.198369,-0.0813942,1.39741,0.830358,0.738671,0.908967,2.49128,2.21228,0.952589,1.47741,1.57772,2.7938,-0.148543,0.796254,1.70128,-0.255129,-0.735738,-1.46731,-3.43572,0.00611346
-2.08276,-1.00246,-1.37569,-2.09355,-3.27525,-0.30835,-0.193124,-0.0710547,-0.0864193,-0.242811,0.900622,0.379619,0.54769,0.645763,2.1934,1.7204,0.43707,1.12671,1.22249,2.52841,-0.153115,0.878398,1.78025,-0.231348,-0.681105,-1.46994,-3.48377,-0.0452904
-2.06662,-1.10834,-1.45102,-2.29386,-3.31054,-0.232218,0.0678165,0.0330068,0.110856,0.137396,0.829627,0.318668,0.547914,0.878928,2.07728,1.61217,0.283219,1.22462,1.27795,2.21976,-0.147001,0.807281,1.67198,-0.227553,-0.733825,-1.43924,-3.3841,-0.0137336
-2.29863,-1.18381,-1.28336,-2.36647,-3.39855,-0.234348,-0.141281,-0.0364696,-0.0254066,-0.139143,1.06671,0.519869,0.392212,1.02292,2.31112,2.01262,0.647108,1.27938,1.62544,2.76069,-0.147212,0.745994,1.63379,-0.255567,-0.812469,-1.46654,-3.42873,-0.0978368
-2.38667,-1.19471,-1.41678,-2.20733,-3.29504,-0.160535,-0.08305,0.0481768,-0.0346878,-0.0863503,1.26575,0.646937,0.5669,0.832529,2.37167,2.01206,0.486006,1.17153,1.34862,2.39709,-0.14024,0.77135,1.62156,-0.233174,-0.702863,-1.50221,-3.48431,-0.0164549
-2.11692,-1.26244,-1.46771,-2.1483,-3.40183,-0.237468,0.0237528,0.00384068,-0.196114,-0.0316883,1.10719,0.562107,0.529912,0.749758,2.28531,1.86032,0.636869,1.41058,1.47021,2.61287,-0.153505,0.852949,1.7551,-0.190594,-0.727108,-1.43211,-3.43823,-0.0451578
-2.38021,-1.35041,-1.59375,-2.24814,-3.42156,-0.203237,-0.0668516,0.0447949,-0.0832065,-0.22583,1.31595,0.768451,0.760494,1.17959,2.67611,1.99927,0.758823,1.46045,1.37793,2.80767,-0.147877,0.768611,1.66738,-0.210013,-0.729137,-1.42905,-3.36781,-0.0576955
-2.41311,-1.31605,-1.53764,-2.42144,-3.52117,-0.355618,-0.32502,-0.0502539,-0.0670992,-0.368135,1.15841,0.721829,0.573392,0.844335,2.49026,2.15041,0.869001,1.43899,1.65198,2.9323,-0.143671,0.761008,1.65236,-0.273884,-0.772862,-1.4718,-3.41455,-0.0068377
-2.18816,-1.04467,-1.41212,-2.40857,-3.13154,-0.262321,-0.218437,0.00210012,0.0124845,-0.236389,1.10975,0.446242,0.54812,0.945499,2.19558,1.91965,0.448698,1.1729,1.52804,2.39205,-0.144803,0.790426,1.73698,-0.215506,-0.70418,-1.42314,-3.3745,0.000215139
-2.26554,-1.34057,-1.49968,-2.39406,-3.39255,-0.0919622,0.00699885,-0.079388,0.171954,-0.0389159,1.16485,0.736009,0.760306,0.692859,2.40393,1.93913,0.819346,1.41927,1.59127,2.73801,-0.144642,0.774466,1.64014,-0.224915,-0.687628,-1.40863,-3.38471,-0.0542535
-2.02713,-1.07602,-1.38261,-2.23449,-3.18255,-0.123931,0.0922781,0.203629,0.20885,-0.0165153,0.81683,0.409816,0.466766,0.707575,2.16852,1.48497,0.219077,1.06949,1.273,2.24247,-0.139695,0.754862,1.61608,-0.21077,-0.700903,-1.45033,-3.39858,-0.0223081
-2.13291,-1.12324,-1.51763,-2.33739,-3.09136,-0.21795,-0.0302595,0.0348072,-0.013171,-0.0858371,1.11591,0.566682,0.673247,0.862692,2.12692,1.75412,0.421136,1.34583,1.43878,2.287,-0.140799,0.765004,1.61234,-0.216027,-0.724366,-1.4787,-3.44068,-0.0243709
-2.38298,-1.24714,-1.49576,-2.35673,-3.26146,-0.195467,0.0053709,0.188859,-0.134618,-0.0779377,1.46473,0.734773,0.732084,1.11474,2.37399,1.99244,0.485891,1.20014,1.56125,2.49385,-0.150224,0.779956,1.68115,-0.218352,-0.781259,-1.49282,-3.41689,-0.0615605
-2.23864,-1.08322,-1.38601,-2.40831,-3.1562,-0.171111,-0.131548,0.0941586,0.166687,-0.0579513,0.984652,0.509545,0.56278,0.864642,2.09827,1.92552,0.542812,1.28629,1.54525,2.51441,-0.150756,0.798164,1.67897,-0.193704,-0.754933,-1.44088,-3.44968,-0.0545457
-2.31854,-1.17303,-1.41461,-2.49742,-3.21298,-0.0531106,0.0974977,0.0316595,0.177458,0.0546394,1.148,0.404722,0.468664,0.881616,2.08376,1.94476,0.485465,1.23829,1.55375,2.37728,-0.145429,0.79926,1.6808,-0.25548,-0.720489,-1.45621,-3.42926,-0.0381576
-2.39416,-1.28341,-1.49049,-2.35392,-3.32392,-0.214854,-0.105126,0.0236227,0.00145973,-0.069359,1.02085,0.48677,0.500095,0.680602,2.15326,1.98036,0.599202,1.30706,1.37905,2.39601,-0.147987,0.850589,1.69794,-0.227069,-0.733908,-1.50547,-3.41381,-0.0420739
-2.3876,-1.2012,-1.3999,-2.40508,-3.46708,-0.197342,-0.0818463,0.029988,0.00116241,0.00131114,1.24931,0.557945,0.52053,0.926661,2.40465,1.97274,0.538605,1.28078,1.45405,2.58916,-0.159307,0.881058,1.85817,-0.248708,-0.71185,-1.47174,-3.47168,-0.0368861
-2.27285,-1.14553,-1.28218,-2.15616,-3.22008,-0.25275,-0.201267,-0.111409,-0.227606,-0.287569,1.20311,0.58479,0.523935,0.931202,2.39138,1.89932,0.605888,1.27149,1.43143,2.64984,-0.157535,0.824214,1.79075,-0.223455,-0.817179,-1.44643,-3.41335,-0.0438466
-2.23908,-1.18189,-1.48864,-2.26485,-3.17944,-0.241368,-0.0923698,0.0754605,0.0787787,-0.174541,1.01835,0.436632,0.601882,0.806657,2.24948,1.89414,0.632103,1.41314,1.393,2.46805,-0.151539,0.801374,1.71409,-0.229585,-0.743372,-1.45842,-3.40554,-0.0457853
-2.25466,-1.26398,-1.44319,-2.37634,-3.4287,-0.178191,-0.0059683,0.0860524,0.0753921,-0.0840349,1.04006,0.445062,0.535185,0.791876,2.38647,1.82655,0.508101,1.12178,1.42299,2.5652,-0.150418,0.839488,1.73784,-0.26315,-0.760819,-1.47267,-3.41549,-0.031255
-2.44807,-1.34833,-1.54241,-2.41567,-3.52314,-0.00799979,0.0714356,0.115805,0.114338,0.121055,0.993119,0.487283,0.594792,0.836756,2.31208,2.20992,0.867026,1.41678,1.70105,2.88224,-0.144686,0.807532,1.65109,-0.272879,-0.75221,-1.49872,-3.47569,-0.0571691
-2.48061,-1.47445,-1.61666,-2.45081,-3.47127,-0.159851,-0.00447107,0.133163,0.0186412,-0.0261361,1.22929,0.76416,0.570969,0.877486,2.4413,2.00762,0.730648,1.47064,1.54128,2.62882,-0.159669,0.888518,1.8401,-0.278383,-0.756251,-1.47711,-3.4717,0.00547982
-2.26676,-1.27289,-1.4369,-2.24759,-3.24038,-0.202368,-0.0264399,0.047801,0.0180878,-0.0467739,1.0297,0.423082,0.490366,0.652475,2.12389,1.90726,0.60803,1.22508,1.38722,2.58954,-0.159979,0.842112,1.79714,-0.251375,-0.776831,-1.48461,-3.44998,0.00409362
-2.15591,-1.08164,-1.27416,-2.2172,-3.25781,-0.113152,-0.0817162,0.0667532,0.156745,-0.257394,1.09107,0.573383,0.405184,0.69608,2.45397,1.71929,0.39557,1.08775,1.14699,2.50781,-0.148379,0.864875,1.70498,-0.194139,-0.703701,-1.49272,-3.44891,-0.0264139
-2.20546,-1.24731,-1.30677,-2.08972,-3.30324,-0.13708,-0.0455653,0.0467285,-0.0848069,-0.0576791,0.871267,0.446657,0.378769,0.841447,2.1098,1.69102,0.623257,1.19258,1.40981,2.5362,-0.142659,0.779604,1.56936,-0.287535,-0.761978,-1.45213,-3.40032,-0.069256
-2.04892,-1.00344,-1.34055,-2.23078,-2.96339,-0.300267,-0.142802,0.0186103,-0.112493,-0.405591,0.942539,0.347083,0.419775,0.942537,2.07191,1.83461,0.424039,1.17321,1.38877,2.42331,-0.152845,0.895417,1.75241,-0.246235,-0.722008,-1.45333,-3.46176,-0.0257052
-2.16318,-1.1236,-1.39039,-2.13335,-3.13768,-0.0111611,0.065635,0.026944,-0.0675303,-0.15905,0.807555,0.394548,0.593338,0.568573,2.09304,1.4919,0.26904,1.18642,1.21602,2.3071,-0.14602,0.773038,1.65865,-0.253324,-0.756274,-1.40985,-3.36538,-0.0179049
-2.21338,-1.0719,-1.38534,-2.15609,-2.9919,-0.182162,-0.0716297,0.0676581,0.0502491,-0.154218,1.08729,0.467951,0.450396,0.620648,2.07824,1.76177,0.418738,1.2036,1.27024,2.19374,-0.144084,0.749333,1.67114,-0.234431,-0.73346,-1.43153,-3.35514,-0.0528417
-2.36738,-1.25274,-1.4546,-2.38055,-3.30982,-0.207579,-0.191497,0.0756255,-0.00737925,-0.24518,1.32089,0.749,0.564874,0.918365,2.46572,1.98836,0.62723,1.31361,1.61415,2.73784,-0.13968,0.692295,1.53362,-0.252458,-0.754809,-1.41736,-3.39088,-0.0474828
-2.33406,-1.0988,-1.42772,-2.15715,-3.20718,-0.147824,-0.118869,-0.0370786,-0.130738,-0.0742484,1.11687,0.565515,0.631225,0.885683,2.23703,2.20715,0.685712,1.42653,1.56118,2.56676,-0.149024,0.766054,1.6293,-0.210826,-0.78351,-1.41336,-3.45347,-0.0697328
-2.26833,-1.15042,-1.39491,-2.27003,-3.3351,-0.362811,-0.280843,-0.0365072,0.0508046,-0.274464,1.16833,0.563887,0.540229,0.891488,2.34957,2.08759,0.635225,1.24989,1.4397,2.7676,-0.154015,0.825659,1.70764,-0.24862,-0.774339,-1.48195,-3.44339,-0.0421517
-2.13714,-1.15853,-1.45881,-2.2864,-3.38427,-0.180894,-0.0681205,0.175276,-0.04479,-0.0663319,0.883377,0.404398,0.462215,0.673257,2.14177,1.59896,0.46109,1.1649,1.28301,2.44116,-0.149361,0.844975,1.72336,-0.213097,-0.718903,-1.4228,-3.35631,-0.00720404
-2.31851,-1.28122,-1.56035,-2.46774,-3.46968,-0.189383,0.0138175,0.107685,0.0587818,0.0424283,1.15588,0.635627,0.591839,0.905421,2.5201,1.91742,0.544273,1.25699,1.50251,2.62137,-0.16228,0.945294,1.94299,-0.232377,-0.744877,-1.54,-3.44885,-0.0218787
-1.89878,-0.982046,-1.39361,-2.09994,-3.26587,-0.378639,-0.107364,0.00938567,-0.166207,0.0137589,0.8798,0.488483,0.504375,0.697811,2.31721,1.54319,0.226733,1.21212,1.17197,2.4921,-0.157207,0.874406,1.80005,-0.240185,-0.731603,-1.45775,-3.49427,-0.0274507
-2.26759,-1.22338,-1.44805,-2.15361,-3.44405,-0.0716839,-0.010708,0.0151602,0.0624242,-0.0580232,1.16481,0.630448,0.614359,0.576222,2.42785,1.75529,0.545956,1.29531,1.16145,2.74407,-0.143488,0.804388,1.70353,-0.230078,-0.723273,-1.50437,-3.4492,-0.00993955
-2.18459,-1.06552,-1.37204,-2.01249,-2.92832,-0.281796,-0.13287,-0.0247983,-0.136831,-0.182206,1.15455,0.515658,0.598052,0.968277,2.21583,1.99744,0.621686,1.34437,1.35716,2.32657,-0.141712,0.735064,1.58837,-0.226317,-0.700131,-1.46447,-3.37295,-0.0756782
-2.07008,-1.0916,-1.50745,-2.19503,-3.23172,-0.172377,-0.0137101,0.155222,0.104155,-0.00518112,0.789961,0.349462,0.610002,0.820371,2.01461,1.66786,0.457549,1.36911,1.36401,2.38905,-0.146278,0.774795,1.62971,-0.250279,-0.818442,-1.48067,-3.41839,-0.0154408
-2.23853,-1.18654,-1.38652,-2.07969,-3.19305,-0.33062,-0.182947,0.0275248,-0.0589934,-0.169023,1.11627,0.529054,0.545111,0.797767,2.10556,1.92003,0.622404,1.30697,1.21091,2.45281,-0.151872,0.825076,1.70492,-0.235573,-0.744319,-1.46842,-3.41033,-0.00209162
