scenario,phm,econ,infection,mortality,education,vaccine,mean_u,ci_lo,ci_hi
1. Timely lockdown,Basic,0,90,150,10,Available,-5.40224104379,-5.405814666737499,-5.3988824812625005
1. Timely lockdown,Basic,0,90,150,10,Not available,-6.589529228172905,-6.596167787982125,-6.583583083962437
1. Timely lockdown,Lockdown,40,25,50,5,Available,-2.461095809229403,-2.4671756212480123,-2.4554265477107897
1. Timely lockdown,Lockdown,40,25,50,5,Not available,-2.3004554078551136,-2.3066239733737426,-2.294449690276813
2. Lockdown failed,Basic,0,90,150,10,Available,-5.402271346765,-5.405698843312499,-5.398069438387501
2. Lockdown failed,Basic,0,90,150,10,Not available,-6.589414436405018,-6.5957087146457,-6.582401695276925
2. Lockdown failed,Lockdown,40,90,150,10,Available,-6.985642756423608,-6.991790794082242,-6.978729430793288
2. Lockdown failed,Lockdown,40,90,150,10,Not available,-6.824649066506041,-6.8318684299826575,-6.817919621674755
3. Overkill lockdown,Basic,0,25,50,5,Available,-0.8778733890125,-0.879353629425,-0.8763682485375
3. Overkill lockdown,Basic,0,25,50,5,Not available,-2.06547707369871,-2.071174391483125,-2.0600448027989375
3. Overkill lockdown,Lockdown,40,25,50,5,Available,-2.4614572442162417,-2.4670222891438898,-2.4557420374827825
3. Overkill lockdown,Lockdown,40,25,50,5,Not available,-2.300454022614715,-2.3057489748717828,-2.294041643534535
