b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.54053,-1.37284,-1.6784,-2.73961,-3.25691,-0.390882,-0.248635,0.0258348,-0.131301,-0.404504,1.28429,0.679426,0.604865,1.01112,2.45364,2.04893,0.493864,1.31983,1.50567,2.45687,-0.180566,-0.124552,-0.052169,-0.344372,-0.792978,-1.58771,-3.58029,-0.149983
-2.06592,-1.07305,-1.44003,-2.41483,-2.95774,-0.0494734,0.117513,0.141884,0.131173,0.0216305,0.684751,0.19521,0.313768,0.571094,1.94501,1.53503,0.0528999,1.03679,0.961523,2.02186,-0.17221,-0.1417,-0.0579076,-0.313317,-0.782454,-1.50965,-3.41742,-0.179985
-2.40425,-1.36882,-1.59021,-2.64243,-3.33297,-0.147553,-0.0921168,-0.0937887,-0.141982,-0.0436472,0.988779,0.370287,0.446804,0.667001,2.11015,1.84223,0.447359,1.27978,1.43199,2.37503,-0.181498,-0.120002,0.00128561,-0.302549,-0.759673,-1.56942,-3.47573,-0.139277
-2.46125,-1.39376,-1.71084,-2.72644,-3.44441,-0.209231,-0.086243,-0.0384878,0.0805058,-0.0590767,1.23026,0.56276,0.760997,0.85724,2.34343,1.80072,0.304526,1.30526,1.29135,2.34353,-0.180924,-0.124389,0.0334668,-0.355612,-0.844296,-1.60571,-3.52319,-0.151589
-2.35959,-1.37048,-1.6645,-2.70165,-3.26254,-0.0886899,0.13992,0.0813398,0.0391855,0.062831,0.908782,0.414019,0.538218,0.818223,2.13362,1.80804,0.287093,1.26849,1.44793,2.27119,-0.173397,-0.138312,0.00468291,-0.338267,-0.765204,-1.57054,-3.48534,-0.133489
-2.68528,-1.42988,-1.75287,-2.79782,-3.20057,-0.269801,-0.125337,0.0553685,0.0903304,-0.175542,1.30494,0.525522,0.541819,0.95458,2.13205,2.20564,0.560339,1.3382,1.55208,2.47718,-0.172459,-0.12264,-0.0126947,-0.34965,-0.75445,-1.58027,-3.44344,-0.170368
-2.52772,-1.36177,-1.7789,-2.77934,-3.3706,-0.225473,-0.162634,-0.00438185,-0.0607819,-0.215637,1.37098,0.630239,0.788831,1.1612,2.43494,1.9424,0.484271,1.44345,1.6473,2.53524,-0.172111,-0.106531,-0.0159779,-0.344169,-0.843599,-1.54149,-3.43944,-0.169283
-2.29011,-1.3257,-1.69725,-2.68227,-3.14371,-0.214838,-0.0140302,0.150959,0.139896,-0.111791,0.971246,0.455887,0.54176,0.851093,2.26263,1.7804,0.38067,1.31119,1.34608,2.29979,-0.177757,-0.162525,-0.0359449,-0.337914,-0.779293,-1.58183,-3.49063,-0.175721
-2.53055,-1.34076,-1.6809,-2.9029,-3.39097,-0.251164,-0.160698,0.0236251,0.0159,-0.17614,1.22657,0.462266,0.505975,0.73699,2.2822,2.04126,0.465515,1.34648,1.60247,2.49848,-0.176974,-0.0703621,0.076119,-0.341199,-0.800071,-1.59581,-3.51075,-0.121141
-2.37447,-1.30422,-1.70872,-2.65829,-3.40966,-0.196988,-0.102701,0.0329985,-0.0157612,-0.0381651,0.85868,0.331376,0.546252,0.70365,2.16849,1.91404,0.417678,1.40447,1.4471,2.51607,-0.173592,-0.0693496,0.0624266,-0.338844,-0.812577,-1.61028,-3.50785,-0.11055
-2.59156,-1.44892,-1.76793,-2.63644,-3.37464,-0.259274,-0.0196958,0.205585,0.00897702,-0.14399,0.946318,0.267833,0.347278,0.424219,2.12736,2.09931,0.478391,1.24785,1.23071,2.61512,-0.184417,-0.0879226,0.0744044,-0.361877,-0.78866,-1.65454,-3.5149,-0.156945
-2.31543,-1.36552,-1.65059,-2.68443,-3.37423,-0.290302,-0.183461,-0.01245,0.0146906,-0.225515,1.00531,0.456811,0.52151,0.923108,2.30049,2.02191,0.565948,1.37294,1.50159,2.70791,-0.175685,-0.113241,-0.0437187,-0.4028,-0.800963,-1.55033,-3.48895,-0.140712
-2.59755,-1.40829,-1.67728,-2.73198,-3.22524,-0.0688124,0.0459801,0.140379,-0.0467871,0.0328145,1.17518,0.458663,0.477498,0.926684,1.94277,2.04479,0.474093,1.33329,1.65761,2.35262,-0.178015,-0.125567,-0.0524938,-0.32007,-0.796483,-1.60067,-3.52302,-0.157794
-2.29558,-1.06188,-1.67043,-2.55264,-2.81725,-0.308525,-0.318136,0.0594538,-0.0780618,-0.466989,0.72662,0.00617379,0.353039,0.488481,1.65523,1.88883,0.224426,1.33631,1.3169,1.9965,-0.176711,-0.0887467,0.0809989,-0.358514,-0.739701,-1.60843,-3.46715,-0.121584
-2.27874,-1.11681,-1.38222,-2.48787,-2.95759,-0.487422,-0.345603,-0.241661,-0.27981,-0.325781,0.97182,0.22789,0.452361,0.810722,1.8806,1.87472,0.334266,1.18649,1.3497,2.25482,-0.176036,-0.161778,0.0278689,-0.374485,-0.737249,-1.53656,-3.40821,-0.166074
-2.47452,-1.39021,-1.70122,-2.74143,-3.29932,-0.324627,-0.155784,-0.00463959,-0.0249184,-0.103933,1.30232,0.617598,0.6617,0.946202,2.17664,2.17997,0.526763,1.32046,1.45701,2.50793,-0.177856,-0.0827237,0.0253475,-0.354644,-0.782172,-1.52759,-3.41629,-0.117195
-2.2637,-1.13985,-1.47682,-2.5019,-3.10462,-0.201733,-0.123565,0.0450966,0.00635171,-0.112477,0.876919,0.240477,0.302806,0.428177,2.05866,1.89997,0.345112,1.1723,1.41907,2.28094,-0.17437,-0.0839659,-0.0238013,-0.304249,-0.786964,-1.51472,-3.47165,-0.143512
-2.50674,-1.40477,-1.70351,-2.66,-3.21713,-0.26179,-0.138479,-0.071854,-0.149199,-0.0938801,1.29353,0.632971,0.690383,0.914298,2.23916,2.13248,0.6245,1.36593,1.55333,2.33056,-0.182367,-0.0846593,0.00585816,-0.350498,-0.732968,-1.56752,-3.45963,-0.142903
-2.41846,-1.20667,-1.63146,-2.48842,-2.9834,-0.31471,-0.198481,-0.0356579,-0.0199406,-0.222701,1.17944,0.495167,0.622026,0.707174,1.88718,1.75671,0.295144,1.30246,1.23918,2.13442,-0.177981,-0.125375,0.021576,-0.384778,-0.822104,-1.59096,-3.47077,-0.159777
-2.76578,-1.63734,-1.78276,-2.91867,-3.29238,0.108117,0.147061,0.133881,0.276286,-0.020274,1.26829,0.745645,0.657215,0.820816,2.19387,2.10861,0.549185,1.28318,1.44489,2.31626,-0.184078,-0.111977,0.0546105,-0.367607,-0.763858,-1.56925,-3.4664,-0.109644
-2.67166,-1.6246,-1.84699,-2.95187,-3.51564,-0.119588,0.0740549,0.0697591,0.0817666,0.0222415,1.2711,0.608498,0.733533,0.999096,2.32034,2.22275,0.661509,1.45507,1.50344,2.48479,-0.185385,-0.0484589,0.0191092,-0.368794,-0.808732,-1.59253,-3.56753,-0.151562
-2.42706,-1.39222,-1.5895,-2.817,-3.33466,-0.179456,-0.0119697,0.0070396,0.147751,-0.0570928,1.00701,0.47933,0.541269,0.987559,2.23215,1.88112,0.4215,1.25143,1.38051,2.36774,-0.177733,-0.117948,0.000144937,-0.340206,-0.763574,-1.53116,-3.41021,-0.103607
-2.49777,-1.43096,-1.68117,-2.49897,-3.1614,-0.258901,-0.146608,0.00374269,0.013189,-0.380197,1.19898,0.604704,0.531417,0.595588,2.18047,1.96737,0.425043,1.25542,1.16467,2.27985,-0.181424,-0.0816525,0.0262864,-0.365566,-0.793289,-1.58045,-3.48771,-0.142391
-2.471,-1.40912,-1.66806,-2.64235,-3.22184,0.0650668,0.180316,0.0827253,0.0840785,0.0476462,0.933557,0.385432,0.501039,0.664353,2.12421,1.9356,0.408956,1.32894,1.44584,2.35681,-0.178364,-0.117968,-0.000197874,-0.360415,-0.814569,-1.57471,-3.52274,-0.149815
-2.3214,-1.3823,-1.61315,-2.76844,-3.15076,-0.378878,-0.140116,0.019491,-0.119771,-0.236293,1.15466,0.602087,0.625633,1.10107,2.16326,2.12657,0.786938,1.46437,1.77108,2.64485,-0.173165,-0.103208,-0.0046839,-0.317119,-0.766744,-1.53041,-3.37889,-0.134093
-2.70101,-1.63089,-1.75096,-2.77196,-3.39164,0.0261964,0.188815,0.148062,0.251257,0.273753,1.51548,0.845288,0.688358,0.948744,2.42926,2.27047,0.663617,1.33785,1.45342,2.43571,-0.174433,-0.140904,0.0588401,-0.307707,-0.761755,-1.59071,-3.43919,-0.12899
-2.10445,-1.15878,-1.50121,-2.67114,-3.00888,-0.197827,-0.129603,0.0386836,0.132839,-0.115065,0.783454,0.264194,0.388957,0.913869,1.93231,1.79968,0.409641,1.17727,1.49994,2.19574,-0.174584,-0.101133,-0.0122817,-0.300408,-0.71863,-1.53072,-3.37736,-0.164829
-2.42025,-1.26103,-1.76678,-2.47757,-3.15364,-0.30454,-0.245409,-0.0233454,-0.312452,-0.183839,0.972327,0.312032,0.721686,0.724837,1.93628,1.91175,0.430468,1.48993,1.44559,2.26037,-0.181668,-0.0573205,0.0208714,-0.347427,-0.810122,-1.61468,-3.53133,-0.122242
-2.53933,-1.42945,-1.67598,-2.72307,-3.24483,0.0669695,0.14039,0.0972158,0.127314,0.0300723,1.15169,0.573567,0.589848,0.854293,2.21657,1.9474,0.519101,1.44667,1.54776,2.53545,-0.171552,-0.142179,-0.0375161,-0.30996,-0.825068,-1.54582,-3.42664,-0.18144
-2.6565,-1.60395,-1.83563,-2.61484,-3.3767,-0.116446,-0.0508993,0.0424702,0.0229799,-0.198409,1.36586,0.728873,0.78293,0.64237,2.3371,2.20156,0.740455,1.45175,1.43607,2.50913,-0.165118,-0.055358,0.0155528,-0.336637,-0.750118,-1.62382,-3.47975,-0.112756
-2.54877,-1.60331,-1.85504,-2.84049,-3.66212,-0.290186,-0.0240928,0.110439,0.129091,-0.0683742,0.973996,0.559342,0.667367,0.91327,2.49334,2.22001,0.711728,1.51749,1.61838,2.89913,-0.179712,-0.0804155,-0.0111992,-0.350868,-0.861103,-1.61945,-3.51347,-0.204576
-2.47544,-1.33734,-1.70244,-2.77998,-3.2903,-0.46113,-0.333196,-0.0835964,-0.134983,-0.40714,1.19103,0.663558,0.605358,0.875231,2.45889,2.0847,0.576911,1.41823,1.59002,2.51292,-0.180449,-0.0820343,0.0622919,-0.336527,-0.810726,-1.62203,-3.57124,-0.159768
-2.47372,-1.3999,-1.65978,-2.74435,-3.44679,-0.0142596,0.0967768,0.127922,0.0917649,0.186998,0.992688,0.433613,0.401574,0.822182,2.34502,1.95418,0.460854,1.33799,1.55799,2.49417,-0.184681,-0.0806234,-0.0349049,-0.353307,-0.842762,-1.59977,-3.55899,-0.168042
-2.30036,-1.31505,-1.64238,-2.48962,-3.34277,-0.295007,-0.288343,-0.0756221,-0.214166,-0.158748,0.968447,0.526176,0.706216,0.680893,2.22382,1.957,0.72155,1.42743,1.30737,2.64104,-0.17401,-0.117297,-0.0386731,-0.348292,-0.763794,-1.53421,-3.4329,-0.14294
-2.38771,-1.45881,-1.6303,-2.61259,-3.40295,-0.104397,0.0321841,0.051914,0.127193,-0.0911138,0.93182,0.388155,0.4602,0.656012,2.20185,1.94746,0.655593,1.30327,1.45401,2.55393,-0.174393,-0.10659,-0.0103106,-0.318937,-0.774195,-1.5718,-3.43732,-0.123964
-2.60532,-1.51669,-1.69323,-2.78784,-3.50819,-0.0217478,0.221804,0.202955,0.264231,0.127602,1.02133,0.369573,0.404905,0.711423,2.12078,2.06406,0.458584,1.26115,1.31534,2.60033,-0.183299,-0.132276,0.0246223,-0.330228,-0.805166,-1.61286,-3.51185,-0.162131
-2.35408,-1.3842,-1.66284,-2.61422,-3.30521,-0.322627,-0.0291436,0.00157108,0.0237455,-0.0652095,1.20763,0.645792,0.640789,0.834663,2.38347,2.07102,0.616006,1.43852,1.47704,2.39775,-0.172694,-0.126016,-0.00712571,-0.313726,-0.703613,-1.56215,-3.43745,-0.178241
-2.76046,-1.54634,-1.72043,-2.77387,-3.65019,-0.132659,0.0278289,0.0618951,-0.17488,-0.0318839,1.33249,0.591589,0.653664,1.00105,2.51909,2.27938,0.692899,1.39473,1.61961,2.78658,-0.173796,-0.117884,0.00915697,-0.307324,-0.736948,-1.5887,-3.5539,-0.174278
-2.46777,-1.30184,-1.75725,-2.73213,-3.03511,-0.184044,-0.0884019,0.120551,0.0327287,-0.100178,1.13337,0.411487,0.493271,0.70189,2.00738,1.9949,0.514818,1.46803,1.52822,2.21227,-0.180391,-0.115054,-0.0121446,-0.324531,-0.796133,-1.59344,-3.48736,-0.121084
-2.44668,-1.33055,-1.65544,-2.83939,-2.96327,-0.148583,-0.0527716,0.0135562,-0.00623891,-0.217362,1.02432,0.371015,0.585799,1.01794,1.69686,1.98754,0.508768,1.28744,1.60044,2.13598,-0.17002,-0.107207,-0.0227986,-0.428417,-0.782896,-1.55956,-3.52466,-0.134072
-2.56214,-1.387,-1.55671,-2.65072,-3.47662,-0.197438,-0.088632,-0.0532448,-0.044995,0.0770475,1.03405,0.405462,0.451582,0.734853,2.18599,2.1236,0.505088,1.32082,1.44837,2.55427,-0.175918,-0.150945,-0.0564877,-0.36715,-0.830036,-1.56028,-3.48623,-0.142096
-2.62988,-1.55951,-1.83312,-3.02531,-3.55791,-0.0107029,0.0945701,0.138312,0.180426,0.134839,1.13427,0.498724,0.549281,0.939923,2.32256,2.13028,0.626854,1.42551,1.62834,2.5972,-0.191462,-0.0942325,0.0245787,-0.350034,-0.839571,-1.60821,-3.59369,-0.156216
-2.51816,-1.39733,-1.63518,-2.73436,-3.2569,-0.209953,-0.0264498,0.00811846,0.079354,-0.190023,1.2319,0.639996,0.635528,1.01854,2.26735,2.11632,0.612841,1.36068,1.52354,2.51462,-0.174918,-0.128089,0.0321683,-0.415614,-0.792748,-1.5683,-3.46097,-0.134087
-2.6254,-1.46948,-1.65443,-2.81832,-3.47683,-0.109741,-0.005868,0.0898477,0.0881109,-0.0570547,1.23359,0.603039,0.529847,0.840585,2.35244,2.16379,0.690674,1.27243,1.58092,2.71077,-0.176292,-0.122492,-0.0180946,-0.275517,-0.761399,-1.59287,-3.54132,-0.159538
-2.36996,-1.35525,-1.68354,-2.73598,-3.17264,-0.260838,0.0266981,-0.0326281,0.04113,0.0602935,0.992425,0.475717,0.603875,0.791293,2.10599,1.89522,0.503281,1.38711,1.49917,2.41309,-0.182637,-0.0835965,-0.0171222,-0.362301,-0.808919,-1.62129,-3.56014,-0.159339
-2.40961,-1.39322,-1.7179,-2.64785,-3.11881,-0.26406,-0.0608148,-0.00739992,0.0397073,-0.0654999,0.93825,0.339504,0.602308,0.711086,1.93215,1.94489,0.523347,1.35776,1.34819,2.24793,-0.172676,-0.0512247,-0.0103943,-0.315319,-0.739835,-1.54947,-3.44218,-0.158279
-2.51672,-1.41506,-1.70195,-2.61585,-3.27494,-0.155847,-0.0300709,0.0388006,0.0916766,-0.0997218,1.08267,0.460755,0.640106,0.604972,2.14075,1.95616,0.433512,1.33531,1.39369,2.30225,-0.177404,-0.116843,-0.0366131,-0.393995,-0.825049,-1.51741,-3.4583,-0.176724
-2.39105,-1.36114,-1.63397,-2.66697,-3.46951,-0.236853,-0.101748,-0.0338897,-0.00337047,-0.0655402,1.16791,0.621284,0.551598,0.623381,2.31326,1.95619,0.60933,1.2948,1.48478,2.76826,-0.173722,-0.0754723,0.0580671,-0.384064,-0.769035,-1.56814,-3.5264,-0.126168
-2.30232,-1.25659,-1.52355,-2.46974,-3.05799,-0.110067,-0.131888,0.0114008,0.0384429,-0.0819065,0.937132,0.348118,0.353848,0.495511,1.9441,1.74299,0.372209,1.18641,1.19035,2.15806,-0.176877,-0.152953,0.00136233,-0.322621,-0.744399,-1.54945,-3.48758,-0.158151
-2.66063,-1.48923,-1.86435,-3.06147,-3.37913,0.105455,0.125953,0.197422,0.231175,0.123711,1.1125,0.445268,0.560443,0.965229,2.26472,1.98393,0.471807,1.36138,1.55886,2.42281,-0.188224,-0.119253,-0.0308883,-0.39274,-0.775294,-1.61901,-3.56908,-0.162067
-2.45735,-1.36305,-1.65463,-2.64984,-3.41885,-0.286597,-0.140377,-0.0838328,-0.0734,-0.183238,1.083,0.442657,0.516793,0.511447,2.26205,1.96524,0.332177,1.24357,1.43716,2.50859,-0.175587,-0.11941,0.0442621,-0.336258,-0.785291,-1.54716,-3.50195,-0.151243
-2.65952,-1.63126,-1.74996,-2.87623,-3.75498,-0.146442,-0.0288249,0.0669693,0.0215799,0.0899386,1.27858,0.65568,0.625668,1.05559,2.55413,2.13666,0.70405,1.35507,1.56164,2.74899,-0.174583,-0.108528,-0.028539,-0.393858,-0.858226,-1.49769,-3.45104,-0.149641
-2.45806,-1.30416,-1.74263,-2.84087,-2.95993,0.0267678,0.0587636,0.199767,0.18714,-0.141744,0.949617,0.295753,0.705005,0.82882,1.91355,1.81616,0.262574,1.18618,1.34864,2.05283,-0.181482,-0.130256,0.0164629,-0.328689,-0.804486,-1.57417,-3.52035,-0.137352
-2.38088,-1.3314,-1.63983,-2.61458,-3.33657,-0.226066,0.0146548,-0.0026628,0.117034,0.0897566,0.950794,0.307537,0.507381,0.592798,1.99051,2.01457,0.467769,1.43689,1.42932,2.49721,-0.177278,-0.135561,0.0204469,-0.338345,-0.78993,-1.56377,-3.42489,-0.1548
-2.46741,-1.36666,-1.69598,-2.72523,-3.32168,-0.353881,-0.215211,-0.031892,-0.198369,-0.190034,1.33094,0.695119,0.855648,1.26372,2.43575,2.07188,0.579032,1.46098,1.61199,2.56045,-0.179499,-0.148186,0.014889,-0.357138,-0.846416,-1.50596,-3.38047,-0.159151
-2.52111,-1.40894,-1.75682,-2.79471,-3.18371,-0.0172751,0.169012,0.191112,0.295223,0.0715727,1.02838,0.282507,0.505031,0.610469,1.94272,2.05607,0.467755,1.35316,1.42075,2.29834,-0.180067,-0.0447656,-0.0122948,-0.332331,-0.734992,-1.54663,-3.48406,-0.149831
-2.29461,-1.23996,-1.70865,-2.6311,-3.13529,-0.125016,0.00447811,0.115219,0.0837768,-0.013697,1.10289,0.46142,0.609379,0.904501,2.31859,1.86716,0.392315,1.30903,1.28073,2.24208,-0.168043,-0.1091,-0.0132622,-0.256147,-0.700503,-1.56323,-3.45443,-0.138272
-2.41614,-1.27221,-1.57269,-2.60143,-3.21498,-0.0514017,-0.00503131,0.0525066,0.102172,0.0990757,0.836691,0.240364,0.383219,0.526713,1.94722,1.7182,0.24905,1.15038,1.22221,2.18864,-0.1811,-0.108143,-0.012956,-0.356703,-0.775465,-1.5809,-3.48915,-0.141312
-2.32515,-1.16269,-1.44469,-2.60269,-2.94234,-0.149503,-0.0652333,0.0231937,-0.0361454,-0.0792178,0.980759,0.265756,0.355916,0.784601,1.7806,1.85997,0.292535,1.12016,1.38746,2.07806,-0.170208,-0.0892766,0.0176255,-0.332225,-0.783232,-1.47323,-3.38873,-0.133986
-2.41385,-1.42437,-1.70433,-2.50737,-3.19707,-0.416011,-0.183801,0.00838367,-0.154522,-0.318945,1.27273,0.597364,0.627047,0.588723,2.17709,2.06863,0.649127,1.38018,1.42301,2.4,-0.179842,-0.0987191,-0.0211417,-0.335788,-0.777409,-1.5793,-3.46215,-0.131906
-2.43655,-1.38323,-1.61904,-2.63248,-3.44401,-0.224823,-0.0649745,0.0286971,0.0426869,-0.0185906,1.03808,0.435354,0.559813,0.795538,2.34653,1.93548,0.527773,1.27996,1.28386,2.52952,-0.181058,-0.138924,-0.0264903,-0.353013,-0.842786,-1.54308,-3.49545,-0.160516
-2.45139,-1.3965,-1.69868,-2.68599,-3.28998,-0.184209,-0.167575,0.00720795,-0.0865067,-0.0503772,1.11915,0.515866,0.537762,0.817917,2.14539,2.15185,0.727232,1.49437,1.61844,2.51714,-0.17914,-0.120861,0.03797,-0.317325,-0.745267,-1.56021,-3.44536,-0.128257
-2.58436,-1.33108,-1.61605,-2.93959,-3.23514,-0.0165092,-0.0251468,0.0994908,0.208552,-0.0485571,1.29051,0.608453,0.675195,1.14793,2.19631,1.87765,0.306443,1.18936,1.61708,2.40967,-0.179123,-0.130819,0.0179551,-0.347385,-0.82242,-1.54548,-3.4681,-0.110762
-2.63089,-1.68204,-1.65407,-2.75007,-3.40271,-0.115041,0.00570278,0.00255659,-0.14144,-0.0885696,1.24195,0.69189,0.550325,0.807641,2.08373,2.13164,0.742295,1.34918,1.6567,2.45713,-0.17913,-0.093218,0.0509015,-0.359758,-0.788239,-1.56982,-3.44014,-0.0939965
-2.54451,-1.4612,-1.66823,-2.70125,-3.38837,-0.069581,0.0285136,0.0514045,-0.0627222,-0.0608582,1.17707,0.541908,0.655475,1.0593,2.32906,1.86618,0.39982,1.26999,1.47242,2.36131,-0.177679,-0.108879,-0.0184385,-0.335596,-0.80715,-1.52798,-3.42702,-0.142797
-2.51543,-1.39116,-1.71907,-2.7282,-3.21858,-0.422597,-0.267174,0.0143626,-0.156587,-0.456529,1.32208,0.728603,0.614308,1.05587,2.41314,2.2026,0.541952,1.27721,1.52845,2.51774,-0.180591,-0.116406,-0.0477982,-0.349868,-0.808113,-1.59034,-3.55991,-0.141267
-2.02919,-1.03481,-1.59322,-2.60939,-3.06702,-0.26696,-0.0922299,0.054195,0.159757,-0.103351,0.594947,0.105601,0.414638,0.735324,2.09253,1.66416,0.230556,1.25812,1.32837,2.18824,-0.175147,-0.0898689,0.0270663,-0.326557,-0.784168,-1.56788,-3.4754,-0.161632
-2.55235,-1.42749,-1.67465,-2.74006,-3.22314,-0.0971354,0.0013291,0.213506,0.168254,-0.138077,1.20001,0.515883,0.432988,0.759256,2.19897,2.11008,0.570666,1.22581,1.45009,2.42977,-0.172263,-0.092698,-0.000330423,-0.32399,-0.798647,-1.55814,-3.46957,-0.141237
-2.13232,-1.11367,-1.49957,-2.48078,-3.16698,-0.298338,-0.166391,0.0154659,-0.0801507,-0.0300278,0.925922,0.412673,0.519157,0.817748,2.41697,1.82415,0.433557,1.36394,1.33699,2.3423,-0.178754,-0.123556,-0.0280976,-0.323792,-0.85887,-1.5395,-3.48054,-0.176704
-2.43595,-1.25737,-1.65861,-2.62528,-3.172,-0.191942,-0.0814146,0.115631,0.0476685,0.0430951,0.996485,0.357133,0.41359,0.523835,2.06254,1.82553,0.254897,1.25188,1.22701,2.10081,-0.177596,-0.168383,-0.0642866,-0.326959,-0.790449,-1.57772,-3.45177,-0.169737
-2.09852,-1.02216,-1.46457,-2.58955,-2.78884,-0.301605,-0.197527,-0.0146765,0.0610009,-0.310547,0.914669,0.282893,0.514269,0.894475,1.68312,1.77292,0.291529,1.20366,1.29547,2.0023,-0.173292,-0.123209,-0.0113552,-0.327647,-0.748482,-1.48128,-3.37426,-0.115768
-2.52972,-1.38448,-1.68856,-2.47504,-3.36335,-0.0580541,-0.0854291,0.0553308,-0.0180542,0.0875645,1.16683,0.469793,0.56209,0.719505,2.15222,2.07462,0.633723,1.34252,1.3185,2.53922,-0.16677,-0.122024,-0.0291506,-0.339352,-0.809969,-1.55842,-3.40806,-0.152697
-2.33869,-1.24719,-1.56705,-2.6042,-3.03822,-0.356731,-0.203058,0.0409027,0.0253332,-0.119796,1.2322,0.553356,0.638135,1.06058,2.04624,1.90787,0.514176,1.30852,1.39969,2.30888,-0.166312,-0.179521,-0.0503086,-0.373242,-0.807804,-1.5371,-3.38657,-0.168841
