b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.34851,-1.33584,-1.65631,-2.63251,-3.14565,-0.112866,-0.0202251,0.0508129,-0.0102644,-0.0317837,0.938621,0.415749,0.494163,0.874594,2.01566,1.78457,0.407946,1.34451,1.44256,2.16778,-0.174623,-0.194135,-0.0609514,-0.330898,-0.76605,-1.55137,-3.44621,-0.147024
-2.388,-1.47719,-1.65035,-2.78761,-3.38738,-0.0643535,0.0791436,0.065985,0.113147,0.0959076,1.09289,0.466099,0.583089,1.03943,2.03193,1.90173,0.583869,1.38829,1.56885,2.51453,-0.178722,-0.140741,-0.0442916,-0.32687,-0.761221,-1.513,-3.39937,-0.124039
-2.26468,-1.24241,-1.51205,-2.42838,-3.12806,-0.445794,-0.329784,-0.15496,-0.293354,-0.300223,0.816922,0.242163,0.38273,0.484082,2.11303,1.79266,0.452065,1.25246,1.12257,2.40422,-0.169615,-0.124908,0.0272291,-0.358084,-0.816209,-1.57141,-3.45215,-0.148923
-2.61512,-1.44698,-1.80965,-2.7382,-3.37874,-0.0527839,0.00144381,0.161913,0.0731513,0.0584317,1.35287,0.66017,0.721082,0.851268,2.3893,2.22262,0.653263,1.48795,1.51741,2.49487,-0.176555,-0.14332,-0.0403192,-0.317216,-0.758205,-1.57172,-3.49228,-0.116361
-2.60238,-1.45708,-1.78119,-2.88106,-3.30818,-0.146458,-0.058255,0.171229,0.273773,-0.0812665,1.24427,0.570219,0.600609,0.893473,2.22159,2.02371,0.490209,1.31542,1.49497,2.33763,-0.17705,-0.103154,0.0342872,-0.308638,-0.773641,-1.54492,-3.40995,-0.119397
-2.42557,-1.32674,-1.68702,-2.87612,-3.22596,-0.245949,-0.0715086,0.00690614,0.0649351,-0.250729,1.04095,0.302016,0.574218,1.01845,1.93494,1.9113,0.513077,1.3757,1.40286,2.548,-0.180705,-0.0953572,0.0406082,-0.295386,-0.780302,-1.56478,-3.52753,-0.114056
-2.26977,-1.36449,-1.57095,-2.44828,-3.24203,-0.288999,-0.109409,-0.0175914,-0.107733,-0.088147,0.876705,0.317342,0.397962,0.532744,2.00272,1.93429,0.495464,1.30991,1.45589,2.34657,-0.170049,-0.140377,0.0138356,-0.305987,-0.758452,-1.51,-3.38047,-0.14672
-2.75446,-1.56562,-1.76178,-2.84431,-3.4016,-0.28572,-0.00418793,0.067349,0.0829263,0.143719,1.43024,0.675872,0.62988,1.01614,2.26746,2.27062,0.603839,1.33676,1.60052,2.47927,-0.181615,-0.143105,-0.0207219,-0.375308,-0.819689,-1.59009,-3.48051,-0.179594
-2.55625,-1.46592,-1.7388,-2.8364,-3.53278,-0.00143222,0.141835,0.164622,0.245527,0.168825,0.974387,0.426498,0.553462,0.832611,2.25446,1.95673,0.392612,1.30538,1.50408,2.43262,-0.167573,-0.163459,0.00924491,-0.33777,-0.823916,-1.55493,-3.44968,-0.125616
-2.22702,-1.30371,-1.64432,-2.35756,-3.32426,-0.272834,-0.0568456,0.0467203,-0.0893928,0.0461174,0.709771,0.0905007,0.442348,0.518916,1.8419,1.75669,0.459121,1.295,1.09655,2.40104,-0.1704,-0.14456,-0.0265722,-0.346914,-0.785736,-1.54414,-3.43183,-0.124454
