b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.12082,-0.355224,-0.645757,-0.819927,-1.42074,-0.161307,-0.0851556,0.0280747,-0.0213634,-0.206424,0.951494,0.417621,0.415559,0.749255,2.23719,1.59152,0.288696,1.1305,1.22546,2.17693,-0.1369,-0.0275494,0.0392772,-0.298782,-0.794147,-1.38653,-3.38008,-0.0695525
-2.26382,-0.488894,-0.812414,-0.954603,-1.65924,-0.306605,-0.152344,-0.00589389,-0.0837684,-0.19576,1.10814,0.466869,0.540269,0.703743,2.32765,1.99696,0.704418,1.45376,1.60778,2.72787,-0.13843,-0.00537087,0.0652009,-0.27841,-0.780204,-1.39197,-3.33144,-0.0600912
-2.2505,-0.478382,-0.84614,-0.831932,-1.58817,0.0330742,0.107493,0.141259,0.218251,-0.0089079,1.11549,0.537766,0.541262,0.597591,2.37483,1.69497,0.409525,1.25729,1.04916,2.37876,-0.135872,0.0397816,0.062141,-0.250247,-0.699736,-1.4517,-3.42702,-0.0501925
-2.15256,-0.353249,-0.723184,-0.775553,-1.27779,-0.327597,-0.177797,0.0190678,-0.124623,-0.0992659,1.07173,0.498313,0.400592,0.6823,2.06131,1.96143,0.495164,1.28107,1.36516,2.29726,-0.13707,-0.028613,-0.00289319,-0.248089,-0.720401,-1.47478,-3.43154,-0.0691199
-2.23907,-0.536211,-0.739162,-0.848189,-1.63244,-0.269702,-0.00715531,0.016002,-0.0865908,-0.106312,1.14436,0.579213,0.55738,0.803304,2.25127,1.72762,0.36076,1.17747,1.27023,2.44773,-0.136724,0.0118735,0.0506729,-0.320447,-0.750235,-1.49274,-3.42478,-0.0370824
-2.21389,-0.471324,-0.695077,-0.761863,-1.73507,-0.235127,-0.0150017,0.0287338,-0.3012,-0.0347345,1.03581,0.503894,0.492458,0.781947,2.39834,1.95203,0.716421,1.32941,1.6369,2.89462,-0.145709,0.0247097,0.061897,-0.274212,-0.777366,-1.42346,-3.44296,-0.0470249
-2.17435,-0.462649,-0.768425,-0.92218,-1.61317,-0.28726,-0.195284,-0.0416227,-0.0547775,-0.308166,0.916392,0.323535,0.431213,0.642555,2.12319,1.85731,0.597615,1.34515,1.42112,2.38016,-0.129424,0.00591117,0.0531415,-0.316595,-0.767834,-1.37594,-3.35271,-0.0796766
-2.1507,-0.308975,-0.736936,-0.862196,-1.30077,-0.240799,-0.11399,0.0253644,0.153223,-0.186501,1.02355,0.384199,0.526035,0.675943,2.05909,1.91852,0.385477,1.18559,1.28286,2.18797,-0.134241,-0.0195335,0.0469201,-0.275966,-0.687654,-1.40122,-3.31127,-0.0555017
-2.20504,-0.447851,-0.798211,-0.892653,-1.51866,0.0350165,0.055533,0.0924196,0.0955208,-0.0335774,0.803468,0.385306,0.527236,0.526785,2.11652,1.72517,0.435895,1.19609,1.218,2.31498,-0.133877,0.0190952,0.0972982,-0.260139,-0.708593,-1.45339,-3.40109,-0.014195
-2.13371,-0.3903,-0.648927,-0.680471,-1.64557,-0.347142,-0.151509,-0.0428427,-0.170671,-0.115527,1.19177,0.516138,0.550052,0.883429,2.36313,1.85045,0.444771,1.17888,1.29057,2.52699,-0.131603,-0.065757,0.00120052,-0.28315,-0.843103,-1.40597,-3.3431,-0.0864423
