b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-2.23982,-0.435227,-0.742212,-0.860459,-1.54768,-0.186775,-0.0293133,0.000624143,0.00300643,-0.031698,1.01202,0.437747,0.573604,0.906475,2.27988,1.93151,0.642507,1.35205,1.47663,2.61501,-0.151164,0.0327843,0.0650074,-0.276629,-0.769824,-1.40531,-3.43084,-0.0491536
-2.06341,-0.356407,-0.673623,-0.835886,-1.40132,-0.311619,-0.150979,-0.0638565,-0.0621995,-0.261799,1.0129,0.53419,0.49327,0.800105,2.25676,1.83165,0.591967,1.25742,1.38432,2.50605,-0.137352,0.00845464,0.0642916,-0.260601,-0.711214,-1.38035,-3.29154,-0.0634269
-2.07377,-0.296032,-0.681998,-0.910358,-1.34139,-0.231722,-0.0152449,0.0176667,0.0478685,0.0606446,0.95702,0.318649,0.474385,0.819557,1.78965,1.77119,0.542765,1.3374,1.39371,2.36357,-0.140173,-0.0114721,0.0387636,-0.286663,-0.752356,-1.37718,-3.37509,-0.0840238
-2.06279,-0.299556,-0.575702,-0.560783,-1.37498,-0.427529,-0.230382,-0.0307425,-0.310343,-0.106483,1.16404,0.606775,0.531028,0.877127,2.272,1.91478,0.617527,1.30004,1.53034,2.54483,-0.146443,0.000493333,0.0226481,-0.244226,-0.76641,-1.38994,-3.34552,-0.0564064
-2.04577,-0.397324,-0.632657,-0.653699,-1.42022,-0.131546,0.0645656,-0.0294918,-0.13369,-0.227276,0.79902,0.271224,0.431741,0.508844,1.95517,1.75307,0.538618,1.22252,1.27055,2.64069,-0.136612,-0.0155068,0.0397863,-0.23037,-0.753454,-1.38442,-3.32681,-0.0778131
-2.22942,-0.4509,-0.688543,-0.928171,-1.46308,-0.157196,-0.0630021,0.0448284,0.0239834,-0.176273,0.883351,0.516476,0.494442,0.86767,2.31451,1.89541,0.701861,1.32604,1.49472,2.69208,-0.152249,0.0233096,0.0441785,-0.331201,-0.786046,-1.40867,-3.43614,-0.0203926
-2.05477,-0.430231,-0.669225,-1.03243,-1.4935,-0.373974,-0.211207,-0.01885,0.0418181,-0.368569,0.825156,0.424804,0.418619,0.905255,2.32287,1.83677,0.573237,1.31489,1.60457,2.55719,-0.136962,-0.0454365,0.0341918,-0.253005,-0.776455,-1.37099,-3.31056,-0.00859198
-2.25374,-0.380002,-0.764947,-0.983209,-1.71274,-0.0993104,-0.00054256,0.104432,0.156447,0.178496,0.941731,0.413679,0.571118,0.837357,2.45537,1.9133,0.559798,1.45084,1.60844,2.74139,-0.145431,-0.000893689,0.1011,-0.301116,-0.742695,-1.44892,-3.408,-0.0766065
-2.18685,-0.361171,-0.748206,-0.770842,-1.41218,-0.169505,-0.0716747,0.0893633,0.122227,-0.0289441,0.86888,0.386727,0.518679,0.483936,2.10822,1.77785,0.504812,1.31004,1.20178,2.40425,-0.141057,-0.0211603,0.0506722,-0.252308,-0.720697,-1.45248,-3.35231,-0.072906
-2.24462,-0.481044,-0.847352,-0.999728,-1.54978,-0.31067,-0.223784,-0.00109209,0.0123908,-0.319641,1.31255,0.832449,0.76936,0.980843,2.54127,1.99612,0.787587,1.44424,1.58845,2.77862,-0.144396,-0.0158693,0.0277158,-0.310786,-0.753148,-1.41671,-3.41612,-0.0612716
-2.05608,-0.332315,-0.666901,-0.697471,-1.54361,-0.276635,-0.117727,-0.0121311,-0.148141,0.0280994,0.877687,0.39904,0.445991,0.745278,2.07234,1.77743,0.484525,1.21121,1.42524,2.4918,-0.141649,-0.0329459,0.00324039,-0.285532,-0.738406,-1.42595,-3.39195,-0.0573254
-2.09541,-0.3873,-0.77702,-0.709416,-1.62154,-0.142343,0.0590445,0.101994,-0.0869428,0.0769064,0.75599,0.23856,0.459659,0.586803,1.99417,1.71376,0.387881,1.20049,1.2359,2.61473,-0.136781,0.0461771,0.0654675,-0.220842,-0.73434,-1.46493,-3.41194,-0.0665759
-2.01541,-0.274979,-0.588238,-0.715279,-1.26875,-0.315846,-0.13393,0.00821408,-0.0635693,-0.180629,0.778339,0.335644,0.436071,0.7569,1.95655,1.6333,0.342686,1.11289,1.31038,2.21759,-0.141052,0.009895,0.00791573,-0.343176,-0.847534,-1.39319,-3.4054,-0.0245829
-2.00662,-0.394825,-0.827258,-1.03861,-1.41248,-0.204248,-0.00384845,0.0721228,0.136595,-0.0434751,0.934249,0.479758,0.553671,0.810353,2.04147,1.71072,0.419975,1.30363,1.29358,2.26318,-0.126854,-0.00302671,0.0965229,-0.264634,-0.706062,-1.43844,-3.39396,-0.0769352
-2.17192,-0.362374,-0.660479,-0.794529,-1.39415,-0.274359,-0.170822,-0.104102,-0.169344,-0.31571,0.869818,0.375583,0.536002,0.938894,2.05945,1.67841,0.385274,1.24569,1.35854,2.34786,-0.137138,-0.0375667,-0.0310428,-0.262376,-0.72752,-1.43632,-3.39179,-0.0723901
-2.2858,-0.544737,-0.64805,-0.660973,-1.57786,-0.230239,-0.128645,-0.0834817,-0.181942,-0.23675,1.19044,0.809063,0.622577,0.824185,2.40831,1.85665,0.518817,1.24097,1.23131,2.5063,-0.143715,0.0565089,0.0446426,-0.30206,-0.733551,-1.43576,-3.38834,-0.0626148
-2.23252,-0.342827,-0.790253,-0.987061,-1.63114,-0.15396,-0.0741398,0.0954356,0.0844598,-0.115547,0.952265,0.353752,0.528857,0.776446,2.17849,1.90545,0.46778,1.31645,1.5223,2.58885,-0.136506,-0.0167261,0.0391231,-0.256335,-0.729485,-1.44147,-3.35119,-0.0562007
-2.3892,-0.558717,-0.853453,-0.940893,-1.88693,-0.100167,-0.0198203,0.120283,0.0601121,0.0954924,1.09378,0.570189,0.499616,0.666115,2.47256,2.0427,0.692962,1.37064,1.62754,2.81423,-0.139825,0.0583799,0.0891621,-0.326113,-0.756782,-1.45752,-3.47325,-0.064674
-2.15044,-0.322569,-0.572643,-0.644663,-1.43795,-0.311344,-0.248512,-0.17858,-0.389194,-0.292177,1.06292,0.55666,0.527585,0.895538,2.37385,2.0852,0.736192,1.3618,1.56136,2.65222,-0.143248,-0.0418016,0.00661618,-0.273061,-0.769085,-1.40054,-3.33603,-0.044488
-2.2831,-0.546226,-0.722561,-0.787621,-1.57344,-0.292166,-0.0252857,0.0233698,-0.098013,-0.014656,1.22899,0.710893,0.67255,0.954801,2.41959,1.93895,0.666333,1.27577,1.4546,2.58751,-0.142494,-0.0412437,-0.00766515,-0.266493,-0.720289,-1.44814,-3.39927,-0.0883402
-2.47669,-0.586206,-0.802749,-0.965886,-1.52259,-0.176592,-0.0163158,0.0513296,0.200129,-0.0259003,1.21182,0.656766,0.631079,0.834441,2.31865,2.1427,0.714267,1.42924,1.59372,2.54123,-0.144279,0.00393126,0.0675931,-0.312059,-0.76083,-1.48106,-3.48312,-0.0652466
-2.25659,-0.485977,-0.825438,-0.856686,-1.6743,-0.282663,-0.0822802,0.0951939,0.029196,0.0164447,1.07312,0.556167,0.476803,0.734407,2.24017,1.94915,0.60205,1.36415,1.20022,2.4535,-0.13052,-0.0516727,0.0259076,-0.249609,-0.705116,-1.42055,-3.36947,-0.0968903
-2.46965,-0.642066,-0.858938,-0.810062,-1.80768,-0.198315,0.0340519,0.0506908,-0.0834412,0.142522,1.32871,0.608416,0.635537,0.728888,2.19519,2.01295,0.608992,1.39533,1.41135,2.57823,-0.13358,-0.0419632,0.00596906,-0.285708,-0.808106,-1.43327,-3.36154,-0.0784798
-2.18057,-0.411682,-0.641165,-0.767892,-1.51907,-0.364278,-0.254346,-0.104377,-0.171948,-0.244665,0.863793,0.481427,0.459518,0.584805,2.34989,2.06648,0.72694,1.34179,1.52102,2.52535,-0.134902,0.0234812,0.00384996,-0.297115,-0.740625,-1.42592,-3.3158,-0.0657493
-2.25463,-0.527376,-0.856614,-0.963007,-1.70192,-0.242059,-0.0291612,-0.00177855,-0.0879932,-0.0319871,1.09958,0.705013,0.656906,1.03604,2.54445,1.92785,0.594104,1.39793,1.56858,2.6709,-0.137929,0.0126087,0.0341878,-0.27563,-0.690502,-1.40169,-3.3277,-0.0612926
-2.31942,-0.616638,-0.865541,-0.757407,-1.74297,0.0702219,0.133215,0.181667,0.0865191,0.149989,1.01436,0.673114,0.591133,0.738792,2.44125,1.79841,0.654933,1.43619,1.41267,2.81277,-0.148729,0.0342018,0.00865319,-0.304335,-0.832182,-1.45382,-3.44429,-0.0825346
-2.22868,-0.444333,-0.782599,-0.907863,-1.45973,-0.0734726,-0.0148711,0.0321337,0.129573,-0.0190634,1.13181,0.646386,0.667618,0.961634,2.29627,1.96964,0.638577,1.43381,1.61402,2.56543,-0.136941,-0.0227941,0.020571,-0.274225,-0.749254,-1.414,-3.30253,-0.0685652
-2.32176,-0.543342,-0.778964,-0.991067,-1.84624,-0.09524,-0.0939999,0.0474252,-0.0346739,-0.0962273,1.13972,0.637012,0.516517,0.855581,2.5958,1.99271,0.767914,1.34637,1.45645,2.92669,-0.141002,0.00546597,0.0431895,-0.200474,-0.720156,-1.49382,-3.39968,-0.0541448
-1.96136,-0.240003,-0.663902,-0.662239,-1.2773,-0.228759,-0.0544895,0.00787131,-0.0402066,-0.059033,0.923981,0.434237,0.547954,0.688967,2.02449,1.6329,0.36709,1.30791,1.34885,2.36431,-0.140189,-0.0215251,0.022345,-0.299028,-0.758204,-1.41727,-3.41214,-0.0880425
-2.33664,-0.559169,-0.770609,-1.00387,-1.60996,-0.237803,-0.0882956,0.0426391,0.146838,-0.248855,1.3022,0.704572,0.595248,1.04639,2.61918,2.07843,0.778287,1.49392,1.76422,2.76021,-0.144338,-0.0379646,-0.0204055,-0.265833,-0.733123,-1.39344,-3.36936,-0.0508574
-2.19259,-0.35021,-0.674092,-0.874172,-1.6551,-0.126658,0.0381235,0.0146148,-0.0182741,0.0214831,0.999739,0.423641,0.508221,0.917741,2.33767,1.85937,0.433375,1.32938,1.45523,2.63723,-0.147326,-0.0127304,0.0869074,-0.249031,-0.736323,-1.38669,-3.37797,-0.0327162
-2.17667,-0.525373,-0.790832,-0.888133,-1.61499,-0.281292,-0.155048,-0.0263961,0.0430829,-0.160131,1.09765,0.663325,0.694846,0.878491,2.48696,1.73941,0.508742,1.30152,1.43177,2.38784,-0.131413,-0.0387274,0.00162972,-0.309381,-0.752748,-1.41488,-3.35033,-0.0834973
-2.21346,-0.46171,-0.785935,-0.987263,-1.66693,-0.370597,-0.297174,-0.0485252,-0.130974,-0.230982,1.12495,0.628162,0.602293,0.83542,2.27973,2.02974,0.741021,1.37224,1.66906,2.68444,-0.134221,0.0525484,0.0391535,-0.280199,-0.737655,-1.44025,-3.39388,-0.112464
-2.17127,-0.231591,-0.560878,-0.790441,-1.26406,-0.356069,-0.256129,-0.0269496,-0.179589,-0.24729,1.10132,0.531388,0.510098,1.0472,2.42347,1.90877,0.547188,1.18835,1.48689,2.57912,-0.154607,0.0371979,0.0518923,-0.286488,-0.745254,-1.48327,-3.49228,-0.0367619
-2.28916,-0.500487,-0.751041,-0.921998,-1.74761,-0.0617413,0.0904712,0.00674526,0.0327134,0.0532662,1.11926,0.541333,0.53958,0.813856,2.47641,1.93212,0.600902,1.29424,1.54769,2.69975,-0.13897,-0.0222959,-0.00485982,-0.252403,-0.723784,-1.40567,-3.35915,-0.0565427
-2.27219,-0.509827,-0.71453,-0.821235,-1.67501,-0.433062,-0.223461,-0.0547541,-0.276736,-0.248135,1.14874,0.630176,0.647944,0.869115,2.4489,2.01898,0.676914,1.24561,1.43992,2.76527,-0.144408,-0.031437,0.0240678,-0.301207,-0.723133,-1.44352,-3.42003,-0.0398707
-1.9161,-0.136951,-0.617149,-0.639339,-1.19696,-0.375308,-0.298571,-0.096826,-0.120276,-0.48473,1.19464,0.659373,0.596451,0.800729,2.43713,1.74215,0.41361,1.25565,1.23158,2.33033,-0.14037,-0.00509862,0.0739166,-0.246742,-0.729411,-1.40264,-3.36583,-0.10922
-2.35729,-0.465774,-0.728116,-0.856445,-1.56951,-0.0282897,0.0641428,0.142977,0.0603534,0.114853,1.13679,0.593616,0.585149,0.900681,2.384,2.07766,0.705505,1.35041,1.47774,2.87299,-0.145692,-0.0295911,0.03207,-0.28267,-0.7536,-1.42346,-3.47049,-0.0638242
-2.08299,-0.3074,-0.745453,-0.894703,-1.38161,-0.344971,-0.193156,0.0288731,0.0585478,-0.331401,0.946564,0.434332,0.648104,0.882026,2.04279,1.79854,0.418655,1.28335,1.37528,2.32118,-0.130893,-0.0500124,-0.017551,-0.284471,-0.721802,-1.40429,-3.38047,-0.0818495
-2.21484,-0.292421,-0.735779,-0.871055,-1.27382,-0.110493,-0.09655,-0.0152567,0.126176,-0.148299,1.24528,0.595025,0.745299,0.993094,2.33984,1.77646,0.446858,1.2973,1.40093,2.40607,-0.14479,-0.0326649,0.0281756,-0.289769,-0.722381,-1.45363,-3.4305,-0.077872
-2.15029,-0.413169,-0.629621,-0.61147,-1.61133,-0.136508,0.0508719,0.0870936,-0.102987,-0.0759072,1.1903,0.587086,0.56854,0.944617,2.5344,1.69609,0.37563,1.18411,1.24145,2.29835,-0.136118,-0.0178281,0.0342079,-0.309262,-0.803943,-1.35477,-3.33664,-0.0596116
-2.09284,-0.298235,-0.725366,-0.761773,-1.26658,-0.373427,-0.145434,0.0899598,-0.00565403,-0.0462646,0.907465,0.440068,0.406845,0.632364,1.95664,1.84992,0.516424,1.23639,1.19124,2.24309,-0.140217,0.0192909,0.0808585,-0.225162,-0.690321,-1.48543,-3.45464,-0.0736312
-2.36061,-0.447613,-0.752956,-0.957826,-1.51232,-0.10439,-0.0122024,0.0284253,0.0947441,-0.175403,1.01078,0.406071,0.636256,0.970079,2.1843,2.07336,0.68317,1.39303,1.56388,2.52462,-0.140792,-0.0537216,-0.0192866,-0.289074,-0.7638,-1.41694,-3.40604,-0.0750294
-1.74123,-0.0986072,-0.623757,-0.710893,-0.995471,-0.380118,-0.182921,-0.0209721,-0.159719,-0.365748,0.697595,0.254612,0.421538,0.685726,1.99219,1.37956,0.165091,1.15793,1.18308,1.92303,-0.1363,0.00432654,0.0291728,-0.233387,-0.747157,-1.4281,-3.39987,-0.0785724
-2.38638,-0.466963,-0.735385,-0.952691,-1.46204,-0.0991139,-0.0444323,0.0270499,0.113774,-0.174711,1.00605,0.388249,0.608312,0.883659,2.16213,2.11847,0.712273,1.39313,1.54073,2.56021,-0.140151,-0.0543058,-0.0125305,-0.279807,-0.766095,-1.42746,-3.39475,-0.0747149
-2.26502,-0.452493,-0.716389,-0.851613,-1.50513,-0.225165,-0.189839,-0.117738,-0.226836,-0.326588,1.03841,0.563266,0.526824,0.640609,2.26599,1.73977,0.491746,1.24338,1.34339,2.46462,-0.132565,-0.0530288,0.028837,-0.255303,-0.705746,-1.40703,-3.39672,-0.0739922
-2.16435,-0.528086,-0.963573,-1.12035,-1.70425,-0.22562,-0.0563122,0.0313392,-0.0402307,-0.0999507,0.999723,0.500635,0.672012,0.907092,2.18168,1.84021,0.695744,1.53391,1.64786,2.6593,-0.126617,0.0199173,0.0445321,-0.279434,-0.688598,-1.4,-3.37282,-0.0775887
-2.06104,-0.346527,-0.644296,-0.584396,-1.44607,-0.29095,-0.16286,0.00308224,-0.0959239,-0.212901,1.08572,0.572381,0.617379,0.793069,2.37055,1.8502,0.526922,1.18604,1.1471,2.28281,-0.141315,-0.0150488,0.0511662,-0.240632,-0.726397,-1.37296,-3.30781,-0.0774086
-2.25988,-0.493333,-0.798103,-0.799997,-1.73358,-0.216135,-0.0450412,0.13532,-0.142294,-0.135418,1.34654,0.74279,0.704637,1.20593,2.68411,2.02162,0.796457,1.37226,1.51957,2.87138,-0.140957,-0.0410217,0.0340482,-0.270889,-0.778093,-1.39234,-3.37794,-0.0866328
-2.22777,-0.431104,-0.795576,-0.786112,-1.62998,-0.372203,-0.154523,-0.0989839,-0.110133,-0.125033,1.25748,0.521331,0.735683,0.835584,2.27627,2.02572,0.618932,1.45117,1.41334,2.52169,-0.137165,0.0263958,0.0503252,-0.278926,-0.815908,-1.48481,-3.43516,-0.0987671
-2.30235,-0.439532,-0.757728,-0.850628,-1.68163,-0.177052,-0.0680644,0.00379376,0.0177651,0.011727,1.22581,0.628163,0.661674,1.00003,2.53411,2.02741,0.563563,1.29494,1.44256,2.66761,-0.139401,0.00262779,0.0533053,-0.255654,-0.72964,-1.4626,-3.33074,-0.0586334
-2.09459,-0.297772,-0.640849,-0.785839,-1.39226,-0.245569,-0.065854,0.0651803,-0.00355378,0.0551805,1.1917,0.608123,0.652298,0.960383,2.44078,1.94373,0.625705,1.37279,1.51722,2.4724,-0.147168,0.0267327,0.0577588,-0.317372,-0.759344,-1.38878,-3.41373,-0.0867419
-2.28118,-0.570288,-0.810207,-1.0655,-1.75726,-0.317946,-0.182133,-0.0504991,0.0499689,-0.120949,1.15592,0.70183,0.712148,0.922348,2.47053,1.95129,0.703983,1.37877,1.41768,2.55779,-0.131069,-0.0539119,-0.00165047,-0.287037,-0.747547,-1.41428,-3.29391,-0.068066
-2.10039,-0.533951,-0.744065,-0.820556,-1.75106,-0.386029,-0.255979,-0.11803,-0.20983,-0.182941,0.889617,0.574293,0.610822,0.734981,2.35182,1.9535,0.772208,1.47547,1.58674,2.90187,-0.136969,0.0184604,0.0214714,-0.298648,-0.796074,-1.44208,-3.39426,-0.0701285
-2.19859,-0.497552,-0.76122,-0.935067,-1.25136,-0.206621,-0.000660234,0.010317,0.0899507,-0.124921,0.89216,0.392335,0.382421,0.543924,1.89263,2.06856,0.809133,1.37451,1.44831,2.43013,-0.137442,0.028222,0.109564,-0.269852,-0.755677,-1.46307,-3.4062,-0.0593515
-2.22978,-0.367922,-0.729166,-0.871717,-1.47291,-0.136489,-0.0331343,-0.0423983,0.000203459,0.097871,1.17028,0.579574,0.631331,0.903666,2.47287,1.90215,0.560388,1.41539,1.50362,2.43622,-0.14198,-0.0124071,0.0324539,-0.26278,-0.721592,-1.43321,-3.41912,-0.0380326
-2.08305,-0.473956,-0.761683,-0.849333,-1.68085,-0.235968,-0.0937145,0.096203,0.051795,-0.156726,1.05154,0.615638,0.507501,0.814444,2.36851,1.59522,0.478771,1.19227,1.14961,2.40346,-0.133267,0.013535,0.0489411,-0.254418,-0.680166,-1.40723,-3.33992,-0.0479145
-2.28146,-0.560847,-0.706826,-0.799793,-1.61531,-0.332303,-0.0876191,-0.0512627,-0.212533,-0.0934425,1.2728,0.716723,0.576776,0.862202,2.33007,2.00284,0.660668,1.22318,1.33042,2.48929,-0.139969,0.0514196,0.10674,-0.253194,-0.779083,-1.44342,-3.39301,-0.0619986
-2.23313,-0.290338,-0.752695,-0.861732,-1.25528,-0.368793,-0.288379,-0.116227,-0.164949,-0.390309,1.13441,0.574387,0.640075,0.994902,2.32974,2.09581,0.637264,1.41069,1.6409,2.70242,-0.143584,0.00567294,0.0746973,-0.29134,-0.731751,-1.47985,-3.43511,-0.0542443
-1.96898,-0.293345,-0.726501,-0.733329,-1.33187,-0.342983,-0.23435,-0.0038476,-0.0296565,-0.219937,0.904877,0.416351,0.568706,0.784793,1.93595,1.6608,0.424471,1.30603,1.22001,2.28991,-0.133998,0.00966205,0.0270442,-0.275876,-0.785137,-1.40644,-3.39241,-0.0899128
-2.45161,-0.600101,-0.805042,-0.941568,-1.70817,-0.283345,-0.0797625,-0.0418311,-0.0924209,-0.131557,1.28639,0.623059,0.595815,0.986937,2.41867,2.01407,0.678422,1.31585,1.49074,2.6662,-0.139049,-0.0220088,0.0124657,-0.300554,-0.756788,-1.44775,-3.38512,-0.0550614
-2.28269,-0.435465,-0.880932,-0.968638,-1.45365,-0.0885751,0.00891108,0.139643,0.101225,0.0214646,1.12971,0.534561,0.702847,0.790424,2.06018,1.81038,0.391882,1.31917,1.32151,2.1416,-0.134272,0.0264924,0.0618422,-0.290301,-0.714648,-1.44106,-3.3736,-0.0352409
-2.29083,-0.439233,-0.683723,-1.06587,-1.60224,-0.201659,-0.190303,-0.0599523,0.146853,-0.256366,1.36049,0.71366,0.545969,0.905501,2.48195,1.76791,0.459845,1.08191,1.3189,2.35626,-0.136712,-0.032396,0.0337373,-0.267076,-0.74289,-1.39989,-3.44154,-0.0475687
-2.51752,-0.635644,-0.901937,-0.909422,-1.57217,-0.154422,-0.149695,0.0432405,0.140707,-0.362854,1.57047,0.902903,0.821474,0.970363,2.5122,2.23699,0.984355,1.52063,1.46597,2.84313,-0.146804,0.0121099,0.00654122,-0.24915,-0.739287,-1.39122,-3.42843,-0.0816328
-2.13375,-0.325025,-0.695831,-0.825083,-1.34997,-0.0335275,0.0759283,0.0665628,0.0694896,0.105018,0.701919,0.14453,0.464906,0.796923,1.7043,1.70514,0.39236,1.24963,1.36748,2.2674,-0.139399,-0.0269715,0.0616712,-0.249366,-0.722116,-1.38744,-3.36066,-0.0263304
-2.21819,-0.387585,-0.741735,-0.725779,-1.40342,-0.377517,-0.19219,-0.0648181,-0.148152,-0.145891,0.994547,0.343002,0.537723,0.693648,2.08793,1.97506,0.638618,1.2822,1.39775,2.57284,-0.146524,-0.0105017,0.0314688,-0.283458,-0.72114,-1.44146,-3.37966,-0.0449032
-2.2272,-0.43768,-0.685824,-0.870175,-1.34369,-0.176409,-0.0552827,0.0485029,0.0282392,-0.0896753,1.1903,0.557282,0.536797,0.947026,2.17914,2.10546,0.679633,1.28576,1.46533,2.43393,-0.142303,0.0112563,0.0608743,-0.306727,-0.773874,-1.42021,-3.39887,-0.063675
-2.22056,-0.388928,-0.72795,-0.835902,-1.48493,-0.272628,-0.110825,0.0201988,0.0463216,-0.0669928,1.06619,0.490257,0.628649,0.814007,2.32792,1.78044,0.480692,1.32221,1.39178,2.51527,-0.145722,0.0343803,0.0352948,-0.300283,-0.791263,-1.42933,-3.43703,-0.0430353
-2.0693,-0.289138,-0.731458,-0.922372,-1.36415,-0.527902,-0.252879,0.0263765,-0.0157515,-0.116256,1.08162,0.505819,0.549311,0.748215,2.2296,1.7557,0.315433,1.16457,1.28876,2.14521,-0.142243,0.0434433,0.0862022,-0.293644,-0.762374,-1.44423,-3.41644,-0.0305442
-2.20531,-0.276738,-0.613685,-0.741288,-1.40579,-0.152298,-0.0844448,0.0404553,0.121785,-0.219842,0.958762,0.372309,0.504035,0.717189,2.29611,1.729,0.37792,1.19999,1.17654,2.52109,-0.147162,-0.0162031,0.0206129,-0.324119,-0.819507,-1.37315,-3.44315,-0.0619945
-2.10642,-0.481653,-0.897051,-0.948229,-1.56749,-0.20032,0.106168,0.124588,0.0294193,0.13425,0.999316,0.546442,0.607023,0.709405,2.19907,1.73272,0.532157,1.31513,1.30659,2.43232,-0.137772,0.0158183,0.112277,-0.224889,-0.695079,-1.4499,-3.36352,-0.0798434
-2.3728,-0.57925,-0.816162,-0.916322,-1.51626,-0.184458,-0.0965461,0.0494566,0.0648333,-0.06454,1.19381,0.643276,0.542313,0.83739,2.31881,2.20846,0.893109,1.4429,1.55164,2.62525,-0.136725,-0.0336397,0.037974,-0.249624,-0.765937,-1.44163,-3.3028,-0.0774247
