b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur2,sigma_u,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-3.67594,-1.34008,-0.971447,-1.69894,-3.23178,-0.0962512,0.0529233,0.118558,0.181149,-0.427732,2.50276,0.949099,0.175791,0.558078,2.73338,3.39145,1.01609,0.903259,1.00891,2.84618,-0.0150031,0.0219088,0.0341103,0.239621,-0.271978,-1.04395,-1.63192,-3.8785,-0.0695091
-3.21465,-0.876252,-0.778414,-1.25669,-3.15132,-0.419992,-0.298121,-0.0525146,-0.0819637,-0.192236,2.18984,0.790908,0.289999,0.554368,2.59475,3.1793,0.762845,0.887385,0.804999,2.83365,-0.0146644,0.0218742,0.0060298,0.227646,-0.272825,-1.03433,-1.62966,-3.88122,-0.0923938
-3.5728,-1.2747,-0.982687,-1.6445,-3.42953,-0.262151,-0.0338401,0.0946862,-0.047136,-0.10232,2.41015,1.01769,0.295446,0.623398,2.78517,3.33446,1.08416,1.13235,1.37249,3.14994,-0.0161225,0.0212704,0.0566009,0.292693,-0.339467,-1.10292,-1.65368,-3.86994,-0.0349965
-3.30322,-0.871383,-0.731017,-1.21251,-2.97347,-0.368328,-0.252511,-0.161061,-0.213627,-0.267434,2.16748,0.519478,0.088296,0.216639,2.14439,3.182,0.731418,0.817219,0.78892,2.64677,-0.014715,0.0222986,-0.00337984,0.213027,-0.23816,-1.00706,-1.68926,-3.88618,-0.101378
-3.44714,-0.874277,-0.660484,-1.4503,-3.17573,-0.106029,0.0758324,0.0870939,0.212149,-0.135251,2.41132,0.717849,-0.0230355,0.503587,2.69249,3.40737,0.67789,0.770831,0.967545,2.82845,-0.0172384,0.0243997,0.144576,0.314778,-0.282005,-1.0811,-1.67798,-4.00991,-0.119119
-3.36489,-0.835901,-0.736957,-1.40043,-2.95714,-0.273977,-0.0646094,0.127797,0.190089,-0.156892,2.22035,0.564891,0.0687144,0.407772,2.32785,3.19657,0.611894,0.794556,0.802338,2.68889,-0.0164388,0.0231347,0.0870908,0.274329,-0.290025,-1.0824,-1.6663,-3.94117,-0.0669744
-3.44867,-0.900263,-0.629266,-1.34248,-3.07729,-0.146423,0.0183456,-0.024866,0.073229,0.0567567,2.11353,0.545014,0.00227772,0.444972,2.2887,3.18689,0.564778,0.814795,0.861849,2.69858,-0.015482,0.0223165,0.0167246,0.220943,-0.275519,-1.09993,-1.68097,-4.00944,-0.0926722
-3.26702,-0.832711,-0.644513,-1.26884,-3.07962,-0.00882007,0.239896,0.0857139,0.274043,0.397913,2.02251,0.477487,-0.0729257,0.422973,2.21443,3.04064,0.354597,0.690033,0.828599,2.48424,-0.0157698,0.022042,0.0382115,0.179196,-0.29449,-1.06703,-1.65614,-3.93772,-0.0791933
-3.55991,-1.01434,-0.697919,-1.4726,-3.21024,-0.184177,-0.107591,0.015976,0.0636336,-0.176972,2.05828,0.547156,0.00476254,0.517449,2.43984,3.31159,0.779418,0.765134,0.97116,2.83254,-0.0160019,0.0214005,0.0581075,0.271908,-0.304019,-1.11479,-1.67893,-3.94218,-0.0130179
-3.54736,-0.956349,-0.675922,-1.43085,-3.48231,-0.234679,-0.0478502,-0.0738895,-0.053431,0.0103771,2.26471,0.579706,-0.089125,0.459648,2.48114,3.43777,0.626008,0.816273,1.10644,3.0305,-0.0160166,0.0224943,0.027674,0.214105,-0.267377,-1.10935,-1.63664,-3.93449,-0.0665102
-3.00871,-0.71398,-0.750328,-1.25997,-3.05592,-0.554947,-0.29831,-0.00748603,-0.0183568,0.146095,2.03685,0.619299,0.303091,0.568737,2.40473,3.08199,0.532961,0.821838,0.875047,2.64764,-0.0151426,0.0213249,0.0229993,0.284755,-0.304946,-1.14944,-1.6453,-3.89189,-0.0307728
