b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur2,sigma_u,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
-3.65035,-1.21982,-0.965293,-1.69727,-3.8149,-0.236777,0.0202416,0.0651085,-0.0301666,0.1079,2.36771,0.882124,0.217912,0.601814,2.94166,3.58272,1.01219,1.0797,1.27183,3.39684,-0.0164793,0.0226917,0.0488672,0.292652,-0.235204,-1.08364,-1.6806,-3.9669,-0.0498724
-3.17065,-0.812125,-0.714723,-1.36663,-2.98589,-0.477574,-0.148712,-0.0539766,0.123643,-0.251639,2.08412,0.598024,0.0415513,0.391307,2.4693,2.89622,0.400558,0.701945,0.566812,2.40848,-0.0171822,0.0235696,0.0780404,0.279084,-0.27027,-1.12912,-1.66188,-4.00496,-0.0120511
-3.27424,-0.850353,-0.7541,-1.40378,-3.19083,-0.184145,-0.0384945,0.038823,0.0469747,-0.0591703,2.04285,0.532053,0.167548,0.443811,2.65567,3.02098,0.432836,0.769993,0.808749,2.67932,-0.0154264,0.0233813,-0.00342613,0.232198,-0.254485,-1.10675,-1.63638,-3.9447,-0.0526815
-3.31285,-0.865687,-0.806915,-1.32076,-3.10153,-0.55674,-0.275952,-0.0373713,-0.175751,-0.276813,2.23746,0.644647,0.108658,0.372553,2.61343,3.14747,0.657425,0.930656,0.997327,2.86561,-0.0153281,0.0210735,0.0383813,0.308443,-0.293582,-1.11588,-1.65197,-3.97083,-0.0258804
-3.87888,-1.24726,-1.06403,-1.74758,-3.41604,-0.1621,-0.0863034,-0.00811691,0.0121638,0.0654306,2.82021,1.14234,0.414229,0.774331,2.83625,3.50937,0.908951,1.21156,1.2624,2.86971,-0.0157285,0.0226341,0.00485944,0.266548,-0.288408,-1.04593,-1.7024,-3.95889,-0.0791898
-3.37225,-0.852841,-0.763479,-1.2631,-2.88173,-0.359301,-0.280207,-0.0876345,-0.0147016,-0.295061,2.18727,0.715651,0.00177117,0.387753,2.33829,3.36784,0.675046,0.963643,0.902827,2.6372,-0.0154515,0.0223577,0.0040974,0.203049,-0.290956,-1.07232,-1.66424,-3.93255,-0.0290304
-3.52983,-0.891708,-0.698881,-1.30973,-3.29284,-0.213102,-0.0536687,0.0294633,-0.0999293,0.0588806,2.29502,0.603194,-0.0574762,0.371043,2.52386,3.40146,0.613118,0.713913,0.738759,2.89432,-0.0168294,0.0237198,0.0745024,0.294624,-0.268077,-1.02667,-1.69109,-4.04012,-0.0559757
-3.43677,-1.07846,-0.755902,-1.55644,-3.12347,-0.358836,-0.136268,-0.0319482,-0.0113599,-0.170861,2.21258,0.821563,0.0878356,0.504643,2.47663,3.32706,0.872982,0.866775,1.07294,3.04123,-0.0150312,0.0214045,0.00857374,0.230642,-0.304463,-1.03984,-1.65337,-3.92629,-0.0381186
-3.36461,-0.953333,-0.678603,-1.3082,-3.39229,-0.387012,-0.26019,-0.0721626,-0.0979271,-0.135517,2.3442,0.91225,0.103446,0.452011,2.88517,3.25988,0.88019,0.940414,1.04017,2.95807,-0.0163456,0.0238075,-0.0175874,0.221983,-0.329785,-1.18335,-1.6493,-4.05602,-0.148145
-3.43998,-1.00729,-0.750254,-1.46849,-3.32353,-0.30719,-0.124869,-0.070118,-0.118177,-0.0684881,2.3859,0.695983,0.0386696,0.540873,2.61317,3.23027,0.630001,0.767229,0.90535,2.89564,-0.0158905,0.0231652,0.0166781,0.288824,-0.298839,-1.06061,-1.66914,-3.95397,-0.0126476
-3.47835,-1.0105,-0.752091,-1.34074,-3.3882,-0.292993,-0.12036,-0.0441817,-0.138299,-0.0884349,2.3248,0.737625,0.171262,0.584041,2.66045,3.47033,0.876874,0.889505,1.05498,3.14009,-0.0164323,0.0225724,0.0347587,0.254274,-0.280024,-1.10219,-1.63891,-3.9081,-0.00875462
-3.73759,-1.19248,-0.965559,-1.73481,-3.51022,-0.039136,0.150739,0.119534,0.161399,-0.00145822,2.26737,0.629965,0.16743,0.475641,2.6241,3.51939,0.788456,0.895582,1.10958,3.06696,-0.0159642,0.0231594,0.0425255,0.272923,-0.325471,-1.07043,-1.71143,-4.02666,-0.0135514
-3.62593,-1.06522,-0.997441,-1.6082,-3.35305,-0.177986,-0.0543816,0.143346,0.19666,-0.065475,2.26622,0.635804,0.0407278,0.366132,2.51476,3.36328,0.758079,0.961218,0.937043,2.98927,-0.0143952,0.021469,0.0212463,0.271668,-0.26827,-1.01585,-1.67397,-3.90916,-0.0564139
-3.24498,-0.820006,-0.735754,-1.44182,-3.00596,-0.113849,-0.0250679,0.125839,0.175368,0.0110681,1.98213,0.473434,-0.00104159,0.393387,2.30543,2.98665,0.510953,0.872075,0.967075,2.54473,-0.0154566,0.0231444,0.0113531,0.206013,-0.257225,-1.07585,-1.64467,-3.91419,-0.0701316
-3.34051,-0.905645,-0.822295,-1.37598,-3.09027,-0.51405,-0.238064,0.067519,-0.235507,-0.034217,2.3068,0.705532,0.0789679,0.510934,2.44536,3.2582,0.565647,0.78299,0.985541,2.52016,-0.0159198,0.0236776,0.0308749,0.220579,-0.312278,-1.1279,-1.73608,-4.00581,-0.0860003
-3.47761,-1.07318,-0.783916,-1.51351,-3.40758,-0.133732,-0.0751007,-0.0115999,0.110399,-0.0410288,2.08483,0.558256,-0.00207811,0.367614,2.38646,3.19548,0.707698,0.911465,0.994746,2.75942,-0.015912,0.0224978,0.0523634,0.248775,-0.271003,-1.08478,-1.6758,-3.96576,-0.0565862
-3.05673,-0.821015,-0.721398,-1.09182,-3.21756,-0.26741,-0.0266507,-0.0596905,0.0403913,0.0289929,1.78046,0.388008,0.0794921,0.188336,2.564,2.95333,0.583029,1.02509,0.782104,2.83301,-0.0157427,0.0209872,0.0346491,0.15742,-0.278636,-1.13231,-1.56724,-3.89025,-0.0694175
-3.35489,-0.800818,-0.690012,-1.46201,-3.43572,-0.182556,0.029903,0.0158306,0.0033095,0.110367,1.85232,0.317663,0.0358445,0.413095,2.62514,3.30126,0.488969,0.851284,1.13498,2.82121,-0.0148588,0.0233456,-0.0239646,0.25713,-0.255568,-1.0983,-1.67751,-3.93654,-0.0571235
-3.45403,-0.979269,-0.740544,-1.37793,-3.34946,-0.169617,0.0116151,0.102041,0.199784,0.0964579,2.1506,0.58463,0.141432,0.318466,2.40105,3.31384,0.739319,0.822676,0.928471,2.87309,-0.014651,0.0221515,0.0508735,0.28337,-0.292949,-1.10295,-1.61254,-3.8853,-0.0374315
-3.65058,-1.12353,-0.859217,-1.54392,-3.39383,-0.0373914,-0.0200804,0.00806051,0.0560562,0.0122903,2.39432,0.73289,0.0707706,0.578898,2.61402,3.34929,0.790617,0.97112,1.05397,2.85024,-0.0145122,0.0226038,0.00683447,0.283829,-0.29894,-1.04509,-1.65434,-3.83658,-0.0632467
-3.6498,-1.00755,-0.830099,-1.51519,-3.46907,-0.0408606,-0.0250813,0.179558,-0.00782522,0.0453131,2.3034,0.631789,-0.00524771,0.44919,2.49326,3.6195,0.930134,0.855561,1.01613,3.08204,-0.0165692,0.0243443,0.0403042,0.272222,-0.235562,-1.03697,-1.66674,-4.00895,-0.0597141
-3.32924,-0.934914,-0.730127,-1.47259,-2.91386,-0.429324,-0.196861,-0.0685,0.0283611,-0.169515,2.24115,0.77257,0.068658,0.459712,2.15682,3.30481,0.760858,0.91187,1.13879,2.66758,-0.0160069,0.0218028,0.0341798,0.229324,-0.29605,-1.01182,-1.63536,-3.88519,-0.0561109
-3.21214,-0.921577,-0.78051,-1.35049,-3.3743,-0.40055,-0.174983,0.0153547,0.0149648,-0.226883,1.86245,0.499054,-0.0298338,0.0315242,2.46695,3.24318,0.753127,0.965173,1.03207,3.1909,-0.0153214,0.0220052,0.0300614,0.246129,-0.316483,-1.06292,-1.70496,-4.02164,0.00105011
-3.11657,-0.81445,-0.7312,-1.15241,-3.12378,-0.272014,-0.0698494,0.0520291,-0.0214246,-0.189882,2.11894,0.716586,0.0126079,0.376171,2.60814,2.98426,0.628206,0.757913,0.737454,2.83942,-0.0155054,0.0224118,0.0221219,0.279928,-0.233239,-1.01186,-1.66594,-3.90927,-0.0615693
-3.49693,-0.874973,-0.67116,-1.24558,-3.19247,-0.222658,-0.09183,0.00420356,-0.0317141,0.127509,2.1471,0.461306,-0.107719,0.138196,2.16387,3.33247,0.66058,0.775628,0.829833,2.79477,-0.0168163,0.0238589,0.0690155,0.236045,-0.30721,-1.06397,-1.72904,-4.01565,-0.0198593
-3.14484,-0.777108,-0.739282,-1.4317,-3.24539,-0.317861,-0.0136639,-0.0276012,0.0659618,-0.0526728,1.92167,0.43045,0.053414,0.302652,2.43984,3.03165,0.578221,0.808371,1.002,2.93901,-0.0152041,0.0227349,0.0786236,0.264635,-0.276956,-1.09272,-1.65452,-3.94928,-0.0673844
-3.238,-0.845263,-0.762557,-1.24002,-2.98068,-0.18397,-0.0253884,0.0560236,0.0357189,0.0485578,1.95165,0.507433,0.11695,0.302907,2.20225,3.13582,0.538216,0.779665,0.773437,2.4617,-0.0164415,0.0227941,0.0637779,0.268965,-0.259315,-1.14386,-1.66383,-3.90959,-0.0414893
-3.50791,-1.01058,-0.7744,-1.46424,-3.33318,-0.542309,-0.331253,-0.0899562,-0.284229,-0.260847,2.38664,0.749101,0.0258119,0.442634,2.64868,3.33023,0.670119,0.914873,1.11741,2.9664,-0.0160844,0.0231586,0.0566829,0.238254,-0.321498,-1.06195,-1.71306,-3.95066,-0.0303904
-3.54738,-1.09759,-0.878898,-1.58125,-3.53927,-0.287707,0.0180986,0.140962,0.0879141,0.318012,2.29837,0.672005,0.105015,0.49712,2.559,3.26619,0.779182,0.9473,1.25036,3.13334,-0.0166292,0.0232929,0.0012255,0.276004,-0.365491,-1.15072,-1.65825,-3.95531,-0.0684713
-3.31539,-0.817203,-0.670841,-1.28357,-3.20797,-0.462517,-0.328423,-0.204753,-0.210303,-0.198586,2.03566,0.606345,0.00843908,0.28027,2.62257,3.26574,0.645757,0.828514,0.837609,2.77418,-0.0156989,0.0231533,0.0103684,0.316605,-0.34091,-1.06724,-1.70867,-3.95626,-0.0355828
-3.47062,-1.02331,-0.847741,-1.42134,-2.82282,-0.170638,0.0459503,0.107533,0.0687075,-0.0423527,2.25177,0.714691,-0.0249485,0.379212,2.11684,3.20461,0.62067,0.749328,0.765062,2.19136,-0.0150484,0.0232029,0.0308414,0.205471,-0.303335,-1.00956,-1.7553,-3.94012,-0.0643994
-3.36826,-0.896556,-0.786687,-1.32525,-3.09093,-0.259487,-0.0200826,0.0661357,0.197903,-0.22907,2.32849,0.758646,0.0933084,0.259863,2.63267,3.08242,0.470103,0.746176,0.713766,2.55849,-0.0151666,0.0231258,0.0800939,0.243674,-0.328509,-1.12138,-1.69436,-3.9729,-0.00681078
-3.46026,-1.03402,-0.804456,-1.46007,-3.36091,-0.275134,-0.140807,0.00592481,0.0178411,0.0061131,2.12309,0.65351,0.114296,0.487584,2.78591,3.22362,0.635824,0.856841,0.921422,2.76958,-0.0151986,0.0219489,0.0365815,0.198097,-0.257772,-1.10548,-1.65176,-3.90304,-0.0420726
-3.45907,-1.04821,-0.910168,-1.50586,-3.32376,-0.134284,-0.00201656,0.153585,0.254817,0.0811858,2.28958,0.829405,0.0288573,0.347236,2.5542,3.21261,0.595727,0.879049,0.737801,2.71262,-0.0153632,0.0222593,0.0955474,0.277113,-0.283742,-1.06429,-1.66237,-4.02089,-0.048797
-3.72995,-1.34447,-0.956018,-1.48967,-3.52651,0.0913126,0.193759,0.170125,0.104382,0.182923,2.32037,0.987885,0.168371,0.534955,2.82844,3.34754,0.803854,0.960083,0.907845,2.98781,-0.0158868,0.0210855,-0.0100526,0.25931,-0.341555,-1.11566,-1.62485,-3.97831,-0.0809554
-3.47028,-0.962458,-0.823303,-1.3705,-3.35334,-0.220776,-0.185215,-0.0839629,-0.0764752,-0.285027,2.22113,0.622958,0.195351,0.52058,2.68323,3.16618,0.578512,0.930577,0.832279,2.74315,-0.0149949,0.0224418,0.0600947,0.256818,-0.249309,-1.03505,-1.62994,-3.88315,-0.042204
-3.35668,-0.874706,-0.721872,-1.61569,-2.99285,-0.248769,-0.109613,0.0210391,0.0290185,-0.158401,2.18218,0.591764,-0.16235,0.431486,2.42286,3.39808,0.658927,0.838216,1.13797,2.6168,-0.0151215,0.0225025,-0.00429074,0.272921,-0.292301,-0.99217,-1.63432,-3.90262,-0.0323176
-3.55012,-1.23026,-0.783898,-1.37009,-3.29875,0.024718,0.163093,0.0532215,0.117402,0.0622838,2.23732,0.813642,0.0637713,0.511396,2.61686,3.29016,0.918047,0.945313,0.947773,2.81907,-0.0152263,0.0226616,0.082374,0.288327,-0.236286,-1.0062,-1.66416,-3.91616,-0.121647
-3.65241,-1.08429,-0.85968,-1.62486,-3.34186,-0.217357,-0.0965837,0.0260703,-0.114083,0.0448019,2.46404,0.745678,0.0865806,0.658257,2.46299,3.62082,0.876617,1.09822,1.42559,2.85401,-0.0146819,0.0215917,0.0159564,0.248643,-0.268268,-1.11633,-1.67972,-3.99326,-0.0674817
-3.367,-0.88744,-0.81985,-1.30788,-3.23937,-0.204162,-0.0768262,0.0874453,0.166926,0.040201,1.98523,0.500454,-0.00748085,0.211513,2.50423,3.07075,0.717358,0.899034,0.732129,2.9974,-0.0164871,0.0229575,0.0364904,0.252101,-0.277808,-1.05372,-1.69807,-3.95285,-0.0119706
-3.44501,-0.852598,-0.787235,-1.37959,-3.02594,-0.370823,-0.151107,-0.0543016,0.0680089,-0.126448,2.52245,0.727268,0.176361,0.448924,2.3719,3.38379,0.541709,0.914274,0.915371,2.74625,-0.0152363,0.0232625,0.016248,0.178743,-0.263449,-1.0972,-1.72145,-4.03497,-0.0682058
-3.67172,-1.05546,-0.817526,-1.53278,-3.49031,-0.164831,-0.0712721,0.136019,0.219363,0.0436429,2.46014,0.733156,0.0997119,0.460487,2.82553,3.53465,0.877444,0.853186,0.908696,2.98644,-0.0159103,0.0230255,0.0546828,0.303,-0.28736,-1.12851,-1.6877,-3.97532,-0.0766258
-3.05948,-0.803188,-0.733407,-1.19722,-3.46734,-0.478332,-0.13104,-0.0462468,-0.226686,-0.101952,1.87561,0.529305,0.111591,0.257752,2.83958,2.90574,0.561609,0.874826,0.956263,3.20566,-0.0158287,0.0218066,0.0059068,0.245119,-0.316705,-1.16197,-1.639,-3.98735,-0.0529715
-3.37461,-0.767341,-0.776832,-1.41482,-3.1045,-0.400289,-0.144036,0.038061,-0.000368339,0.187828,2.12159,0.481151,-0.0633598,0.247044,2.33834,3.23357,0.50562,0.745518,0.779567,2.67293,-0.0150878,0.0219301,0.0283305,0.318636,-0.2707,-0.975599,-1.76291,-3.99846,-0.0365564
-3.72208,-1.05397,-0.817908,-1.58959,-3.45895,-0.0814532,-0.0115462,0.114619,0.108491,-0.277769,2.41718,0.645455,0.1365,0.621446,2.80169,3.46236,0.739734,0.987396,1.13344,3.27534,-0.01714,0.023333,0.0342137,0.232014,-0.361169,-1.15704,-1.66827,-4.00603,-0.0752575
-3.30399,-0.790048,-0.790632,-1.48118,-3.05107,-0.447441,-0.262297,-0.0991432,0.0458719,-0.104572,2.00884,0.465097,0.0212875,0.418874,2.36015,3.20012,0.583422,0.960305,1.05182,2.61171,-0.01549,0.0213632,0.0464334,0.241012,-0.264136,-0.981116,-1.71038,-4.00553,-0.0553325
-3.46889,-1.00721,-0.835049,-1.63387,-3.30328,-0.316222,-0.112608,0.0190052,0.0591788,-0.13279,2.37298,0.780662,0.0533423,0.7231,2.8297,3.46423,0.853127,0.927076,1.2445,2.92028,-0.0163007,0.0228357,0.0356042,0.24788,-0.273931,-0.974132,-1.70452,-4.01898,-0.0222469
-3.02402,-0.623934,-0.596473,-1.29519,-2.84936,-0.38965,-0.19068,-0.0981752,-0.0709927,-0.295227,2.05553,0.459523,-0.0511146,0.333687,2.32184,2.93718,0.452035,0.695709,0.842583,2.32488,-0.0162713,0.0241276,0.0453889,0.285125,-0.257842,-1.13072,-1.68794,-4.03156,-0.055044
-3.38221,-0.99052,-0.823752,-1.27293,-3.14125,-0.187755,-0.101417,0.122066,-0.138961,0.0660802,2.20856,0.73412,0.0884435,0.377553,2.13747,3.26164,0.760437,0.818842,0.915415,2.63837,-0.0160344,0.0224322,0.0762076,0.240682,-0.249293,-1.03906,-1.65707,-3.93535,-0.00438007
-3.6215,-1.33072,-1.02197,-1.5592,-3.98197,-0.373794,-0.198783,-0.0170268,-0.226101,0.0651332,2.37257,1.06038,0.307571,0.547423,3.25911,3.54871,1.12082,1.18483,1.28008,3.66759,-0.0142187,0.0208511,0.0510141,0.282404,-0.280581,-1.02077,-1.65496,-3.90588,0.00399324
-3.32595,-1.02102,-0.826888,-1.63512,-3.27076,-0.335412,-0.126591,-0.0309416,-0.0351769,-0.144688,2.26244,0.940464,0.172866,0.88457,2.79056,3.15703,0.601284,0.894319,1.0622,2.72844,-0.0158783,0.0224005,0.0426063,0.274098,-0.318108,-1.10282,-1.65482,-3.98794,-0.0522805
-3.38111,-1.1543,-0.945484,-1.51576,-3.4826,-0.113691,0.0857237,0.128933,0.172012,0.17267,2.22849,0.87861,0.119154,0.510058,2.88463,3.11142,0.817834,0.899349,0.980563,2.96735,-0.0151274,0.0213082,0.0425101,0.266154,-0.305852,-1.07901,-1.6278,-3.93826,-0.0466562
-3.27719,-0.883235,-0.772182,-1.40214,-3.19265,-0.261927,-0.109595,-0.0274963,0.0417338,-0.130297,2.27159,0.621873,0.0984802,0.362283,2.68934,3.20034,0.800159,1.02929,1.08699,3.00455,-0.0154541,0.0225631,0.0907854,0.291576,-0.29796,-1.08082,-1.65433,-3.92003,-0.126048
-3.3462,-0.932542,-0.630026,-1.19349,-3.37324,-0.167145,-0.142754,-0.0545493,-0.21852,-0.0637058,2.26071,0.773144,0.120913,0.387692,2.84789,3.33811,0.878804,0.911394,0.976509,3.00379,-0.0162507,0.022982,-0.00488415,0.29055,-0.327866,-1.12048,-1.57622,-3.94521,-0.0526729
-3.28255,-0.94981,-0.707801,-1.53039,-3.42267,-0.460126,-0.0898825,0.043921,0.00722487,-0.208123,2.0859,0.52589,0.0178658,0.567045,2.80419,3.28391,0.713806,0.680879,1.02247,3.02045,-0.0156321,0.0234386,0.0920582,0.298873,-0.349503,-1.1636,-1.70785,-4.04834,-0.00175985
-3.23384,-0.980392,-0.850206,-1.13808,-3.32883,-0.36404,-0.181471,0.0278621,0.00263456,-0.129955,2.26683,0.807403,0.274897,0.295273,2.69817,3.10338,0.85646,0.916284,0.60463,2.95039,-0.0140881,0.0219642,0.0219844,0.217551,-0.300087,-1.0645,-1.63618,-3.93274,-0.0913402
-3.2746,-0.792405,-0.67211,-1.08356,-2.77781,-0.152787,-0.158804,-0.0681566,-0.10038,-0.452195,2.0482,0.498377,0.119136,0.323959,2.25209,3.04201,0.475967,0.765907,0.878205,2.40911,-0.0132596,0.0208705,-0.0116776,0.118093,-0.278316,-1.08884,-1.636,-3.90387,-0.09645
-3.28475,-0.925976,-0.65032,-1.54229,-3.28257,-0.296609,-0.136403,-0.119826,-0.136448,0.0180657,2.06811,0.66471,-0.0495754,0.633508,2.49744,3.38254,0.945738,0.88761,1.25854,3.14549,-0.0153257,0.0223571,0.0410817,0.268717,-0.275837,-1.03955,-1.652,-3.87736,-0.0436532
-3.20657,-0.789914,-0.707896,-1.17035,-3.28038,-0.453405,-0.277862,-0.136887,-0.295293,-0.332249,2.2478,0.69243,0.105592,0.610807,2.96891,3.00662,0.439126,0.846524,0.837647,2.76234,-0.0148983,0.0226097,0.0402863,0.268526,-0.283322,-1.12489,-1.66335,-3.92326,-0.0656329
-3.50773,-1.02904,-0.704676,-1.49469,-3.34002,-0.257715,-0.161054,-0.123317,-0.0461036,-0.225307,2.18938,0.752605,-0.0240368,0.512536,2.80599,3.43701,0.831076,0.830168,1.27761,2.99853,-0.0160242,0.0242833,0.0237826,0.252824,-0.280049,-1.08072,-1.72097,-4.07837,-0.0884787
-3.17097,-0.846962,-0.691959,-1.37765,-3.23632,-0.39273,-0.196599,0.0259862,-0.194366,-0.144214,2.07727,0.560044,0.0990051,0.429665,2.35499,3.03842,0.487134,0.801983,1.00785,2.70531,-0.015534,0.0221995,-0.0295567,0.237552,-0.276638,-1.04121,-1.61795,-3.92807,-0.0605674
-3.30705,-0.975212,-0.674712,-1.28293,-3.45417,-0.198595,0.00213128,0.0390072,0.149529,0.193467,2.15821,0.749917,0.0831305,0.435095,2.83891,2.97856,0.514991,0.770361,0.57081,2.63488,-0.016392,0.0223649,0.0514685,0.267168,-0.272417,-1.14582,-1.5681,-3.86496,-0.0389062
-3.4895,-0.86465,-0.730615,-1.27501,-3.02782,-0.278019,-0.0768334,0.0151019,-0.118575,-0.0624551,2.14911,0.551032,0.0146133,0.316681,2.12865,3.33356,0.483535,0.86049,0.813603,2.51911,-0.016034,0.0226218,-0.00618718,0.215637,-0.307227,-1.08297,-1.66795,-3.97901,-0.109668
-3.12105,-0.767434,-0.698074,-1.12049,-2.70368,-0.494884,-0.276975,-0.0781617,-0.127341,-0.418228,2.02239,0.553104,0.0215829,0.0446277,2.24146,3.12453,0.571367,0.625662,0.718109,2.52792,-0.0139248,0.0222237,0.0117528,0.23015,-0.285758,-1.03401,-1.75112,-3.97946,-0.0905983
-3.07469,-0.733966,-0.760707,-1.36106,-3.17731,-0.341348,-0.0924621,0.113174,0.0895705,0.0053188,1.88671,0.383982,0.00259652,0.300645,2.32448,2.9984,0.486129,0.76267,0.859048,2.94611,-0.0157941,0.0216744,0.0663467,0.181388,-0.320648,-1.1447,-1.67338,-3.95916,-0.0572773
-3.2662,-0.934379,-0.669415,-1.32641,-3.05597,-0.204088,0.047027,0.0898568,0.0992407,0.155177,2.01828,0.642073,-0.0335558,0.320846,2.20733,3.13395,0.631838,0.742833,0.827404,2.49376,-0.0153711,0.0227038,0.00751213,0.235546,-0.294462,-1.08138,-1.65003,-3.95317,-0.0499856
-3.67636,-1.20729,-0.953157,-1.56667,-3.66857,-0.251698,-0.0937278,0.0732966,-0.0824316,-0.0974057,2.45114,0.904861,0.197641,0.663806,2.93898,3.38906,0.809509,1.0008,1.07106,3.08609,-0.0156226,0.0222814,0.0535326,0.256279,-0.290664,-1.09265,-1.70606,-4.00017,-0.0252391
-3.5186,-0.994423,-0.883221,-1.49092,-3.42883,-0.350616,-0.250207,-0.00985333,-0.0472611,-0.184884,2.08759,0.511303,0.0540543,0.277018,2.4751,3.16289,0.621249,0.890038,0.875534,2.93598,-0.0157651,0.0222341,0.0412121,0.239051,-0.312114,-1.05743,-1.7064,-3.9733,-0.0563892
